"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"Convergys","TD Synnex","$7,500","$0","$7,500","2002","20020313","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","08-CA-32652-001","","","Ohio","Toledo","","43614","541990","541990: All Other Professional, Scientific, and Technical Services","USA","California","publicly traded","SNX","wholesalers","wholesalers-computers","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"Convergys Corporation","TD Synnex","$65,976","$0","$65,976","2005","20050831","employment-related offenses","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1293349","","","Tennessee","Chattanooga","","37411","56142","56142: Telephone Call Centers","USA","California","publicly traded","SNX","wholesalers","wholesalers-computers","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"Convergys Corporation","TD Synnex","$48,343","$0","$48,343","2011","20110109","employment-related offenses","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1596901","","","Ohio","Cincinnati","","45202","541611","541611: Administrative Management and General Management Consulting Services","USA","California","publicly traded","SNX","wholesalers","wholesalers-computers","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"Convergys Corporation","TD Synnex","$5,313","$0","$5,313","2001","20011025","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","26-CA-19691-001","","","Tennessee","Clarksville","","37040","517911","517911: Telecommunications Resellers","USA","California","publicly traded","SNX","wholesalers","wholesalers-computers","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"Convergys, Inc","TD Synnex","$352,376","$0","$352,376","2006","20060914","employment-related offenses","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1206118","","","Arizona","Tucson","","85747","541519","541519: Other Computer Related Services","USA","California","publicly traded","SNX","wholesalers","wholesalers-computers","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"Convergys Customer Management, Inc","TD Synnex","$47,685","$0","$47,685","2008","20080428","employment-related offenses","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1509354","","","Missouri","Arnold","","63010","561499","561499: All Other Business Support Services","USA","California","publicly traded","SNX","wholesalers","wholesalers-computers","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"Convergys Customer Management Group","TD Synnex","$15,000","$0","$15,000","2012","20120226","employment-related offenses","employment discrimination","","religion","federal","agency action","Equal Employment Opportunity Commission","civil","","","","","","Missouri","","","","","","USA","California","publicly traded","SNX","wholesalers","wholesalers-computers","https://www.eeoc.gov/eeoc/newsroom/release/2-16-12.cfm","Description field shows type of discrimination that EEOC had alleged."
"Convergys Customer Managment Group Inc.","TD Synnex","$200,735","$0","$200,735","2009","20090731","employment-related offenses","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1501265","","","New Mexico","Albuquerque","","87120","56142","56142: Telephone Call Centers","USA","California","publicly traded","SNX","wholesalers","wholesalers-computers","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"Convergys Government Solutions","TD Synnex","$1,277,405","$0","$1,277,405","2010","20100814","employment-related offenses","wage and hour violation","Service Contract Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1685222","","","Utah","Ogden","","84405","561422","561422: Telemarketing Bureaus","USA","California","publicly traded","SNX","wholesalers","wholesalers-computers","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"Stream International, Inc.","TD Synnex","$5,911","$0","$5,911","2007","20070620","employment-related offenses","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1484182","","","New York","Watertown","","13601","56142","56142: Telephone Call Centers","USA","California","publicly traded","SNX","wholesalers","wholesalers-computers","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"SYNNEX CORPORATION","TD Synnex","$5,400","$0","$5,400","2009","20090714","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","New Jersey","KEASBEY","1000 RIVERSIDE DRIVE","08832","425110","425110: Business to Business Electronic Markets","USA","California","publicly traded","SNX","wholesalers","wholesalers-computers","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"SYNNEX INFORMATION TECHNOLOGIES","TD Synnex","$7,700","$0","$7,700","2003","20030729","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","California","FREMONT","44460 OSGOOD RD","94538","425110","425110: Business to Business Electronic Markets","USA","California","publicly traded","SNX","wholesalers","wholesalers-computers","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"Convergys","TD Synnex","$4,500,000","$0","$4,500,000","2015","20151130","employment-related offenses","wage and hour violation","","overtime violation","federal","private litigation","","civil","","Western District of North Carolina","14-cv-0125","Matthews et al v. Convergys Corporation et al","settlement","","","","","","","USA","California","publicly traded","SNX","wholesalers","wholesalers-computers","",""
"Convergys","TD Synnex","$1,500,000","$0","$1,500,000","2013","20130319","employment-related offenses","wage and hour violation","","misclassification","federal","private litigation","","civil","","Eastern District of Texas","10-cv-0568","Shofner et al v. Convergys Corporation et al","settlement","","","","","","","USA","California","publicly traded","SNX","wholesalers","wholesalers-computers","",""
"Concentrix Corporation","TD Synnex","$99,220","$0","$99,220","2017","20170218","employment-related offenses","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1794968","","","South Carolina","Greenville","2000 Wade Hampton Blvd","29615","56142","56142: Telephone Call Centers","USA","California","publicly traded","SNX","wholesalers","wholesalers-computers","February 7, 2020 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"SYNNEX CORPORATION","TD Synnex","$5,000","$0","$5,000","2010","20100122","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","New Jersey","KEASBEY","1000 RIVERSIDE DRIVE","08832","425110","425110: Business to Business Electronic Markets","USA","California","publicly traded","SNX","wholesalers","wholesalers-computers","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
