"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"ADC Telecommunications Inc.","TE Connectivity","$1,000,000","$0","$1,000,000","2012","20120709","government-contracting-related offenses","False Claims Act and related","trade violations","ADC Telecommunications Inc. agreed to pay the United States $1 million to resolve allegations that the company submitted false claims to federal agencies when it sold telecommunications goods manufactured in countries prohibited by the Trade Agreements Act.","federal","agency action","Justice Department Civil Division","civil","","","","","","","","","","","","Switzerland","","publicly traded","TEL","electrical and electronic equipment","electronic equipment","https://www.justice.gov/opa/pr/telecommunications-firm-pay-us-1-million-settle-alleged-violations-trade-agreements-act",""
"TYCO Electronics Power Systems","TE Connectivity","$96,000","$0","$96,000","2003","20030806","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","16-CA-21854-001","","","Texas","Mesquite","","75149","334290","334290: Other Communications Equipment Manufacturing","Switzerland","","publicly traded","TEL","electrical and electronic equipment","electronic equipment","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"TYCO ELECTRONICS","TE Connectivity","$5,654","$0","$5,654","2006","20061107","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Wisconsin","MILWAUKEE","1924 S. HILBERT ST.","53207","334412","334412: Bare Printed Circuit Board Manufacturing","Switzerland","","publicly traded","TEL","electrical and electronic equipment","electronic equipment","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"TYCO ELECTRONICS/MADISON CABLE CORP.","TE Connectivity","$5,625","$0","$5,625","2005","20051021","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Massachusetts","WORCESTER","125 GODDARD MEMORIAL DRIVE","01603","335929","335929: Other Communication and Energy Wire Manufacturing","Switzerland","","publicly traded","TEL","electrical and electronic equipment","electronic equipment","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"TYCO ELECTRONICS CORP.","TE Connectivity","$10,395","$0","$10,395","2004","20040413","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Illinois","STERLING","1801 WESTWOOD DRIVE","61081","334512","334512: Automatic Environmental Control Manufacturing for Residential, Commercial, and Appliance Use","Switzerland","","publicly traded","TEL","electrical and electronic equipment","electronic equipment","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"TYCO ELECTRONICS CORPORATION","TE Connectivity","$5,360","$0","$5,360","2001","20011127","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","North Carolina","GREENSBORO","233 BURGESS RD.","27409","000000","","Switzerland","","publicly traded","TEL","electrical and electronic equipment","electronic equipment","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"TYCO ELECTRONICS","TE Connectivity","$19,270","$0","$19,270","2003","20030925","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","California","SOUTH PASADENA","306 PASADENA AVE","91030","335931","335931: Current-Carrying Wiring Device Manufacturing","Switzerland","","publicly traded","TEL","electrical and electronic equipment","electronic equipment","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"TYCO ELECTRONICS","TE Connectivity","$5,270","$0","$5,270","2001","20011107","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","California","MENLO PARK","308 CONSTITUTION DRIVE","94025","000000","","Switzerland","","publicly traded","TEL","electrical and electronic equipment","electronic equipment","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"TYCO ELECTRONICS LTD","TE Connectivity","$30,000","$0","$30,000","2011","20110629","safety-related offenses","aviation safety violation","","hazardous materials shipping","federal","agency action","Federal Aviation Administration","civil","","","2010SW700162","","","","","","","","","Switzerland","","publicly traded","TEL","electrical and electronic equipment","electronic equipment","from a spreadsheet posted on the FAA website at https://www.faa.gov/about/office_org/headquarters_offices/ash/ash_programs/hazmat/compliance_enforcement/",""
"ADC Telecommunications Inc.","TE Connectivity","$3,250,000","$0","$3,250,000","2006","20061016","employment-related offenses","benefit plan administrator violation","pension ERISA violation","","federal","private litigation","","civil","","District of Minnesota","0:03-cv-2989","In Re: ADC Telecommunications, et al","settlement","","","","","","","Switzerland","","publicly traded","TEL","electrical and electronic equipment","electronic equipment","",""
"Tyco Electronics Printed Circuit Group","TE Connectivity","$4,400,000","$0","$4,400,000","2004","20040817","environment-related offenses","environmental violation","","Tyco Electronics Printed Circuit Group, a subsidiary of Tyco International, agreed to pay $2 million penalty and spend $2.4 million for environmental improvements, in settlement of allegations it violated the Clean Water Act at facilities in Manchester and Stafford Springs, illegally operating a system to bypass monitoring equipment.","state","agency action","Connecticut Attorney General","civil","","","","","","Connecticut","","","","","","Switzerland","","publicly traded","TEL","electrical and electronic equipment","electronic equipment","https://web.archive.org/web/20100603142802/http://www.ct.gov/ag/cwp/view.asp?A=1779&Q=289078",""
"TE Connectivity Networks, Inc.","TE Connectivity","$4,960,000","$0","$4,960,000","2019","20190906","employment-related offenses","wage and hour violation","","","federal","private litigation","","civil","","Northern District of California","3:14-cv-4872","Wilson v. TE Connectivity Networks, Inc. et al","settlement","","","","","","","Switzerland","","publicly traded","TEL","electrical and electronic equipment","electronic equipment","https://www.law360.com/articles/1170240/tyco-inks-5m-deal-in-technicians-meal-break-suit",""
"Tyco Electronics Corp.","TE Connectivity","$25,650","$0","$25,650","2004","20040621","environment-related offenses","environmental violation","","hazardous waste violations","state","agency action","California Department of Toxic Substances Control","civil","","","","","","California","Stockton","","","","","Switzerland","","publicly traded","TEL","electrical and electronic equipment","electronic equipment","https://dtsc.ca.gov/wp-content/uploads/sites/31/2017/11/TYCO_FieldAvenue_ENF_CACA.pdf",""
"Tyco Electronics Corp.","TE Connectivity","$28,258","$0","$28,258","2004","20040621","environment-related offenses","environmental violation","","hazardous waste violations","state","agency action","California Department of Toxic Substances Control","civil","","","","","","California","Stockton","","","","","Switzerland","","publicly traded","TEL","electrical and electronic equipment","electronic equipment","https://dtsc.ca.gov/wp-content/uploads/sites/31/2018/01/TYCO_FremontStreet_ENF_CACA.pdf",""
"TE CONNECTIVITY LTD","TE Connectivity","$7,000","$0","$7,000","2016","20160226","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Pennsylvania","JONESTOWN","3155 STATE ROUTE 72","17038","334417","334417: Electronic Connector Manufacturing","Switzerland","","publicly traded","TEL","electrical and electronic equipment","electronic equipment","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"TE CONNECTIVITY","TE Connectivity","$50,250","$0","$50,250","2021","20210223","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","California","REDWOOD CITY","501 OAKSIDE AVE","94063","334519","334519: Other Measuring and Controlling Device Manufacturing","Switzerland","","publicly traded","TEL","electrical and electronic equipment","electronic equipment","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"Tyco Electronics Waterbury","TE Connectivity","$5,000","$0","$5,000","2004","20040521","environment-related offenses","environmental violation","","","federal","agency action","Environmental Protection Agency","civil","","","01-2004-3014","","","Connecticut","WATERBURY","185 HUNTINGDON AVE.","06708","","","Switzerland","","publicly traded","TEL","electrical and electronic equipment","electronic equipment","Extracted from a download of the EPA's Enforcement and Compliance History Online (ECHO) ICIS FE&C file downloaded on 3/02/2022, available at http://echo.epa.gov/tools/data-downloads#downloads",""
"TE CONNECTIVITY, INC","TE Connectivity","$65,000","$0","$65,000","2011","20110915","environment-related offenses","environmental violation","","","federal","agency action","Environmental Protection Agency","civil","","","03-2011-0241","","","Pennsylvania","MANHEIM","209 SHELLYLAND ROAD","17545-8681","334417","334417: Electronic Connector Manufacturing","Switzerland","","publicly traded","TEL","electrical and electronic equipment","electronic equipment","Extracted from a download of the EPA's Enforcement and Compliance History Online (ECHO) ICIS FE&C file downloaded on 3/02/2022, available at http://echo.epa.gov/tools/data-downloads#downloads",""
