"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"Cinram Inc","Technicolor","$49,422","$0","$49,422","2009","20090611","employment-related offenses","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1543530","","","Alabama","Huntsville","","35811","42512","42512: Wholesale Trade Agents and Brokers","France","","publicly traded","","miscellaneous services","digital media services","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"Cinram, Inc.","Technicolor","$17,411","$0","$17,411","2008","20080926","employment-related offenses","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1525328","","","Tennessee","La Vergne","","37086","423990","423990: Other Miscellaneous Durable Goods Merchant Wholesalers","France","","publicly traded","","miscellaneous services","digital media services","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"Technicolor","Technicolor","$5,300","$0","$5,300","2007","20070403","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","31-CA-27827-001","","","California","North Hollywood","","91604","512199","512199: Other Motion Picture and Video Industries","France","","publicly traded","","miscellaneous services","digital media services","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"Technicolor Creative Services","Technicolor","$9,000","$0","$9,000","2011","20110414","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","31-CA-30142-001","","","California","Studio City","","91604","519190","519190: All Other Information Services","France","","publicly traded","","miscellaneous services","digital media services","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"Technicolor Videocassette, Inc.","Technicolor","$875,000","$0","$875,000","2002","20020814","employment-related offenses","employment discrimination","","gender","federal","agency action","Equal Employment Opportunity Commission","civil","","","","","","California","","","","","","France","","publicly traded","","miscellaneous services","digital media services","https://www.eeoc.gov/eeoc/newsroom/release/archive/8-14-02.html","Description field shows type of discrimination that EEOC had alleged."
"Technicolor Videocassette of Michigan, Inc","Technicolor","$141,800","$0","$141,800","2014","20141125","employment-related offenses","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1746658","","","Tennessee","Memphis","","38141","334612","334612: Prerecorded Compact Disc (except Software), Tape, and Record Reproducing","France","","publicly traded","","miscellaneous services","digital media services","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"Technicolor Videocassette of Michigan, Inc,","Technicolor","$7,168","$0","$7,168","2014","20140412","employment-related offenses","Family and Medical Leave Act","","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1721559","","","Tennessee","Memphis","","38141","33999","33999: All Other Miscellaneous Manufacturing","France","","publicly traded","","miscellaneous services","digital media services","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"TECHNICOLOR CREATIVE SERVICES USA INC","Technicolor","$7,815","$0","$7,815","2011","20111007","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","California","ONTARIO","5491 E PHILADELPHIA ST","91761","512120","512120: Motion Picture and Video Distribution","France","","publicly traded","","miscellaneous services","digital media services","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"Technicolor Inc.","Technicolor","$5,000","$0","$5,000","2005","20050907","environment-related offenses","environmental violation","","air pollution","local","agency action","South Coast (CA) Air Quality Management District ","civil","","","","","","California","","","","","","France","","publicly traded","","miscellaneous services","digital media services","http://www3.aqmd.gov/hb/2006/January/060114a.html",""
"THOMSON CONSUMER ELECTRONICS, INC.","Technicolor","$5,000","$0","$5,000","2000","20000929","environment-related offenses","environmental violation","","","federal","agency action","Environmental Protection Agency","civil","","","HQ-2000-3072","","","Pennsylvania","DUNMORE","200 KEYSTONE INDUSTRIAL PARK","18512","","","France","","publicly traded","","miscellaneous services","digital media services","Extracted from a download of the EPA's Enforcement and Compliance History Online (ECHO) ICIS FE&C file downloaded on 3/02/2022, available at http://echo.epa.gov/tools/data-downloads#downloads",""
