"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"FLIR Systems Inc.","Teledyne Technologies","$9,500,000","$0","$9,500,000","2015","20150408","competition-related offenses","Foreign Corrupt Practices Act","","","federal","agency action","Securities and Exchange Commission","civil","","","","","","","","","","","","USA","California","publicly traded","TDY","miscellaneous manufacturing","telecommunications equipment","https://www.sec.gov/news/pressrelease/2015-62.html",""
"Teledyne Reson","Teledyne Technologies","$1,382,315","$0","$1,382,315","2014","20140715","employment-related offenses","employment discrimination","","national origin discrimination","state","private litigation","","civil","","Santa Barbara County (California) Superior Court","1385278","Ortiz v. Reson A/S","verdict","","","","","","","USA","California","publicly traded","TDY","miscellaneous manufacturing","telecommunications equipment","2014 Jury Verdicts LEXIS 13509",""
"Teledyne Energy Systems Inc.","Teledyne Technologies","$16,500","$0","$16,500","2005","20050331","competition-related offenses","export control violation","","","federal","agency action","Bureau of Industry and Security","civil","","","","","","","","","","","","USA","California","publicly traded","TDY","miscellaneous manufacturing","telecommunications equipment","FOIA215","Source document obtained through a Freedom of Information Act request to the agency."
"TELEDYNE TECHNOLOGIES INC","Teledyne Technologies","$49,000","$0","$49,000","2015","20150107","safety-related offenses","aviation safety violation","","DRUG TESTING ","federal","agency action","Federal Aviation Administration","civil","","","","","","","","","","","","USA","California","publicly traded","TDY","miscellaneous manufacturing","telecommunications equipment","https://www.faa.gov/about/office_org/headquarters_offices/agc/practice_areas/enforcement/reports/",""
"Teledyne Advance Products","Teledyne Technologies","$100,000","$0","$100,000","2001","20010620","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","10-CA-29555-001","","","Alabama","Huntsville","","35806","332999","332999: All Other Miscellaneous Fabricated Metal Product Manufacturing","USA","California","publicly traded","TDY","miscellaneous manufacturing","telecommunications equipment","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"Teledyne LeCroy, Inc.","Teledyne Technologies","$75,000","$0","$75,000","2015","20150616","competition-related offenses","export control violation","","","federal","agency action","Bureau of Industry and Security","civil","","","","","","","","","","","","USA","California","publicly traded","TDY","miscellaneous manufacturing","telecommunications equipment","http://efoia.bis.doc.gov/index.php/component/docman/doc_download/999-e2426?Itemid=",""
"REYNOLDS INDUSTRIES, INC","Teledyne Technologies","$38,370","$0","$38,370","2003","20030520","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","California","LOS ANGELES","5005 MCCONNELL AVE","90066","335931","335931: Current-Carrying Wiring Device Manufacturing","USA","California","publicly traded","TDY","miscellaneous manufacturing","telecommunications equipment","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"Teledyne Reynolds Inc.","Teledyne Technologies","$825,000","$0","$825,000","2008","20081218","government-contracting-related offenses","False Claims Act and related","","","federal","agency action","U.S. Attorney-Central District of California","civil","","","","","","","","","","","","USA","California","publicly traded","TDY","miscellaneous manufacturing","telecommunications equipment","https://www.justice.gov/archive/usao/cac/Pressroom/pr2008/156.html",""
"FLIR Systems, Inc.","Teledyne Technologies","$30,000,000","$0","$30,000,000","2018","20180424","competition-related offenses","export control violation","","FLIR Systems, Inc. settled allegations that it violated the International Traffic in Arms Regulations (ITAR) in connection with unauthorized exports of defense articles, including technical data; the unauthorized provision of defense services; violation of the terms of provisos or other limitations of license authorizations; and the failure to maintain specific records involving ITAR-controlled transactions. FLIR's alleged unauthorized exports also included the retransfer of ITAR-controlled technical data and provision of defense services to dual-national employees of Iran, Iraq, Lebanon, and Cuba to which the United States restricts exports of defense articles and defense services.","federal","agency action","State Department Directorate of Defense Trade Controls","civil","","","","","","","","","","","","USA","California","publicly traded","TDY","miscellaneous manufacturing","telecommunications equipment","https://www.pmddtc.state.gov/sys_attachment.do?sysparm_referring_url=tear_off&view=true&sys_id=1c78debfdb2d1b4044f9ff621f961988",""
"Teledyne Technologies, Inc.","Teledyne Technologies","$30,385","$0","$30,385","2012","20120207","financial offenses","economic sanction violation","","","federal","agency action","Office of Foreign Assets Control","civil","","","","","","","","","","","","USA","California","publicly traded","TDY","miscellaneous manufacturing","telecommunications equipment","https://www.treasury.gov/resource-center/sanctions/CivPen/Documents/02072012_teledyne.pdf",""
"Teledyne Continental Motors","Teledyne Technologies","$45,800","$0","$45,800","2002","20020211","environment-related offenses","environmental violation","","Hazardous Waste","state","agency action","Alabama Department of Environmental Management","civil","","","02-095-HW         ","","","Alabama","","","","","","USA","California","publicly traded","TDY","miscellaneous manufacturing","telecommunications equipment","List of FY2002 ADEM Administrative Orders obtained via an open records request on October 5, 2020.",""
