"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"Ten-Mile Coal Co., Inc.","Ten-Mile Coal","$10,200","$0","$10,200","2007","20071210","safety-related offenses","workplace safety or health violation","mining violation","","federal","agency action","Mine Safety and Health Administration","civil","","","","","","West Virginia","Jarvisville, WV","","","","","USA","West Virginia","privately held","","mining and minerals","coal mining","Extracted from a download of MSHA's Violations Data Set downloaded on 3/02/2022, available at https://www.msha.gov/mine-data-retrieval-system",""
"Ten-Mile Coal Co., Inc.","Ten-Mile Coal","$6,624","$0","$6,624","2008","20081125","safety-related offenses","workplace safety or health violation","mining violation","","federal","agency action","Mine Safety and Health Administration","civil","","","","","","West Virginia","Jarvisville, WV","","","","","USA","West Virginia","privately held","","mining and minerals","coal mining","Extracted from a download of MSHA's Violations Data Set downloaded on 3/02/2022, available at https://www.msha.gov/mine-data-retrieval-system",""
"Ten-Mile Coal Co., Inc.","Ten-Mile Coal","$35,000","$0","$35,000","2009","20090205","safety-related offenses","workplace safety or health violation","mining violation","","federal","agency action","Mine Safety and Health Administration","civil","","","","","","West Virginia","Jarvisville, WV","","","","","USA","West Virginia","privately held","","mining and minerals","coal mining","Extracted from a download of MSHA's Violations Data Set downloaded on 3/02/2022, available at https://www.msha.gov/mine-data-retrieval-system",""
"Ten-Mile Coal Co., Inc.","Ten-Mile Coal","$21,000","$0","$21,000","2013","20130102","safety-related offenses","workplace safety or health violation","mining violation","","federal","agency action","Mine Safety and Health Administration","civil","","","","","","West Virginia","Jarvisville, WV","","","","","USA","West Virginia","privately held","","mining and minerals","coal mining","Extracted from a download of MSHA's Violations Data Set downloaded on 3/02/2022, available at https://www.msha.gov/mine-data-retrieval-system",""
"Ten-Mile Coal Co., Inc.","Ten-Mile Coal","$5,080","$0","$5,080","2012","20120724","safety-related offenses","workplace safety or health violation","mining violation","","federal","agency action","Mine Safety and Health Administration","civil","","","","","","West Virginia","Jarvisville, WV","","","","","USA","West Virginia","privately held","","mining and minerals","coal mining","Extracted from a download of MSHA's Violations Data Set downloaded on 3/02/2022, available at https://www.msha.gov/mine-data-retrieval-system",""
"Ten-Mile Coal Co., Inc.","Ten-Mile Coal","$5,000","$0","$5,000","2013","20130801","safety-related offenses","workplace safety or health violation","mining violation","","federal","agency action","Mine Safety and Health Administration","civil","","","","","","West Virginia","Jarvisville, WV","","","","","USA","West Virginia","privately held","","mining and minerals","coal mining","Extracted from a download of MSHA's Violations Data Set downloaded on 3/02/2022, available at https://www.msha.gov/mine-data-retrieval-system",""
"Ten-Mile Coal Co., Inc.","Ten-Mile Coal","$5,503","$0","$5,503","2011","20110325","safety-related offenses","workplace safety or health violation","mining violation","","federal","agency action","Mine Safety and Health Administration","civil","","","","","","West Virginia","Jarvisville, WV","","","","","USA","West Virginia","privately held","","mining and minerals","coal mining","Extracted from a download of MSHA's Violations Data Set downloaded on 3/02/2022, available at https://www.msha.gov/mine-data-retrieval-system",""
"Ten-Mile Coal Co., Inc.","Ten-Mile Coal","$14,000","$0","$14,000","2012","20120731","safety-related offenses","workplace safety or health violation","mining violation","","federal","agency action","Mine Safety and Health Administration","civil","","","","","","West Virginia","Jarvisville, WV","","","","","USA","West Virginia","privately held","","mining and minerals","coal mining","Extracted from a download of MSHA's Violations Data Set downloaded on 3/02/2022, available at https://www.msha.gov/mine-data-retrieval-system",""
"Ten-Mile Coal Co., Inc.","Ten-Mile Coal","$5,080","$0","$5,080","2012","20120726","safety-related offenses","workplace safety or health violation","mining violation","","federal","agency action","Mine Safety and Health Administration","civil","","","","","","West Virginia","Jarvisville, WV","","","","","USA","West Virginia","privately held","","mining and minerals","coal mining","Extracted from a download of MSHA's Violations Data Set downloaded on 3/02/2022, available at https://www.msha.gov/mine-data-retrieval-system",""
"Ten-Mile Coal Co., Inc.","Ten-Mile Coal","$21,000","$0","$21,000","2012","20121228","safety-related offenses","workplace safety or health violation","mining violation","","federal","agency action","Mine Safety and Health Administration","civil","","","","","","West Virginia","Jarvisville, WV","","","","","USA","West Virginia","privately held","","mining and minerals","coal mining","Extracted from a download of MSHA's Violations Data Set downloaded on 3/02/2022, available at https://www.msha.gov/mine-data-retrieval-system",""
"Ten-Mile Coal Co., Inc.","Ten-Mile Coal","$6,800","$0","$6,800","2012","20120827","safety-related offenses","workplace safety or health violation","mining violation","","federal","agency action","Mine Safety and Health Administration","civil","","","","","","West Virginia","Jarvisville, WV","","","","","USA","West Virginia","privately held","","mining and minerals","coal mining","Extracted from a download of MSHA's Violations Data Set downloaded on 3/02/2022, available at https://www.msha.gov/mine-data-retrieval-system",""
"Ten-Mile Coal Co., Inc.","Ten-Mile Coal","$5,503","$0","$5,503","2013","20130520","safety-related offenses","workplace safety or health violation","mining violation","","federal","agency action","Mine Safety and Health Administration","civil","","","","","","West Virginia","Jarvisville, WV","","","","","USA","West Virginia","privately held","","mining and minerals","coal mining","Extracted from a download of MSHA's Violations Data Set downloaded on 3/02/2022, available at https://www.msha.gov/mine-data-retrieval-system",""
"Ten-Mile Coal Co., Inc.","Ten-Mile Coal","$17,000","$0","$17,000","2012","20120731","safety-related offenses","workplace safety or health violation","mining violation","","federal","agency action","Mine Safety and Health Administration","civil","","","","","","West Virginia","Jarvisville, WV","","","","","USA","West Virginia","privately held","","mining and minerals","coal mining","Extracted from a download of MSHA's Violations Data Set downloaded on 3/02/2022, available at https://www.msha.gov/mine-data-retrieval-system",""
"Ten-Mile Coal Co., Inc.","Ten-Mile Coal","$15,570","$0","$15,570","2011","20110804","safety-related offenses","workplace safety or health violation","mining violation","","federal","agency action","Mine Safety and Health Administration","civil","","","","","","West Virginia","Jarvisville, WV","","","","","USA","West Virginia","privately held","","mining and minerals","coal mining","Extracted from a download of MSHA's Violations Data Set downloaded on 3/02/2022, available at https://www.msha.gov/mine-data-retrieval-system",""
"Ten-Mile Coal Co., Inc.","Ten-Mile Coal","$5,080","$0","$5,080","2012","20121228","safety-related offenses","workplace safety or health violation","mining violation","","federal","agency action","Mine Safety and Health Administration","civil","","","","","","West Virginia","Jarvisville, WV","","","","","USA","West Virginia","privately held","","mining and minerals","coal mining","Extracted from a download of MSHA's Violations Data Set downloaded on 3/02/2022, available at https://www.msha.gov/mine-data-retrieval-system",""
"Ten-Mile Coal Co., Inc.","Ten-Mile Coal","$8,400","$0","$8,400","2011","20110214","safety-related offenses","workplace safety or health violation","mining violation","","federal","agency action","Mine Safety and Health Administration","civil","","","","","","West Virginia","Jarvisville, WV","","","","","USA","West Virginia","privately held","","mining and minerals","coal mining","Extracted from a download of MSHA's Violations Data Set downloaded on 3/02/2022, available at https://www.msha.gov/mine-data-retrieval-system",""
"Ten-Mile Coal Co., Inc.","Ten-Mile Coal","$15,570","$0","$15,570","2011","20110720","safety-related offenses","workplace safety or health violation","mining violation","","federal","agency action","Mine Safety and Health Administration","civil","","","","","","West Virginia","Jarvisville, WV","","","","","USA","West Virginia","privately held","","mining and minerals","coal mining","Extracted from a download of MSHA's Violations Data Set downloaded on 3/02/2022, available at https://www.msha.gov/mine-data-retrieval-system",""
"Ten-Mile Coal Co., Inc.","Ten-Mile Coal","$11,498","$0","$11,498","2012","20120911","safety-related offenses","workplace safety or health violation","mining violation","","federal","agency action","Mine Safety and Health Administration","civil","","","","","","West Virginia","Jarvisville, WV","","","","","USA","West Virginia","privately held","","mining and minerals","coal mining","Extracted from a download of MSHA's Violations Data Set downloaded on 3/02/2022, available at https://www.msha.gov/mine-data-retrieval-system",""
"Ten-Mile Coal Co., Inc.","Ten-Mile Coal","$5,000","$0","$5,000","2013","20130801","safety-related offenses","workplace safety or health violation","mining violation","","federal","agency action","Mine Safety and Health Administration","civil","","","","","","West Virginia","Jarvisville, WV","","","","","USA","West Virginia","privately held","","mining and minerals","coal mining","Extracted from a download of MSHA's Violations Data Set downloaded on 3/02/2022, available at https://www.msha.gov/mine-data-retrieval-system",""
"Ten-Mile Coal Co., Inc.","Ten-Mile Coal","$40,560","$0","$40,560","2011","20110922","safety-related offenses","workplace safety or health violation","mining violation","","federal","agency action","Mine Safety and Health Administration","civil","","","","","","West Virginia","Jarvisville, WV","","","","","USA","West Virginia","privately held","","mining and minerals","coal mining","Extracted from a download of MSHA's Violations Data Set downloaded on 3/02/2022, available at https://www.msha.gov/mine-data-retrieval-system",""
"Ten-Mile Coal Co., Inc.","Ten-Mile Coal","$8,209","$0","$8,209","2011","20110214","safety-related offenses","workplace safety or health violation","mining violation","","federal","agency action","Mine Safety and Health Administration","civil","","","","","","West Virginia","Jarvisville, WV","","","","","USA","West Virginia","privately held","","mining and minerals","coal mining","Extracted from a download of MSHA's Violations Data Set downloaded on 3/02/2022, available at https://www.msha.gov/mine-data-retrieval-system",""
"Ten-Mile Coal Co., Inc.","Ten-Mile Coal","$11,000","$0","$11,000","2012","20120731","safety-related offenses","workplace safety or health violation","mining violation","","federal","agency action","Mine Safety and Health Administration","civil","","","","","","West Virginia","Jarvisville, WV","","","","","USA","West Virginia","privately held","","mining and minerals","coal mining","Extracted from a download of MSHA's Violations Data Set downloaded on 3/02/2022, available at https://www.msha.gov/mine-data-retrieval-system",""
"Ten-Mile Coal Co., Inc.","Ten-Mile Coal","$6,458","$0","$6,458","2014","20141117","safety-related offenses","workplace safety or health violation","mining violation","","federal","agency action","Mine Safety and Health Administration","civil","","","","","","West Virginia","Jarvisville, WV","","","","","USA","West Virginia","privately held","","mining and minerals","coal mining","Extracted from a download of MSHA's Violations Data Set downloaded on 3/02/2022, available at https://www.msha.gov/mine-data-retrieval-system",""
"Ten-Mile Coal Co., Inc.","Ten-Mile Coal","$9,634","$0","$9,634","2012","20121204","safety-related offenses","workplace safety or health violation","mining violation","","federal","agency action","Mine Safety and Health Administration","civil","","","","","","West Virginia","Jarvisville, WV","","","","","USA","West Virginia","privately held","","mining and minerals","coal mining","Extracted from a download of MSHA's Violations Data Set downloaded on 3/02/2022, available at https://www.msha.gov/mine-data-retrieval-system",""
"Ten-Mile Coal Co., Inc.","Ten-Mile Coal","$7,578","$0","$7,578","2011","20110714","safety-related offenses","workplace safety or health violation","mining violation","","federal","agency action","Mine Safety and Health Administration","civil","","","","","","West Virginia","Jarvisville, WV","","","","","USA","West Virginia","privately held","","mining and minerals","coal mining","Extracted from a download of MSHA's Violations Data Set downloaded on 3/02/2022, available at https://www.msha.gov/mine-data-retrieval-system",""
"Ten-Mile Coal Co., Inc.","Ten-Mile Coal","$8,209","$0","$8,209","2011","20110209","safety-related offenses","workplace safety or health violation","mining violation","","federal","agency action","Mine Safety and Health Administration","civil","","","","","","West Virginia","Jarvisville, WV","","","","","USA","West Virginia","privately held","","mining and minerals","coal mining","Extracted from a download of MSHA's Violations Data Set downloaded on 3/02/2022, available at https://www.msha.gov/mine-data-retrieval-system",""
"Ten-Mile Coal Co., Inc.","Ten-Mile Coal","$5,961","$0","$5,961","2012","20121019","safety-related offenses","workplace safety or health violation","mining violation","","federal","agency action","Mine Safety and Health Administration","civil","","","","","","West Virginia","Jarvisville, WV","","","","","USA","West Virginia","privately held","","mining and minerals","coal mining","Extracted from a download of MSHA's Violations Data Set downloaded on 3/02/2022, available at https://www.msha.gov/mine-data-retrieval-system",""
"Ten-Mile Coal Co., Inc.","Ten-Mile Coal","$5,000","$0","$5,000","2013","20130806","safety-related offenses","workplace safety or health violation","mining violation","","federal","agency action","Mine Safety and Health Administration","civil","","","","","","West Virginia","Jarvisville, WV","","","","","USA","West Virginia","privately held","","mining and minerals","coal mining","Extracted from a download of MSHA's Violations Data Set downloaded on 3/02/2022, available at https://www.msha.gov/mine-data-retrieval-system",""
"Ten-Mile Coal Co., Inc.","Ten-Mile Coal","$6,100","$0","$6,100","2012","20121130","safety-related offenses","workplace safety or health violation","mining violation","","federal","agency action","Mine Safety and Health Administration","civil","","","","","","West Virginia","Jarvisville, WV","","","","","USA","West Virginia","privately held","","mining and minerals","coal mining","Extracted from a download of MSHA's Violations Data Set downloaded on 3/02/2022, available at https://www.msha.gov/mine-data-retrieval-system",""
"Ten-Mile Coal Co., Inc.","Ten-Mile Coal","$7,300","$0","$7,300","2012","20120731","safety-related offenses","workplace safety or health violation","mining violation","","federal","agency action","Mine Safety and Health Administration","civil","","","","","","West Virginia","Jarvisville, WV","","","","","USA","West Virginia","privately held","","mining and minerals","coal mining","Extracted from a download of MSHA's Violations Data Set downloaded on 3/02/2022, available at https://www.msha.gov/mine-data-retrieval-system",""
"Ten-Mile Coal Co., Inc.","Ten-Mile Coal","$18,500","$0","$18,500","2012","20120911","safety-related offenses","workplace safety or health violation","mining violation","","federal","agency action","Mine Safety and Health Administration","civil","","","","","","West Virginia","Jarvisville, WV","","","","","USA","West Virginia","privately held","","mining and minerals","coal mining","Extracted from a download of MSHA's Violations Data Set downloaded on 3/02/2022, available at https://www.msha.gov/mine-data-retrieval-system",""
"Ten-Mile Coal Co., Inc.","Ten-Mile Coal","$5,080","$0","$5,080","2012","20120726","safety-related offenses","workplace safety or health violation","mining violation","","federal","agency action","Mine Safety and Health Administration","civil","","","","","","West Virginia","Jarvisville, WV","","","","","USA","West Virginia","privately held","","mining and minerals","coal mining","Extracted from a download of MSHA's Violations Data Set downloaded on 3/02/2022, available at https://www.msha.gov/mine-data-retrieval-system",""
"Ten-Mile Coal Co., Inc.","Ten-Mile Coal","$5,800","$0","$5,800","2012","20120827","safety-related offenses","workplace safety or health violation","mining violation","","federal","agency action","Mine Safety and Health Administration","civil","","","","","","West Virginia","Jarvisville, WV","","","","","USA","West Virginia","privately held","","mining and minerals","coal mining","Extracted from a download of MSHA's Violations Data Set downloaded on 3/02/2022, available at https://www.msha.gov/mine-data-retrieval-system",""
"Ten-Mile Coal Co., Inc.","Ten-Mile Coal","$14,706","$0","$14,706","2011","20110214","safety-related offenses","workplace safety or health violation","mining violation","","federal","agency action","Mine Safety and Health Administration","civil","","","","","","West Virginia","Jarvisville, WV","","","","","USA","West Virginia","privately held","","mining and minerals","coal mining","Extracted from a download of MSHA's Violations Data Set downloaded on 3/02/2022, available at https://www.msha.gov/mine-data-retrieval-system",""
"Ten-Mile Coal Co., Inc.","Ten-Mile Coal","$70,000","$0","$70,000","2012","20121228","safety-related offenses","workplace safety or health violation","mining violation","","federal","agency action","Mine Safety and Health Administration","civil","","","","","","West Virginia","Jarvisville, WV","","","","","USA","West Virginia","privately held","","mining and minerals","coal mining","Extracted from a download of MSHA's Violations Data Set downloaded on 3/02/2022, available at https://www.msha.gov/mine-data-retrieval-system",""
"Ten-Mile Coal Co., Inc.","Ten-Mile Coal","$9,798","$0","$9,798","2013","20130122","safety-related offenses","workplace safety or health violation","mining violation","","federal","agency action","Mine Safety and Health Administration","civil","","","","","","West Virginia","Jarvisville, WV","","","","","USA","West Virginia","privately held","","mining and minerals","coal mining","Extracted from a download of MSHA's Violations Data Set downloaded on 3/02/2022, available at https://www.msha.gov/mine-data-retrieval-system",""
"Ten-Mile Coal Co., Inc.","Ten-Mile Coal","$7,500","$0","$7,500","2014","20141104","safety-related offenses","workplace safety or health violation","mining violation","","federal","agency action","Mine Safety and Health Administration","civil","","","","","","West Virginia","Jarvisville, WV","","","","","USA","West Virginia","privately held","","mining and minerals","coal mining","Extracted from a download of MSHA's Violations Data Set downloaded on 3/02/2022, available at https://www.msha.gov/mine-data-retrieval-system",""
"Ten-Mile Coal Co., Inc.","Ten-Mile Coal","$7,000","$0","$7,000","2013","20130801","safety-related offenses","workplace safety or health violation","mining violation","","federal","agency action","Mine Safety and Health Administration","civil","","","","","","West Virginia","Jarvisville, WV","","","","","USA","West Virginia","privately held","","mining and minerals","coal mining","Extracted from a download of MSHA's Violations Data Set downloaded on 3/02/2022, available at https://www.msha.gov/mine-data-retrieval-system",""
