"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"Maxwell Technologies","Tesla Inc.","$320,000","$0","$320,000","2000","20000307","government-contracting-related offenses","False Claims Act and related","","A Nevada defense contractor agreed to pay the United States $320,000 to settle allegations that the company sold improperly tested electronic parts to the U.S. Department of Defense and the National Aeronautics and Space Administration for a number of military and aerospace programs.","federal","agency action","Justice Department Civil Division","civil","","","","","","","","","","","","USA","California","publicly traded","Nasdaq: TSLA","motor vehicles","motor vehicles and energy","https://www.justice.gov/archive/opa/pr/2000/March/102civ.htm",""
"Maxwell Technologies Inc.","Tesla Inc.","$8,000,000","$0","$8,000,000","2011","20110131","competition-related offenses","Foreign Corrupt Practices Act","","Maxwell Technologies Inc. agreed to pay an $8 million criminal penalty to resolve Foreign Corrupt Practices Act charges of bribing Chinese government officials to secure sales of Maxwell's products to state-owned manufacturers of electric-utility infrastructure in several Chinese provinces.","federal","agency action","Justice Department Criminal Division","criminal","deferred prosecution agreement","","","","","","","","","","","USA","California","publicly traded","Nasdaq: TSLA","motor vehicles","motor vehicles and energy","https://www.justice.gov/opa/pr/maxwell-technologies-inc-resolves-foreign-corrupt-practices-act-investigation-and-agrees-pay",""
"Maxwell Technologies Inc.","Tesla Inc.","$6,350,890","$0","$6,350,890","2011","20110131","competition-related offenses","Foreign Corrupt Practices Act","","","federal","agency action","Securities and Exchange Commission","civil","","","","","","","","","","","","USA","California","publicly traded","Nasdaq: TSLA","motor vehicles","motor vehicles and energy","https://www.sec.gov/news/press/2011/2011-31.htm",""
"Solarcity Corporation","Tesla Inc.","$751,154","$0","$751,154","2013","20131001","employment-related offenses","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1707755","","","California","San Mateo","","94402","22111","22111: Electric Power Generation","USA","California","publicly traded","Nasdaq: TSLA","motor vehicles","motor vehicles and energy","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"SOLARCITY CORPORATION","Tesla Inc.","$26,500","$0","$26,500","2010","20100408","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","California","SAN PABLO","2880 WEST LANE","94806","334413","334413: Semiconductor and Related Device Manufacturing","USA","California","publicly traded","Nasdaq: TSLA","motor vehicles","motor vehicles and energy","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"SolarCity Corporation","Tesla Inc.","$29,500,000","$0","$29,500,000","2017","20170922","government-contracting-related offenses","False Claims Act and related","","SolarCity Corporation agreed to pay $29.5 million to resolve allegations that it violated the False Claims Act by submitting inflated claims on behalf of itself and affiliated investment funds to the U.S. Department of the Treasury pursuant to Section 1603 of the American Recovery and Reinvestment Act.","federal","agency action","Justice Department Civil Division","civil","","","","","","","","","","","","USA","California","publicly traded","Nasdaq: TSLA","motor vehicles","motor vehicles and energy","https://www.justice.gov/opa/pr/solarcity-agrees-resolve-alleged-false-claims-act-violations-arising-renewable-energy-grant",""
"Maxwell Technologies, Inc.","Tesla Inc.","$2,800,000","$0","$2,800,000","2018","20180327","financial offenses","accounting fraud or deficiencies","","","federal","agency action","Securities and Exchange Commission","civil","","","","","","","","","","","","USA","California","publicly traded","Nasdaq: TSLA","motor vehicles","motor vehicles and energy","https://www.sec.gov/news/press-release/2018-48",""
"Tesla Inc.","Tesla Inc.","$20,000,000","$0","$20,000,000","2018","20180929","financial offenses","investor protection violation","","At the same time that Tesla CEO Elon Musk agreed to settle securities fraud allegations, the company settled allegations of failing to have required disclosure controls and procedures relating to Musk's tweets. Musk and the company each agreed to pay a penalty of $20 million.","federal","agency action","Securities and Exchange Commission","civil","","","","","","","","","","","","USA","California","publicly traded","Nasdaq: TSLA","motor vehicles","motor vehicles and energy","https://www.sec.gov/news/press-release/2018-226",""
"Tesla, Inc.","Tesla Inc.","$1,026,755","$0","$1,026,755","2018","20181221","employment-related offenses","wage and hour violation","","","federal","private litigation","","civil","","Northern District of California","3:17-cv-3763","Wilson v. Tesla, Inc.","settlement","","","","","","","USA","California","publicly traded","Nasdaq: TSLA","motor vehicles","motor vehicles and energy","https://www.law360.com/articles/1086837/calif-judge-gives-initial-ok-to-1m-tesla-overtime-deal",""
"Tesla Motors Inc.","Tesla Inc.","$86,000","$0","$86,000","2019","20190401","environment-related offenses","environmental violation","","hazardous waste violation","federal","agency action","Environmental Protection Agency referral to the Justice Department","civil","","","","","","California","","","","","","USA","California","publicly traded","Nasdaq: TSLA","motor vehicles","motor vehicles and energy","https://www.epa.gov/newsreleases/us-epa-settles-tesla-over-hazardous-waste-violations-fremont-calif-facility",""
