"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"UPS FREIGHT","TFI International","$14,380","$0","$14,380","2018","20181221","environment-related offenses","environmental violation","","","state","agency action","Pennsylvania Department of Environmental Protection","civil","","","","","","Pennsylvania","","","","","","Canada","","publicly traded","","freight and logistics","freight and logistics","Contained in data received from the agency on February 25, 2021 in response to an open records request. The data -- which in some cases merged penalty amounts from multiple violations --was a spreadsheet version of information contained in individual case documents that can be retrieved at https://www.ahs.dep.pa.gov/eFACTSWeb/default.aspx",""
"UPS FREIGHT","TFI International","$10,750","$0","$10,750","2017","20170224","environment-related offenses","environmental violation","","","state","agency action","Pennsylvania Department of Environmental Protection","civil","","","","","","Pennsylvania","","","","","","Canada","","publicly traded","","freight and logistics","freight and logistics","Contained in data received from the agency on February 25, 2021 in response to an open records request. The data -- which in some cases merged penalty amounts from multiple violations --was a spreadsheet version of information contained in individual case documents that can be retrieved at https://www.ahs.dep.pa.gov/eFACTSWeb/default.aspx",""
"Overnite Transporation Co.","TFI International","$46,079","$0","$46,079","2002","20020809","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","20-CA-28707-001","","","California","West Sacramento","","95605","484110","484110: General Freight Trucking, Local","Canada","","publicly traded","","freight and logistics","freight and logistics","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"Overnite Transportation","TFI International","$232,250","$0","$232,250","2006","20061031","employment-related offenses","employment discrimination","","race","federal","agency action","Office of Federal Contract Compliance Programs","civil","","","","","","Illinois","South Holland","","","","","Canada","","publicly traded","","freight and logistics","freight and logistics","FOIA522","Source document obtained through a Freedom of Information Act request to the agency."
"Overnite Transportation","TFI International","$33,542","$0","$33,542","2003","20030117","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","26-CA-17715-001","","","Mississippi","Tupelo","","38803","484121","484121: General Freight Trucking, Long-Distance, Truckload","Canada","","publicly traded","","freight and logistics","freight and logistics","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"Overnite Transportation","TFI International","$15,778","$0","$15,778","2002","20021007","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","15-CA-14499-001","","","Louisiana","New Orleans","","70129","484121","484121: General Freight Trucking, Long-Distance, Truckload","Canada","","publicly traded","","freight and logistics","freight and logistics","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"Overnite Transportation","TFI International","$8,587","$0","$8,587","2003","20030213","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","13-CA-31681-001","","","Illinois","Bedford Park","","60499","484121","484121: General Freight Trucking, Long-Distance, Truckload","Canada","","publicly traded","","freight and logistics","freight and logistics","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"Overnite Transportation","TFI International","$5,000","$0","$5,000","2003","20031119","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","Canada","","publicly traded","","freight and logistics","freight and logistics","Taken from the Federal Railroad Administration's FY2004 safety penalty report obtained through a Freedom of Information Act request. A copy is available upon request. ",""
"OVERNITE TRANSPORTATION CO.","TFI International","$30,000","$0","$30,000","2002","20020625","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","15-CA-16565-001","","","Louisiana","NEW ORLEANS","","70117","488510","488510: Freight Transportation Arrangement","Canada","","publicly traded","","freight and logistics","freight and logistics","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"Overnite Transportation Co.","TFI International","$12,914","$0","$12,914","2003","20030213","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","13-CA-34592-001","","","Illinois","Palatine","","60016","484110","484110: General Freight Trucking, Local","Canada","","publicly traded","","freight and logistics","freight and logistics","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"Overnite Transportation Company","TFI International","$115,000","$0","$115,000","2001","20010626","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","17-CA-20329-003","","","Kansas","Kansas City","","66106","484122","484122: General Freight Trucking, Long-Distance, Less Than Truckload","Canada","","publicly traded","","freight and logistics","freight and logistics","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"Overnite Transportation Company","TFI International","$1,600,000","$0","$1,600,000","2003","20030626","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","18-CA-13869-001","","","Minnesota","Blaine","","55434","484110","484110: General Freight Trucking, Local","Canada","","publicly traded","","freight and logistics","freight and logistics","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
