"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"The Timken Company","Timken","$120,000","$0","$120,000","2011","20110429","employment-related offenses","employment discrimination","Americans with Disabilities Act","gender and disability","federal","agency action","Equal Employment Opportunity Commission","civil","","","","","","North Carolina","","","","","","USA","Ohio","publicly traded","TKR","industrial equipment","industrial equipment","https://www.eeoc.gov/eeoc/newsroom/release/4-29-11.cfm","Description field shows type of discrimination that EEOC had alleged."
"The Timken Company","Timken","$21,033","$0","$21,033","2002","20021121","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","08-CA-28174-001","","","Ohio","Bucyrus","","44820","331111","331111: Iron and Steel Mills","USA","Ohio","publicly traded","TKR","industrial equipment","industrial equipment","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"The Timken Company","Timken","$15,000","$0","$15,000","2004","20040917","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","08-CA-35074-001","","","Ohio","New Philadelphia","","35074","332991","332991: Ball and Roller Bearing Manufacturing","USA","Ohio","publicly traded","TKR","industrial equipment","industrial equipment","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"TIMKEN COMPANY","Timken","$8,000","$0","$8,000","2009","20090224","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Ohio","CANTON","HARRISON STEEL PLANT","44706","332991","332991: Ball and Roller Bearing Manufacturing","USA","Ohio","publicly traded","TKR","industrial equipment","industrial equipment","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"TIMKEN CO","Timken","$5,000","$0","$5,000","2009","20090120","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Ohio","CANTON","2401 GAMBRINUS AVE., S.W.","44706","332991","332991: Ball and Roller Bearing Manufacturing","USA","Ohio","publicly traded","TKR","industrial equipment","industrial equipment","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"TIMKEN AEROSPACE TRANSMISSIONS, LLC","Timken","$5,500","$0","$5,500","2009","20090303","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Connecticut","MANCHESTER","586 HILLIARD STREET","06042","332116","332116: Metal Stamping","USA","Ohio","publicly traded","TKR","industrial equipment","industrial equipment","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"TIMKEN CO.","Timken","$7,000","$0","$7,000","2008","20080114","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Ohio","CANTON","2401 GAMBRINUS AVENUE, S.W.","44706","332991","332991: Ball and Roller Bearing Manufacturing","USA","Ohio","publicly traded","TKR","industrial equipment","industrial equipment","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"TIMKEN CO.","Timken","$11,750","$0","$11,750","2007","20070802","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Ohio","CANTON","HARRISON AVENUE SW","44706","331111","331111: Iron and Steel Mills","USA","Ohio","publicly traded","TKR","industrial equipment","industrial equipment","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"TIMKEN CO.","Timken","$5,000","$0","$5,000","2007","20070702","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Ohio","CANTON","2401 GAMBRINUS AVENUE, S.W.","44706","331111","331111: Iron and Steel Mills","USA","Ohio","publicly traded","TKR","industrial equipment","industrial equipment","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"TIMKEN CO.","Timken","$21,000","$0","$21,000","2006","20060607","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Ohio","CANTON","1835 DUEBER AVE, S.W.","44706","331221","331221: Rolled Steel Shape Manufacturing","USA","Ohio","publicly traded","TKR","industrial equipment","industrial equipment","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
