"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"S & W Ready Mix Concrete Co., Inc.","Titan Group","$6,500","$0","$6,500","2003","20030813","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","11-CA-19921-001","","","North Carolina","Clinton","","28329","238110","238110: Poured Concrete Foundation and Structure Contractors","Greece","","publicly traded","","building materials","building materials","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"S & W READY MIX CONCRETE COMPANY","Titan Group","$5,670","$0","$5,670","2007","20070306","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","North Carolina","FAYETTEVILLE","1309 SOUTH REILLY RD.","28314","327320","327320: Ready-Mix Concrete Manufacturing","Greece","","publicly traded","","building materials","building materials","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"TITAN AMERICA, LLC","Titan Group","$7,000","$0","$7,000","2020","20200728","environment-related offenses","environmental violation","","industrial waste violation","state","agency action","Florida Department of Environmental Protection","civil","","","201082","","","Florida","","","","","","Greece","","publicly traded","","building materials","building materials","Contained in a spreadsheet received from the agency on October 2, 2020 in response to an open records request. The spreadsheet included data from  the agency's Oculus database, which can be searched at https://prodenv.dep.state.fl.us/DepNexus/public/searchPortal","Case number is the designation given by the DEP's Office of General Counsel."
"S&W READY MIX CONCRETE CO INC","Titan Group","$7,000","$0","$7,000","2007","20070209","environment-related offenses","environmental violation","","air quality violation","state","agency action","South Carolina Department of Health and Environmental Control","civil","","","07-009-A","","","South Carolina","","","","","","Greece","","publicly traded","","building materials","building materials","Contained in data received from the agency on October 22, 2020 in response to an open records request.",""
"Roanoke Cement Company, LLC","Titan Group","$15,600","$0","$15,600","2010","20101001","environment-related offenses","environmental violation","","","state","agency action","Virginia Department of Environmental Quality","civil","","","","","","Virginia","Roanoke","","","","","Greece","","publicly traded","","building materials","building materials","https://www.deq.virginia.gov/permits-regulations/enforcement/final-orders",""
"ROANOKE CEMENT LLC","Titan Group","$7,738","$0","$7,738","2017","20171115","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Virginia","RICHMOND","2800 NORTH HOPKINS ROAD","23224","423320","423320: Brick, Stone, and Related Construction Material Merchant Wholesalers","Greece","","publicly traded","","building materials","building materials","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"ROANOKE CEMENT COMPANY, LLC","Titan Group","$9,135","$0","$9,135","2020","20200722","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Virginia","CHESAPEAKE","1332 PRIORITY LANE","23324","327320","327320: Ready-Mix Concrete Manufacturing","Greece","","publicly traded","","building materials","building materials","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"ROANOKE CEMENT CO","Titan Group","$5,000","$0","$5,000","2004","20040630","environment-related offenses","environmental violation","","","federal","agency action","Environmental Protection Agency","civil","","","03-2004-0121","","","Virginia","TROUTVILLE","6071 CATAWBA ROAD","24175","327310","327310: Cement Manufacturing","Greece","","publicly traded","","building materials","building materials","Extracted from a download of the EPA's Enforcement and Compliance History Online (ECHO) ICIS FE&C file downloaded on 3/02/2022, available at http://echo.epa.gov/tools/data-downloads#downloads",""
"Titan Florida LLC","Titan Group","$15,000","$0","$15,000","2005","20051019","safety-related offenses","workplace safety or health violation","mining violation","","federal","agency action","Mine Safety and Health Administration","civil","","","","","","Florida","Medley","","","","","Greece","","publicly traded","","building materials","building materials","Extracted from a download of MSHA's Violations Data Set downloaded on 3/02/2022, available at https://www.msha.gov/mine-data-retrieval-system",""
"Titan Florida LLC","Titan Group","$25,000","$0","$25,000","2005","20051019","safety-related offenses","workplace safety or health violation","mining violation","","federal","agency action","Mine Safety and Health Administration","civil","","","","","","Florida","Medley","","","","","Greece","","publicly traded","","building materials","building materials","Extracted from a download of MSHA's Violations Data Set downloaded on 3/02/2022, available at https://www.msha.gov/mine-data-retrieval-system",""
"Titan Florida LLC","Titan Group","$21,442","$0","$21,442","2007","20070829","safety-related offenses","workplace safety or health violation","mining violation","","federal","agency action","Mine Safety and Health Administration","civil","","","","","","Florida","Dade","","","","","Greece","","publicly traded","","building materials","building materials","Extracted from a download of MSHA's Violations Data Set downloaded on 3/02/2022, available at https://www.msha.gov/mine-data-retrieval-system",""
"Titan Florida LLC","Titan Group","$14,500","$0","$14,500","2010","20100209","safety-related offenses","workplace safety or health violation","mining violation","","federal","agency action","Mine Safety and Health Administration","civil","","","","","","Florida","Dade","","","","","Greece","","publicly traded","","building materials","building materials","Extracted from a download of MSHA's Violations Data Set downloaded on 3/02/2022, available at https://www.msha.gov/mine-data-retrieval-system",""
"Roanoke Cement Co., LLC","Titan Group","$9,634","$0","$9,634","2008","20080916","safety-related offenses","workplace safety or health violation","mining violation","","federal","agency action","Mine Safety and Health Administration","civil","","","","","","Virginia","Cloverdale","","","","","Greece","","publicly traded","","building materials","building materials","Extracted from a download of MSHA's Violations Data Set downloaded on 3/02/2022, available at https://www.msha.gov/mine-data-retrieval-system",""
"Titan Florida LLC","Titan Group","$11,500","$0","$11,500","2010","20100629","safety-related offenses","workplace safety or health violation","mining violation","","federal","agency action","Mine Safety and Health Administration","civil","","","","","","Florida","Medley","","","","","Greece","","publicly traded","","building materials","building materials","Extracted from a download of MSHA's Violations Data Set downloaded on 3/02/2022, available at https://www.msha.gov/mine-data-retrieval-system",""
"Titan Florida LLC","Titan Group","$10,306","$0","$10,306","2011","20110818","safety-related offenses","workplace safety or health violation","mining violation","","federal","agency action","Mine Safety and Health Administration","civil","","","","","","Florida","Medley","","","","","Greece","","publicly traded","","building materials","building materials","Extracted from a download of MSHA's Violations Data Set downloaded on 3/02/2022, available at https://www.msha.gov/mine-data-retrieval-system",""
"Roanoke Cement Co., LLC","Titan Group","$26,250","$0","$26,250","2013","20130110","safety-related offenses","workplace safety or health violation","mining violation","","federal","agency action","Mine Safety and Health Administration","civil","","","","","","Virginia","Cloverdale","","","","","Greece","","publicly traded","","building materials","building materials","Extracted from a download of MSHA's Violations Data Set downloaded on 3/02/2022, available at https://www.msha.gov/mine-data-retrieval-system",""
