"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"Philadelphia Indemnity Insurance Company","Tokio Marine","$30,508","$0","$30,508","2018","20181005","government-contracting-related offenses","False Claims Act and related","","","federal","agency action","U.S. Attorney-Northern District of Indiana","civil","","","","","","","","","","","","Japan","","publicly traded","","financial services","insurance","https://www.justice.gov/usao-ndin/pr/settlement-martin-enterprises-inc-and-its-surety-submitting-false-claims-demolition",""
"The Tokio Marine and Fire Insurance Company, Ltd. and Trans Pacific Insurance Co.","Tokio Marine","$42,500","$0","$42,500","2003","20030923","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Insurance","civil","","","","","","California","","","","","","Japan","","publicly traded","","financial services","insurance","https://legaldocs.insurance.ca.gov/publicdocs/SearchBasic",""
"Philadelphia Indemnity Insurance Co.","Tokio Marine","$175,000","$0","$175,000","2005","20050216","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Insurance","civil","","","","","","California","","","","","","Japan","","publicly traded","","financial services","insurance","https://legaldocs.insurance.ca.gov/publicdocs/SearchBasic",""
"American Contractors Indemnity Co.","Tokio Marine","$170,000","$0","$170,000","2007","20071128","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Insurance","civil","","","","","","California","","","","","","Japan","","publicly traded","","financial services","insurance","https://legaldocs.insurance.ca.gov/publicdocs/SearchBasic",""
"Philadelphia Indemnity Insurance Co.","Tokio Marine","$60,000","$0","$60,000","2008","20080925","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Insurance","civil","","","","","","California","","","","","","Japan","","publicly traded","","financial services","insurance","https://legaldocs.insurance.ca.gov/publicdocs/SearchBasic",""
"Reliance Standard Life Insurance Co.","Tokio Marine","$6,300","$0","$6,300","2009","20090512","consumer-protection-related offenses","insurance violation","","","state","agency action","Kansas Insurance Department","civil","","","","","","Kansas","","","","","","Japan","","publicly traded","","financial services","insurance","https://insurance.ks.gov/department/LegalIssues/orders/2009/rslic.pdf",""
"Philadelphia Indemnity Insurance Company","Tokio Marine","$7,040","$0","$7,040","2000","20000721","consumer-protection-related offenses","insurance violation","","","state","agency action","Massachusetts Division of Insurance","civil","","","","","","Massachusetts","","","","","","Japan","","publicly traded","","financial services","insurance","https://www.mass.gov/service-details/year-2000-administrative-actions-july-to-september","Link is to summary of Order, suspended or shared liability for penalties not available."
"Philadelphia Indemnity Insurance Co.","Tokio Marine","$7,500","$0","$7,500","2014","20141205","consumer-protection-related offenses","insurance violation","","","state","agency action","Maryland Insurance Administration","civil","","","MIA-2014-12-007","","","Maryland","","","","","","Japan","","publicly traded","","financial services","insurance","https://www.apps.insurance.maryland.gov/CompanyProducerInfo/InsOrder.aspx",""
"Safety National Casualty Corp.","Tokio Marine","$5,000","$0","$5,000","2017","20170123","consumer-protection-related offenses","insurance violation","","","state","agency action","Maryland Insurance Administration","civil","","","MIA-2017-01-025","","","Maryland","","","","","","Japan","","publicly traded","","financial services","insurance","https://www.apps.insurance.maryland.gov/CompanyProducerInfo/InsOrder.aspx",""
"Privilege Underwriters Reciprocal Exchange","Tokio Marine","$15,300","$0","$15,300","2019","20190731","consumer-protection-related offenses","insurance violation","","","state","agency action","Maryland Insurance Administration","civil","","","MIA-2019-07-027","","","Maryland","","","","","","Japan","","publicly traded","","financial services","insurance","https://www.apps.insurance.maryland.gov/CompanyProducerInfo/InsOrder.aspx",""
"Philadelphia Indemnity Insurance Co.","Tokio Marine","$5,000","$0","$5,000","2015","20150219","consumer-protection-related offenses","insurance violation","","","state","agency action","Minnesota Department of Commerce","civil","","","","","","Minnesota","","","","","","Japan","","publicly traded","","financial services","insurance","https://www.cards.commerce.state.mn.us/CARDS/security/search.do?documentId={E0485598-20BB-4444-9E99-6157F2BE57FB}",""
"Philadelphia Indemnity Insurance Co.","Tokio Marine","$5,000","$0","$5,000","2015","20151116","consumer-protection-related offenses","insurance violation","","","state","agency action","Minnesota Department of Commerce","civil","","","","","","Minnesota","","","","","","Japan","","publicly traded","","financial services","insurance","https://www.cards.commerce.state.mn.us/CARDS/security/search.do?documentId={1E0727A7-4EB5-463F-9CC2-CB537C5BA5B6}",""
"HCC Life Insurance Co.","Tokio Marine","$5,000","$0","$5,000","2016","20160929","consumer-protection-related offenses","insurance violation","","","state","agency action","Minnesota Department of Commerce","civil","","","","","","Minnesota","","","","","","Japan","","publicly traded","","financial services","insurance","https://www.cards.commerce.state.mn.us/CARDS/security/search.do?documentId={3B9CDD22-DECA-43BC-9530-67AF35898B3E}",""
"Safety National Casualty Co.","Tokio Marine","$61,250","$0","$61,250","2013","20130415","consumer-protection-related offenses","insurance violation","","","state","agency action","Missouri Department of Insurance","civil","","","","","","Missouri","","","","","","Japan","","publicly traded","","financial services","insurance","https://insurance.mo.gov/Contribute%20Documents/SafetyNatCasCorp.pdf",""
"Safety First Insurance Co.","Tokio Marine","$12,250","$0","$12,250","2013","20130415","consumer-protection-related offenses","insurance violation","","","state","agency action","Missouri Department of Insurance","civil","","","","","","Missouri","","","","","","Japan","","publicly traded","","financial services","insurance","https://insurance.mo.gov/Contribute%20Documents/SafetyFirstInsCo.pdf",""
"Tokio Marine & Nichido Fire Insurance Co.","Tokio Marine","$29,750","$0","$29,750","2013","20131029","consumer-protection-related offenses","insurance violation","","","state","agency action","Missouri Department of Insurance","civil","","","","","","Missouri","","","","","","Japan","","publicly traded","","financial services","insurance","https://insurance.mo.gov/Contribute%20Documents/TokioMarineMC.pdf",""
"Safety National Casualty Corp.","Tokio Marine","$5,000","$0","$5,000","2004","20040719","consumer-protection-related offenses","insurance violation","","","state","agency action","Mississippi Insurance Department","civil","","","","","","Mississippi","","","","","","Japan","","publicly traded","","financial services","insurance","http://www.mid.ms.gov/legal/enforcement-actions.aspx#2004","Copy of Order not on Department website, details of shared or suspended penalties not available."
"Safety National Casualty Corp.","Tokio Marine","$10,000","$0","$10,000","2008","20080626","consumer-protection-related offenses","insurance violation","","","state","agency action","Mississippi Insurance Department","civil","","","","","","Mississippi","","","","","","Japan","","publicly traded","","financial services","insurance","http://www.mid.ms.gov/legal/orders/order071708a.pdf",""
"HCC Life Insurance Co. and HCC Medical Insurance Services, LLC","Tokio Marine","$130,000","$0","$130,000","2017","20170105","consumer-protection-related offenses","insurance violation","","","state","agency action","Montana Commissioner of Securities & Insurance","civil","","","","","","Montana","","","","","","Japan","","publicly traded","","financial services","insurance","https://csimt.gov/wp-content/uploads/PLEADING-2018.1.5-Consent-agreement-HCC.pdf",""
"Tokio Marine Kiln Syndicates Limited et al.","Tokio Marine","$60,000","$0","$60,000","2018","20180406","consumer-protection-related offenses","insurance violation","","","state","agency action","New Jersey Department of Banking & Insurance","civil","","","","","","New Jersey","","","","","","Japan","","publicly traded","","financial services","insurance","https://www.state.nj.us/dobi/division_insurance/enforcement/e18_27.pdf",""
"Tokio Marine Kiln Syndicates Limited and Beazley Furlonge Limited","Tokio Marine","$920,000","$0","$920,000","2017","20171128","consumer-protection-related offenses","insurance violation","","The Department of Financial Services entered into a consent order with Clements & Company, two Lloyd's of London syndicates managed by Tokio Marine Kiln Syndicates Limited and Beazley Furlonge Limited, and the United Nations Federal Credit Union (UNFCU) for offering, marketing and underwriting an unlicensed credit and debit card-based life insurance program for UNFCU members. ","state","agency action","New York Department of Financial Services","civil","","","","","","New York","","","","","","Japan","","publicly traded","","financial services","insurance","https://www.dfs.ny.gov/about/press/pr1711282.htm",""
"Reliance Standard Life Insurance Company","Tokio Marine","$10,000","$0","$10,000","2007","20070328","consumer-protection-related offenses","insurance violation","","","state","agency action","Oregon Division of Financial Regulation","civil","","","","","","Oregon","","","","","","Japan","","publicly traded","","financial services","insurance","https://dfr.oregon.gov/AdminOrders/actions_2007/insurer_2007/marketplace_2007/07-03-007.pdf",""
"Reliance Standard Life Insurance Company","Tokio Marine","$5,000","$0","$5,000","2007","20071031","consumer-protection-related offenses","insurance violation","","","state","agency action","Oregon Division of Financial Regulation","civil","","","","","","Oregon","","","","","","Japan","","publicly traded","","financial services","insurance","https://dfr.oregon.gov/AdminOrders/actions_2007/insurer_2007/marketplace_2007/07-10-014.pdf",""
"Safety National Casualty Corporation","Tokio Marine","$32,109","$0","$32,109","2014","20140417","consumer-protection-related offenses","insurance violation","","workers compensation","state","agency action","Texas Department of Insurance","civil","","","","","","Texas","","","","","","Japan","","publicly traded","","financial services","insurance","https://wwwapps.tdi.state.tx.us/inter/asproot/commish/da/dwcclips2014.asp?page=4",""
