"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"TOLL BROS INC","Toll Brothers","$30,600","$0","$30,600","2003","20030602","environment-related offenses","environmental violation","","","state","agency action","Pennsylvania Department of Environmental Protection","civil","","","","","","Pennsylvania","","","","","","USA","Pennsylvania","publicly traded","TOL","construction and engineering","homebuilding","Contained in data received from the agency on February 25, 2021 in response to an open records request. The data -- which in some cases merged penalty amounts from multiple violations --was a spreadsheet version of information contained in individual case documents that can be retrieved at https://www.ahs.dep.pa.gov/eFACTSWeb/default.aspx",""
"Toll Brothers Inc.","Toll Brothers","$741,000","$0","$741,000","2012","20120620","environment-related offenses","environmental violation","","Toll Brothers Inc., one of the nation's largest homebuilders, will pay a civil penalty of $741,000 to resolve alleged Clean Water Act violations at its construction sites, including sites located in the Chesapeake Bay Watershed, the Department of Justice and the U.S. Environmental Protection Agency (EPA) announced. Toll Brothers will also invest in a company-wide stormwater compliance program to improve employee training and increase management oversight at all current and future residential construction sites across the nation. The company is required to inspect its current and future construction sites routinely to minimize stormwater runoff from sites. Polluted stormwater runoff and sediment from construction sites can flow directly into the nearest waterway, affecting drinking water quality and damaging valuable aquatic habitats.","federal","agency action","Environmental Protection Agency referral to the Justice Department","civil","","","","","","","","","","","","USA","Pennsylvania","publicly traded","TOL","construction and engineering","homebuilding","http://www.justice.gov/opa/pr/homebuilder-toll-brothers-inc-pay-741000-clean-water-act-penalty-and-implement-company-wide",""
"Toll Brothers Inc.","Toll Brothers","$30,125","$0","$30,125","2004","20040226","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","04-CA-32313-001","","","Pennsylvania","Morrisville","","19067","236115","236115: New Single-Family Housing Construction (except Operative Builders)","USA","Pennsylvania","publicly traded","TOL","construction and engineering","homebuilding","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"TOLL BROTHERS","Toll Brothers","$15,000","$0","$15,000","2008","20080314","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Colorado","PARKER","1965 LONGS BLUFF LN","80134","236115","236115: New Single-Family Housing Construction (except Operative Builders)","USA","Pennsylvania","publicly traded","TOL","construction and engineering","homebuilding","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"TOLL BROTHERS","Toll Brothers","$10,000","$0","$10,000","2006","20060421","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Colorado","LONE TREE","10165 A RIDGE GATE CIRCLE","80124","236115","236115: New Single-Family Housing Construction (except Operative Builders)","USA","Pennsylvania","publicly traded","TOL","construction and engineering","homebuilding","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"TOLL BROTHERS, INC.","Toll Brothers","$10,800","$0","$10,800","2005","20050210","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Delaware","HOCKESSIN","109 ST. CLAIRE DRIVE","19707","236115","236115: New Single-Family Housing Construction (except Operative Builders)","USA","Pennsylvania","publicly traded","TOL","construction and engineering","homebuilding","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"TOLL BROTHERS, INC.","Toll Brothers","$5,776","$0","$5,776","2001","20010514","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","New Hampshire","BEDFORD","101 KING RD.  LOT #2","03110","000000","","USA","Pennsylvania","publicly traded","TOL","construction and engineering","homebuilding","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"TOLL BROTHERS, INC.","Toll Brothers","$7,000","$0","$7,000","2003","20030314","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Connecticut","WOODBRIDGE","122 PEAS ROAD","06525","236115","236115: New Single-Family Housing Construction (except Operative Builders)","USA","Pennsylvania","publicly traded","TOL","construction and engineering","homebuilding","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"Toll Brothers Inc.","Toll Brothers","$741,000","$741,000","$0","2012","20120620","environment-related offenses","environmental violation","","Toll Brothers Inc., one of the nation's largest homebuilders, agreed to pay $741,000 to Maryland, Virginia and the federal government to resolve alleged Clean Water Act violations at its construction sites. The settlement was also announced by the Justice Department; see the Violation Tracker entry at https://violationtracker.goodjobsfirst.org/violation-tracker/-toll-brothers-inc ","state","agency action","Multistate Attorneys General Case","civil","","","","","","","","","","","","USA","Pennsylvania","publicly traded","TOL","construction and engineering","homebuilding","https://www.justice.gov/opa/pr/homebuilder-toll-brothers-inc-pay-741000-clean-water-act-penalty-and-implement-company-wide",""
"Toll Brothers, Inc.","Toll Brothers","$22,000","$22,000","$0","2012","20120621","environment-related offenses","environmental violation","","Toll Brothers Inc., one of the nation's largest homebuilders, agreed to pay Maryland a civil penalty of $22,000 to resolve alleged Clean Water Act violations at its construction sites, including sites located in the Chesapeake Bay Watershed. This was part of a larger $741,000 settlement involving the federal government; see the Violation Tracker entry at https://violationtracker.goodjobsfirst.org/violation-tracker/-toll-brothers-inc","state","agency action","Maryland Attorney General","civil","","","","","","Maryland","","","","","","USA","Pennsylvania","publicly traded","TOL","construction and engineering","homebuilding","http://www.marylandattorneygeneral.gov/press/2012/062112.pdf",""
