"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"Masco Contractor Services d/b/a United Insulation Co.","TopBuild","$7,233","$0","$7,233","2002","20021126","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","08-CA-33573-001","","","Ohio","North Canton","","44720","423330","423330: Roofing, Siding, and Insulation Material Merchant Wholesalers","USA","Florida","publicly traded","BLD","miscellaneous services","insulation installation","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"Masco Contractor's Services-West","TopBuild","$49,638","$0","$49,638","2004","20040815","employment-related offenses","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1349844","","","Nevada","North Las Vegas","","89030","238310","238310: Drywall and Insulation Contractors","USA","Florida","publicly traded","BLD","miscellaneous services","insulation installation","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"MASCO CONTRACTOR SERVICES","TopBuild","$10,000","$0","$10,000","2008","20080102","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Washington","TRACYTON","6578 TRACYTON NW BLVD","98383","238310","238310: Drywall and Insulation Contractors","USA","Florida","publicly traded","BLD","miscellaneous services","insulation installation","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"MASCO CONTRACTOR SERVICES EAST, INC. DBA SEXTON","TopBuild","$12,500","$0","$12,500","2005","20051207","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Kentucky","LOUISVILLE","13516 FACTORY LN","40245","238160","238160: Roofing Contractors","USA","Florida","publicly traded","BLD","miscellaneous services","insulation installation","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"MASCO CONTRACTOR SERVICES INC.","TopBuild","$5,525","$0","$5,525","2006","20060203","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Pennsylvania","BRADDOCK","416 VERONA STREET","15104","238170","238170: Siding Contractors","USA","Florida","publicly traded","BLD","miscellaneous services","insulation installation","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"MASCO CONTRACTOR SVCS.DBA EASTERN INSULATION","TopBuild","$5,040","$0","$5,040","2005","20050812","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","North Carolina","ATLANTIC BEACH","106 WILLIS AVE","28512","238170","238170: Siding Contractors","USA","Florida","publicly traded","BLD","miscellaneous services","insulation installation","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"MASCO CONTRACTORS SERVICES DBA ACADEMY INSULATION","TopBuild","$5,000","$0","$5,000","2005","20050511","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Colorado","COLORADO SPRINGS","605 COUGAR BLUFF CT","80917","238390","238390: Other Building Finishing Contractors","USA","Florida","publicly traded","BLD","miscellaneous services","insulation installation","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"GEDE INSULATION, LLC","TopBuild","$5,375","$0","$5,375","2002","20021203","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Maryland","CENTREVILLE","UPPER MILLS COURT, LOT 16","21617","000000","","USA","Florida","publicly traded","BLD","miscellaneous services","insulation installation","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"Masco Contractor Services","TopBuild","$8,500,000","$0","$8,500,000","2009","20090309","employment-related offenses","wage and hour violation","","off-the-clock work","federal","private litigation","","civil","","Central District of California","08-cv-6010","Daniel Gutierrez et al v. Schmid Insulation Contractors Inc. et al","settlement","","","","","","","USA","Florida","publicly traded","BLD","miscellaneous services","insulation installation","5-9 Mealey's Litig. Rep. Employ. L. 7 (2009)",""
"Topbuild, Inc..","TopBuild","$22,807","$0","$22,807","2018","20180204","employment-related offenses","wage and hour violation","Davis-Bacon Act and related","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1844409","","","Nevada","North Las Vegas","1401 Trade Dr.","89030","238990","238990: All Other Specialty Trade Contractors","USA","Florida","publicly traded","BLD","miscellaneous services","insulation installation","February 7, 2020 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"SERVICE PARTNERS, LLC","TopBuild","$13,000","$0","$13,000","2016","20160512","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Texas","HOUSTON","7150 BUSINESS PARK DRIVE, STE 100","77041","423330","423330: Roofing, Siding, and Insulation Material Merchant Wholesalers","USA","Florida","publicly traded","BLD","miscellaneous services","insulation installation","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"SERVICE PARTNERS, LLC","TopBuild","$25,350","$0","$25,350","2016","20161027","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Georgia","DULUTH","1600 CROSS POINTE WAYSTE A","30097","423330","423330: Roofing, Siding, and Insulation Material Merchant Wholesalers","USA","Florida","publicly traded","BLD","miscellaneous services","insulation installation","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"SERVICE PARTNERS, LLC","TopBuild","$23,108","$0","$23,108","2018","20181016","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Alabama","DECATUR","645 MCENTIRE LANE NW","35601","423330","423330: Roofing, Siding, and Insulation Material Merchant Wholesalers","USA","Florida","publicly traded","BLD","miscellaneous services","insulation installation","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
