"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"Stone & Webster","Toshiba","$10,000","$0","$10,000","2009","20091022","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","11-CA-22364-001","","","South Carolina","Aiken","","29804","221122","221122: Electric Power Distribution","Japan","","publicly traded","","electrical and electronic equipment","consumer electronics","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"Stone & Webster Construction","Toshiba","$562,902","$0","$562,902","2008","20081109","employment-related offenses","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1504898","","","Colorado","Pueblo","","81005","236210","236210: Industrial Building Construction","Japan","","publicly traded","","electrical and electronic equipment","consumer electronics","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"Toshiba Corporation","Toshiba","$33,500,000","$0","$33,500,000","2000","20001013","government-contracting-related offenses","False Claims Act and related","","Toshiba Corporation reached a settlement with the United States as part of a class action suit in connection with the company's sale of defective laptop computers to government agencies. The settlement also released Toshiba from liability under the False Claims Act for the sale of defective laptop computers. In addition to paying the United States $23 million, Toshiba agreed to provide the government with $10.5 million in coupons from the company for the purchase of Toshiba products.","federal","agency action","Justice Department Civil Division","civil","","","","","","","","","","","","Japan","","publicly traded","","electrical and electronic equipment","consumer electronics","https://www.justice.gov/archive/opa/pr/2000/October/602civ.htm",""
"STONE & WEBSTER CONS., INC. MAINTENANCE DIV","Toshiba","$51,200","$0","$51,200","2006","20060829","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Alabama","ATHENS","SHAW ROAD AT NUCLEAR PLANT ROAD","35611","238290","238290: Other Building Equipment Contractors","Japan","","publicly traded","","electrical and electronic equipment","consumer electronics","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"TOSHIBA INTERNATIONAL CORPORATION - INDUSTRIAL DIV","Toshiba","$160,200","$0","$160,200","2003","20030823","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Texas","HOUSTON","13131 W. LITTLE YORK RD.","77041","335312","335312: Motor and Generator Manufacturing","Japan","","publicly traded","","electrical and electronic equipment","consumer electronics","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"STONE & WEBSTER CONSTRUCTION, INC.","Toshiba","$51,200","$0","$51,200","2006","20060829","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Tennessee","SPRING CITY","WATTS BAR NUCLEAR PLANT 1270 HWY 68 S","37381","238290","238290: Other Building Equipment Contractors","Japan","","publicly traded","","electrical and electronic equipment","consumer electronics","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"STONE & WEBSTER CONSTRUCTION, INC","Toshiba","$51,200","$0","$51,200","2006","20060829","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Tennessee","SODDY DAISY","SEQUOYAH ACCESS ROAD","37379","238290","238290: Other Building Equipment Contractors","Japan","","publicly traded","","electrical and electronic equipment","consumer electronics","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"Toshiba America","Toshiba","$1,400,000","$0","$1,400,000","2002","20020606","employment-related offenses","employment discrimination","","Racial discrimination. ","federal","private litigation","","civil","","Middle District of Tennessee","3:01-cv-0021","Burton, et al v. Toshiba America, et al","settlement","","","","","","","Japan","","publicly traded","","electrical and electronic equipment","consumer electronics","The settlement amount, which includes $547,500 in legal fees, was reported by BNA's Employment Discrimination Report (March 3, 2002). ",""
"Stone & Webster Inc.","Toshiba","$1,666,667","$0","$1,666,667","2008","20080123","government-contracting-related offenses","False Claims Act and related","","Bechtel/Parsons Brinkerhoff, Bechtel Infrastructure Corp, PB Americas and 24 section design consultants agreed to pay a total of $447 million in settlement of criminal and civil liablities in the collapse of part of the I-90 tunnel and defects in the wall of the Tip O'Neill tunnel. Bechtel was to pay $357.1 million and Parsons $50 million. The announcement did not indicate how the remaining $40 million payment would be divided among the consultants. Here we assume each paid an equal amount.","state","agency action","Massachusetts Attorney General","civil","","","","","","Massachusetts","","","","","","Japan","","publicly traded","","electrical and electronic equipment","consumer electronics","https://web.archive.org/web/20080719151831/http://www.mass.gov/?pageID=cagopressrelease&L=1&L0=Home&sid=Cago&b=pressrelease&f=2008_01_23_big_dig_agreement&csid=Cago",""
"Toshiba","Toshiba","$1,300,000","$0","$1,300,000","2018","20180530","competition-related offenses","price-fixing or anti-competitive practices","","The Washington Attorney General announced that Toshiba agreed to pay $1.3 million as part of the AG's price-fixing lawsuit against seven manufacturers of cathode ray tubes, or CRTs, from 1995 to 2007.","state","agency action","Washington Attorney General","civil","","","","","","Washington","","","","","","Japan","","publicly traded","","electrical and electronic equipment","consumer electronics","https://www.atg.wa.gov/news/news-releases/toshiba-pay-13m-price-fixing-scheme-affecting-millions-washingtonians",""
"Toshiba","Toshiba","$950,000","$0","$950,000","2015","20150515","competition-related offenses","price-fixing or anti-competitive practices","","Attorney General Bob Ferguson announced settlements totaling $44 million from seven liquid crystal display (LCD) manufacturers accused of engaging in a price-fixing conspiracy that drove up prices consumers paid on items like TVs, laptops and cell phones.","state","agency action","Washington Attorney General","civil","","","","","","Washington","","","","","","Japan","","publicly traded","","electrical and electronic equipment","consumer electronics","https://www.atg.wa.gov/news/news-releases/ago-recovers-63-million-price-fixing-scheme-affecting-millions-washingtonians",""
"Toshiba Corp.","Toshiba","$21,000,000","$0","$21,000,000","2012","20120712","competition-related offenses","price-fixing or anti-competitive practices","","Toshiba, LG Display and AU Optronics agreed to pay a total of $571 million to settle multistate litigation accusing them of engaging in price fixing of flat-screen LCD panels.","state","agency action","Multistate Attorneys General Case","civil","","","","","","","","","","","","Japan","","publicly traded","","electrical and electronic equipment","consumer electronics","https://www.oag.ca.gov/news/press-releases/attorney-general-kamala-d-harris-announces-settlements-lcd-flat-screen-price",""
"Toshiba Corporation","Toshiba","$2,500,000","$0","$2,500,000","2019","20190610","financial offenses","investor protection violation","premerger notification violation","","federal","agency action","Federal Trade Commission","civil","","","","","","","","","","","","Japan","","publicly traded","","electrical and electronic equipment","consumer electronics","https://www.ftc.gov/news-events/press-releases/2019/06/canon-inc-toshiba-corporation-agree-pay-5-million-violating",""
"Toshiba Corporation","Toshiba","$875,000","$0","$875,000","2016","20160330","competition-related offenses","price-fixing or anti-competitive practices","","The California Attorney General announced settlements resolving allegations that LG, Hitachi, Panasonic, Toshiba, and Samsung, companies all based in Japan or Korea, fixed prices on cathode ray tubes from 1995 to 2007.  ","state","agency action","California Attorney General","civil","","","","","","California","","","","","","Japan","","publicly traded","","electrical and electronic equipment","consumer electronics","https://www.oag.ca.gov/news/press-releases/attorney-general-kamala-d-harris-announces-settlements-totaling-495-million-lg",""
"Toshiba Corporation","Toshiba","$30,130,000","$0","$30,130,000","2000","20001212","government-contracting-related offenses","False Claims Act and related","","Toshiba Corporation and three of its subsidiaries agreed to pay more than $30 million to California public agencies in settlement of a lawsuit alleging violation of the state False Claims Act. ","state","agency action","California Attorney General","civil","","","","","","California","","","","","","Japan","","publicly traded","","electrical and electronic equipment","consumer electronics","https://www.oag.ca.gov/news/press-releases/attorney-general-announces-settlement-false-claims-lawsuit-against-toshiba",""
"Stone & Webster Construction, Inc.","Toshiba","$6,200,000","$0","$6,200,000","2009","20090122","government-contracting-related offenses","False Claims Act and related","","","federal","agency action","U.S. Attorney-Eastern District of Tennessee","civil","","","","","","","","","","","","Japan","","publicly traded","","electrical and electronic equipment","consumer electronics","http://s3.amazonaws.com/fcmd/documents/documents/000/001/455/original/shaw-group-contract-fraud-at-tva_pr.pdf?1423020449",""
"STONE & WEBSTER CONSTRUCTION INC.","Toshiba","$13,650","$0","$13,650","2013","20130404","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Missouri","FULTON","MO HIGHWAY CC & ROUTE O","65251","221113","221113: Nuclear Electric Power Generation","Japan","","publicly traded","","electrical and electronic equipment","consumer electronics","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"Toshiba Display Devices Inc.","Toshiba","$49,868","$0","$49,868","2003","20030902","environment-related offenses","environmental violation","","","federal","agency action","Environmental Protection Agency","civil","","","02-2003-4222","","","New York","HORSEHEADS","100 WESTINGHOUSE CIR","14845","","","Japan","","publicly traded","","electrical and electronic equipment","consumer electronics","Extracted from a download of the EPA's Enforcement and Compliance History Online (ECHO) ICIS FE&C file downloaded on 3/02/2022, available at http://echo.epa.gov/tools/data-downloads#downloads",""
"Stone & Webster Construction, Inc.","Toshiba","$13,406","$0","$13,406","2004","20040723","environment-related offenses","environmental violation","","","federal","agency action","Environmental Protection Agency","civil","","","05-2004-1976","","","Michigan","COVERT","26000 77TH STREET","49043","","","Japan","","publicly traded","","electrical and electronic equipment","consumer electronics","Extracted from a download of the EPA's Enforcement and Compliance History Online (ECHO) ICIS FE&C file downloaded on 3/02/2022, available at http://echo.epa.gov/tools/data-downloads#downloads",""
