"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"Atofina Petrochemicals Inc.","TotalEnergies SE","$10,000","$0","$10,000","2004","20040608","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","France","","publicly traded","TOT","oil and gas","oil & gas","Taken from the Federal Railroad Administration's FY2004 safety penalty report obtained through a Freedom of Information Act request. A copy is available upon request. ",""
"Atotech USA Inc.","TotalEnergies SE","$14,000","$0","$14,000","2004","20040624","competition-related offenses","export control violation","","","federal","agency action","Bureau of Industry and Security","civil","","","","","","","","","","","","France","","publicly traded","TOT","oil and gas","oil & gas","FOIA71","Source document obtained through a Freedom of Information Act request to the agency."
"Elf Exploration, Inc.","TotalEnergies SE","$45,000","$0","$45,000","2001","20011019","environment-related offenses","offshore drilling violation","","","federal","agency action","Bureau of Safety and Environmental Enforcement","civil","","","","","","","","","","","","France","","publicly traded","TOT","oil and gas","oil & gas","https://www.bsee.gov/site-page/2001-civil-penalties",""
"Elf Exploration, Inc.","TotalEnergies SE","$33,000","$0","$33,000","2001","20011019","environment-related offenses","offshore drilling violation","","","federal","agency action","Bureau of Safety and Environmental Enforcement","civil","","","","","","","","","","","","France","","publicly traded","TOT","oil and gas","oil & gas","https://www.bsee.gov/site-page/2001-civil-penalties",""
"Hutchinson Sealing Systems, Inc.","TotalEnergies SE","$210,000","$0","$210,000","2013","20130620","employment-related offenses","employment discrimination","","age","federal","agency action","Equal Employment Opportunity Commission","civil","","","","","","Michigan","","","","","","France","","publicly traded","TOT","oil and gas","oil & gas","https://www.eeoc.gov/eeoc/newsroom/release/6-20-13.cfm","Description field shows type of discrimination that EEOC had alleged."
"Maersk Oil Houston Inc.","TotalEnergies SE","$9,856","$0","$9,856","2016","20160322","employment-related offenses","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1783938","","","Texas","Houston","","77042","213111","213111: Drilling Oil and Gas Wells","France","","publicly traded","TOT","oil and gas","oil & gas","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"Total Petrochemicals & Refining USA","TotalEnergies SE","$316,667","$0","$316,667","2019","20190215","environment-related offenses","environmental violation","","MTBE water pollution","state","agency action","Vermont Attorney General","civil","","","","","","Vermont","","","","","","France","","publicly traded","TOT","oil and gas","oil & gas","http://s3.amazonaws.com/fcmd/documents/documents/000/005/009/original/BP_Chevron_Exxon_Shell_Total_Valero_-_Vermont_MTBE_SETTLEMENT.pdf?1553095883",""
"TOTAL E&P USA, Inc.","TotalEnergies SE","$10,000","$0","$10,000","2009","20090420","environment-related offenses","offshore drilling violation","","","federal","agency action","Bureau of Safety and Environmental Enforcement","civil","","","","","","","","","","","","France","","publicly traded","TOT","oil and gas","oil & gas","https://www.bsee.gov/sites/bsee.gov/files/summary-of-civil-penalties-paid/safety/cp-paid-2009-webpage.pdf",""
"Total E&P USA, Inc.","TotalEnergies SE","$130,000","$0","$130,000","2006","20060616","environment-related offenses","offshore drilling violation","","","federal","agency action","Bureau of Safety and Environmental Enforcement","civil","","","","","","","","","","","","France","","publicly traded","TOT","oil and gas","oil & gas","https://www.bsee.gov/site-page/2006-civil-penalties",""
"Total Fina S.A.","TotalEnergies SE","$15,000,000","$0","$15,000,000","2012","20120222","government-contracting-related offenses","False Claims Act and related","federal leasing royalty violation","Total Fina S.A., Total Minatome Corporation, Total Exploration Production USA Inc., Fina Oil and Chemical Company, Elf Exploration Inc., Total E&P USA Inc. and their affiliates agreed to pay the United States $15 million to resolve claims that the companies violated the False Claims Act by knowingly underpaying royalties owed on natural gas produced from federal and Indian leases.","federal","agency action","Justice Department Civil Division","civil","","","","","","","","","","","","France","","publicly traded","TOT","oil and gas","oil & gas","https://www.justice.gov/opa/pr/total-companies-pay-us-15-million-resolve-allegations-royalty-underpayments-federal-and",""
