"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"Babies ""R"" Us, Inc.","Toys R Us","$205,000","$0","$205,000","2003","20030115","employment-related offenses","employment discrimination","","sexual harassment","federal","agency action","Equal Employment Opportunity Commission","civil","","","","","","New Jersey","","","","","","USA","New Jersey","out of business","","retailing","retail-toys","https://www.eeoc.gov/eeoc/newsroom/release/archive/1-15-03.html","Description field shows type of discrimination that EEOC had alleged."
"Kids R Us, LLC","Toys R Us","$75,000","$0","$75,000","2012","20120724","employment-related offenses","employment discrimination","","pregnancy and retaliation","federal","agency action","Equal Employment Opportunity Commission","civil","","","","","","Oklahoma","","","","","","USA","New Jersey","out of business","","retailing","retail-toys","https://www.eeoc.gov/eeoc/newsroom/release/7-24-12b.cfm","Description field shows type of discrimination that EEOC had alleged."
"Toys R Us","Toys R Us","$8,000","$0","$8,000","2007","20070227","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","22-CA-27636-001","","","New Jersey","Flanders","","07836","493110","493110: General Warehousing and Storage","USA","New Jersey","out of business","","retailing","retail-toys","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"Toys R Us Inc.","Toys R Us","$1,300,000","$0","$1,300,000","2011","20110329","competition-related offenses","price-fixing or anti-competitive practices","","Toys R Us, Inc.  agreed to pay a $1.3 million civil penalty to settle Federal Trade Commission charges that it violated a 1998 order governing its dealings with its suppliers. The order prohibited Toys R Us from urging any supplier to limit supply of products or refuse to sell to discounters.","federal","agency action","Federal Trade Commission","civil","","","","","","","","","","","","USA","New Jersey","out of business","","retailing","retail-toys","https://www.ftc.gov/news-events/press-releases/2011/03/toys-r-us-pay-13-million-penalty-violating-ftc-order",""
"Toys R Us, Inc.","Toys R Us","$35,000","$0","$35,000","2013","20131029","employment-related offenses","employment discrimination","Americans with Disabilities Act","disability","federal","agency action","Equal Employment Opportunity Commission","civil","","","","","","Maryland","","","","","","USA","New Jersey","out of business","","retailing","retail-toys","https://www.eeoc.gov/eeoc/newsroom/release/10-29-13.cfm","Description field shows type of discrimination that EEOC had alleged."
"Toysrus.com Inc.","Toys R Us","$350,000","$0","$350,000","2000","20000726","consumer-protection-related offenses","consumer protection violation","","Seven large Internet e-tailers agreed to settle Federal Trade Commission allegations that they violated the Mail and Telephone Order Rule during the 1999 holiday shopping season by providing buyers inadequate notice of shipping delays or continuing to promise specific delivery dates when timely fulfillment was impossible.","federal","agency action","Federal Trade Commission","civil","","","","","","","","","","","","USA","New Jersey","out of business","","retailing","retail-toys","https://www.ftc.gov/news-events/press-releases/2000/07/seven-internet-retailers-settle-ftc-charges-over-shipping-delays",""
"TOYS R US","Toys R Us","$38,000","$0","$38,000","2009","20090423","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","New York","BROOKLYN","8973-95 BAY PARKWAY","11214","453998","453998: All Other Miscellaneous Store Retailers (except Tobacco Stores)","USA","New Jersey","out of business","","retailing","retail-toys","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"TOYS R US, INC.","Toys R Us","$18,750","$0","$18,750","2009","20090319","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Connecticut","DANBURY","17 BACKUS AVENUE","06810","451120","451120: Hobby, Toy, and Game Stores","USA","New Jersey","out of business","","retailing","retail-toys","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"TOYS R US STORE #6307","Toys R Us","$10,000","$0","$10,000","2007","20070413","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","New Jersey","WATCHUNG","1701 ROUTE 22 WEST","07069","451120","451120: Hobby, Toy, and Game Stores","USA","New Jersey","out of business","","retailing","retail-toys","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"TOYS ""R"" US, INC.","Toys R Us","$7,522","$0","$7,522","2005","20050622","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Maryland","FREDERICK","7106 GEOFFREY WAY","21704","493190","493190: Other Warehousing and Storage","USA","New Jersey","out of business","","retailing","retail-toys","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"TOYS R US, INC.","Toys R Us","$11,250","$0","$11,250","2005","20050113","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","New Jersey","FLANDERS","703 BARTLEY CHESTER RD","07836","493110","493110: General Warehousing and Storage","USA","New Jersey","out of business","","retailing","retail-toys","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"TOYS ""R"" US,INC.","Toys R Us","$16,275","$0","$16,275","2003","20030514","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Georgia","TUCKER","4033 LAVISTA ROAD","30084","451120","451120: Hobby, Toy, and Game Stores","USA","New Jersey","out of business","","retailing","retail-toys","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"TOYS R US","Toys R Us","$5,250","$0","$5,250","2003","20030528","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","New York","YONKERS","1000 CENTRAL AVENUE","10704","452990","452990: All Other General Merchandise Stores","USA","New Jersey","out of business","","retailing","retail-toys","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"TOYS R US","Toys R Us","$5,250","$0","$5,250","2003","20030528","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","New York","YONKERS","1000 CENTRAL AVENUE","10704","452990","452990: All Other General Merchandise Stores","USA","New Jersey","out of business","","retailing","retail-toys","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"TOYS R US STORE #6318","Toys R Us","$9,950","$0","$9,950","2001","20011127","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","New Jersey","ISELIN","233 GILL LANE","08830","451120","451120: Hobby, Toy, and Game Stores","USA","New Jersey","out of business","","retailing","retail-toys","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"TOYS R US","Toys R Us","$11,750","$0","$11,750","2002","20020419","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","New York","YONKERS","1000 CENTRAL AVENUE","10704","000000","","USA","New Jersey","out of business","","retailing","retail-toys","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"TOYS R US","Toys R Us","$14,500","$0","$14,500","2002","20020419","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","New York","YONKERS","1000 CENTRAL AVENUE","10704","000000","","USA","New Jersey","out of business","","retailing","retail-toys","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"TOYS R US #5650","Toys R Us","$12,565","$0","$12,565","2001","20010316","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","California","HAWTHORNE","14705 OCEAN GATE AVE.","90250","000000","","USA","New Jersey","out of business","","retailing","retail-toys","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"TOYS R US","Toys R Us","$7,925","$0","$7,925","2002","20020314","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","California","EMERYVILLE","3938 HORTON ST","94608","000000","","USA","New Jersey","out of business","","retailing","retail-toys","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"TOYS R US","Toys R Us","$8,500","$0","$8,500","2001","20010504","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","New Jersey","EAST BRUNSWICK","233 HIGHWAY 18","08816","000000","","USA","New Jersey","out of business","","retailing","retail-toys","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"Toys R Us, Inc.","Toys R Us","$38,000","$0","$38,000","2004","20040419","employment-related offenses","wage and hour violation","","","state","agency action","California Labor Commissioner's Office","civil","","","35-49559","","","California","","","","","","USA","New Jersey","out of business","","retailing","retail-toys","Contained in data obtained on August 17, 2017 in response to an open records request. ",""
"Toys R Us, Inc.","Toys R Us","$43,000","$0","$43,000","2000","20000410","employment-related offenses","wage and hour violation","","","state","agency action","California Labor Commissioner's Office","civil","","","35-16717","","","California","","","","","","USA","New Jersey","out of business","","retailing","retail-toys","Contained in data obtained on August 17, 2017 in response to an open records request. ",""
"TOYS R US DELAWARE INC","Toys R Us","$6,387","$0","$6,387","2008","20080630","employment-related offenses","wage and hour violation","","","state","agency action","Kentucky Department of Workplace Standards","civil","","","802023","","","Kentucky","","","","","","USA","New Jersey","out of business","","retailing","retail-toys","Contained in data obtained on April 11, 2017 in response to an open records request. ",""
"Toys R Us","Toys R Us","$4,000,000","$0","$4,000,000","2014","20140902","employment-related offenses","wage and hour violation","","meal/rest break violation","federal","private litigation","","civil","","Central District of California","13-cv-1302","Zia Hicks v. Toys R US Inc et al","settlement","","","","","","","USA","New Jersey","out of business","","retailing","retail-toys","https://www.law360.com/articles/515252/toys-r-us-pays-4m-to-settle-wage-hour-class-action",""
"Toys R Us","Toys R Us","$768,000","$0","$768,000","2011","20110830","employment-related offenses","wage and hour violation","","overtime violation","federal","private litigation","","civil","","Central District of California","09-cv-0025","Warren Sumner v. Toys R Us Inc et al","settlement","","","","","","","USA","New Jersey","out of business","","retailing","retail-toys","https://www.law360.com/articles/237881/judge-approves-toys-r-us-settlement-in-ot-class-action",""
"Toys R Us","Toys R Us","$103,800","$0","$103,800","2009","20090330","employment-related offenses","wage and hour violation","","Toys R Us agreed to pay over $95,800 in restitution and $8,000 penalty in settlement of allegations it did not provide earned vacation pay to employees who left the company.","state","agency action","Massachusetts Attorney General","civil","","","","","","Massachusetts","","","","","","USA","New Jersey","out of business","","retailing","retail-toys","https://web.archive.org/web/20090421223804/http://www.mass.gov/?pageID=cagopressrelease&L=1&L0=Home&sid=Cago&b=pressrelease&f=2009_03_30_toysrus_agreement&csid=Cago",""
"Toys R Us Inc.","Toys R Us","$25,000","$0","$25,000","2006","20060127","environment-related offenses","environmental violation","","A group of major retailers and a group of jewelry manufacturers joined a settlement involving the presence of lead in costume jewelry sold to children.","state","agency action","California Attorney General","civil","","","","","","California","","","","","","USA","New Jersey","out of business","","retailing","retail-toys","https://www.oag.ca.gov/news/press-releases/attorney-general-lockyer-announces-settlement-major-us-companies-reduce-lead",""
"Toys R Us","Toys R Us","$178,730","$0","$178,730","2013","20131203","consumer-protection-related offenses","consumer protection violation","","Toys R Us agreed to pay $75,000 to both Los Angeles and San Diego counties, and $28,730 costs split between four Weight and Measures departments, in settlement of allegations it overcharged customers with significant checkstand pricing errors.","local","agency action","California Multi-Jurisdiction Case","civil","","","","","settlement","California","","","","","","USA","New Jersey","out of business","","retailing","retail-toys","http://da.lacounty.gov/content/toys-r-us-parent-company-settles-consumer-protection-lawsuit",""
