"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"American Tire Distributors, Inc","TPG Capital","$16,881","$0","$16,881","2010","20101031","employment-related offenses","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1569594","","","Oklahoma","Oklahoma City","","73179","441320","441320: Tire Dealers","USA","Texas","privately held","","private equity (including portfolio companies)","private equity (including portfolio companies)","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"Cushman & Wakefield","TPG Capital","$100,000","$0","$100,000","2017","20170303","employment-related offenses","employment discrimination","","disability","federal","agency action","Equal Employment Opportunity Commission","civil","","","","","","Maryland","Columbia","","","","","USA","Texas","privately held","","private equity (including portfolio companies)","private equity (including portfolio companies)","https://www.eeoc.gov/eeoc/newsroom/release/3-3-17.cfm","Description field shows type of discrimination that EEOC had alleged."
"McAfee, Inc.","TPG Capital","$50,000,000","$0","$50,000,000","2006","20060104","financial offenses","accounting fraud or deficiencies","","McAfee, Inc., formerly known as Network Associates, Inc., agreed to pay $50 million to settle allegations that, from the second quarter of 1998 through 2000, McAfee misled investors when it engaged in a fraudulent scheme to overstate its revenue and earnings by hundreds of millions of dollars.","federal","agency action","Securities and Exchange Commission","civil","","","","","","","","","","","","USA","Texas","privately held","","private equity (including portfolio companies)","private equity (including portfolio companies)","https://www.sec.gov/news/press/2006-3.htm",""
"TPG Capital","TPG Capital","$50,000","$0","$50,000","2001","20010604","financial offenses","investor protection violation","","","federal","agency action","Securities and Exchange Commission","civil","","","","","","","","","","","","USA","Texas","privately held","","private equity (including portfolio companies)","private equity (including portfolio companies)","https://www.sec.gov/litigation/litreleases/lr17023.htm",""
"DAVIS HOSPITAL & MEDICAL CENTER","TPG Capital","$8,565","$0","$8,565","2002","20020418","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Utah","LAYTON","1600 W ANTELOPE DR","84041","000000","","USA","Texas","privately held","","private equity (including portfolio companies)","private equity (including portfolio companies)","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"Exactech Inc.","TPG Capital","$2,990,000","$0","$2,990,000","2010","20101207","competition-related offenses","kickbacks and bribery","","","federal","agency action","U.S. Attorney-District of New Jersey","criminal","deferred prosecution agreement","","","","","","","","","","","USA","Texas","privately held","","private equity (including portfolio companies)","private equity (including portfolio companies)","https://www.justice.gov/archive/usao/nj/Press/files/pdffiles/2010/Exactech%20DPA%20-%20Donofrio,%20Douglas%20Plea%20PR.pdf",""
"TPG Capital Advisors, LLC","TPG Capital","$12,487,620","$0","$12,487,620","2017","20171221","financial offenses","investor protection violation","","","federal","agency action","Securities and Exchange Commission","civil","","","","","","","","","","","","USA","Texas","privately held","","private equity (including portfolio companies)","private equity (including portfolio companies)","https://www.sec.gov/litigation/admin/2017/ia-4830.pdf",""
"Cushman & Wakefield National Corporation","TPG Capital","$1,275,000","$0","$1,275,000","2017","20170414","employment-related offenses","employment discrimination","","","federal","private litigation","","civil","","District of Massachusetts","1:16-cv-10403","Rinsky v. Cushman & Wakefield National Corporation, et al.","verdict","","","","","","","USA","Texas","privately held","","private equity (including portfolio companies)","private equity (including portfolio companies)","https://www.hrdive.com/news/appeals-court-oks-127m-jury-award-in-cushman-wakefield-age-bias-suit/550811/",""
"American Tire Distributors, Inc.","TPG Capital","$140,000","$0","$140,000","2013","20130919","employment-related offenses","employment screening violation","Fair Credit Reporting Act violation","","federal","private litigation","","civil","","Northern District of Illinois","1:12-cv-9393","Escobedo v. American Tire Distributors, Inc.","settlement","","","","","","","USA","Texas","privately held","","private equity (including portfolio companies)","private equity (including portfolio companies)","",""
"Cushman & Wakefield of Washington, DC, Inc","TPG Capital","$4,800,000","$0","$4,800,000","2005","20050208","government-contracting-related offenses","False Claims Act and related","","Cushman & Wakefield agreed to pay $4.8 million in settlement of a dispute regarding renovations work at the DC government's Reeves Center.","state","agency action","District of Columbia Attorney General","civil","","","","","","District of Columbia","Washington","","","","","USA","Texas","privately held","","private equity (including portfolio companies)","private equity (including portfolio companies)","https://web.archive.org/web/20050309001143/http://oag.dc.gov/occ/cwp/view,a,11,q,623920,occNav_GID,1521.asp",""
"McAfee","TPG Capital","$375,000","$0","$375,000","2009","20090610","consumer-protection-related offenses","consumer protection violation","","","state","agency action","New York Attorney General","civil","","","","","","New York","","","","","","USA","Texas","privately held","","private equity (including portfolio companies)","private equity (including portfolio companies)","https://web.archive.org/web/20101110035841/http://www.ag.ny.gov/media_center/2009/june/june10a_09.html",""
