"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"Tradebe Treatment and Recycling Northeast, LLC","Tradebe","$1,445,000","$0","$1,445,000","2018","20181212","environment-related offenses","environmental violation","","","federal","agency action","Environmental Protection Agency referral to the Justice Department","civil","","","","","","","","","","","","Spain","","privately held","","waste management and environmental services","waste management","https://www.epa.gov/newsreleases/epa-settlement-tradebe-reduce-hazardous-air-pollution-and-improve-compliance-two",""
"Norlite Corporation","Tradebe","$200,000","$0","$200,000","2002","20020507","environment-related offenses","environmental violation","","","state","agency action","New York Attorney General","civil","","","","","","New York","","","","","","Spain","","privately held","","waste management and environmental services","waste management","https://web.archive.org/web/20101116004727/http://www.ag.ny.gov/media_center/2002/may/may07c_02.html",""
"Tradebe Environmental Services, LLC","Tradebe","$25,500","$0","$25,500","2017","20170630","environment-related offenses","environmental violation","","","state","agency action","Connecticut Department of Energy & Environmental Protection","civil","","","","","","Connecticut","Meriden","","","","","Spain","","privately held","","waste management and environmental services","waste management","https://www.ct.gov/deep/lib/deep/enforcement/consentorder/COWSWDH17004.pdf","Captured from summaries produced by DEP; may not include full details of penalties."
"TRADEBE TREATMENT & RECYLCLING LLC","Tradebe","$9,750","$0","$9,750","2019","20191119","environment-related offenses","environmental violation","","hazardous waste violation","state","agency action","Indiana Department of Environmental Management","civil","","","","","","Indiana","East Chicago","","","","","Spain","","privately held","","waste management and environmental services","waste management","http://www.in.gov/idem/oe/cause/AO/25870-H.htm",""
"TRADEBE TREATMENT & RECYCLING LLC","Tradebe","$90,532","$0","$90,532","2017","20171017","environment-related offenses","environmental violation","","air pollution violation","state","agency action","Indiana Department of Environmental Management","civil","","","","","","Indiana","East Chicago","","","","","Spain","","privately held","","waste management and environmental services","waste management","http://www.in.gov/idem/oe/cause/AO/23736-A.htm",""
"TRADEBE TREATMENT & RECYLCLING LLC","Tradebe","$20,000","$0","$20,000","2016","20160517","environment-related offenses","environmental violation","","hazardous waste violation","state","agency action","Indiana Department of Environmental Management","civil","","","","","","Indiana","East Chicago","","","","","Spain","","privately held","","waste management and environmental services","waste management","http://www.in.gov/idem/oe/cause/AO/23520-H.htm",""
"TRADEBE ENVIRONMENTAL SERVICES LLC","Tradebe","$57,000","$0","$57,000","2015","20150817","environment-related offenses","environmental violation","","hazardous waste violation","state","agency action","Indiana Department of Environmental Management","civil","","","","","","Indiana","EAST CHICAGO","","","","","Spain","","privately held","","waste management and environmental services","waste management","http://www.in.gov/idem/oe/cause/AO/22742-H.htm",""
"TRADEBE TREATMENT & RECYLCLING LLC","Tradebe","$57,000","$0","$57,000","2015","20150817","environment-related offenses","environmental violation","","hazardous waste violation","state","agency action","Indiana Department of Environmental Management","civil","","","","","","Indiana","East Chicago","","","","","Spain","","privately held","","waste management and environmental services","waste management","http://www.in.gov/idem/oe/cause/AO/22741-H.htm",""
"TRADEBE TREATMENT & RECYLCLING LLC","Tradebe","$9,000","$0","$9,000","2014","20140616","environment-related offenses","environmental violation","","hazardous waste violation","state","agency action","Indiana Department of Environmental Management","civil","","","","","","Indiana","East Chicago","","","","","Spain","","privately held","","waste management and environmental services","waste management","http://www.in.gov/idem/oe/cause/AO/22050-H.htm",""
"TRADEBE TREATMENT & RECYLCLING LLC","Tradebe","$13,000","$0","$13,000","2004","20040108","environment-related offenses","environmental violation","","hazardous waste violation","state","agency action","Indiana Department of Environmental Management","civil","","","","","","Indiana","East Chicago","","","","","Spain","","privately held","","waste management and environmental services","waste management","http://www.in.gov/idem/oe/cause/AO/12892-H.htm",""
"TRADEBE TREATMENT & RECYLCLING LLC","Tradebe","$11,600","$0","$11,600","2001","20010629","environment-related offenses","environmental violation","","hazardous waste violation","state","agency action","Indiana Department of Environmental Management","civil","","","","","","Indiana","East Chicago","","","","","Spain","","privately held","","waste management and environmental services","waste management","http://www.in.gov/idem/oe/cause/AO/9723-H.htm",""
