"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"Professional Transit Management","Transdev","$450,000","$0","$450,000","2007","20070517","employment-related offenses","employment discrimination","","race and national origin","federal","agency action","Equal Employment Opportunity Commission","civil","","","","","","Colorado","","","","","","France","","privately held","","miscellaneous services","transportation services","https://www.eeoc.gov/eeoc/newsroom/release/archive/5-17-07.html","Description field shows type of discrimination that EEOC had alleged."
"Shuttle Express, Inc. d/b/a SuperShuttle Express","Transdev","$20,000","$0","$20,000","2011","20110526","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","05-CA-36550-001","","","Maryland","Baltimore","","21240","485999","485999: All Other Transit and Ground Passenger Transportation","France","","privately held","","miscellaneous services","transportation services","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"Super Shuttle Transportation Systems d/b/a SuperShuttle San Francisco","Transdev","$364,000","$0","$364,000","2004","20040527","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","20-CA-31737-001","","","California","South San Francisco","","94080","485320","485320: Limousine Service","France","","privately held","","miscellaneous services","transportation services","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"SuperShuttle International Denver, Inc., SuperShuttle Franchise Corporation","Transdev","$74,695","$0","$74,695","2011","20111012","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","27-CA-021609","","","Colorado","Denver","","","","","France","","privately held","","miscellaneous services","transportation services","Extracted from a spreadsheet obtained from the NLRB through a Freedom of Information Act request fulfilled on 5/16/2017.",""
"SuperShuttle International of Denver, Inc.","Transdev","$75,000","$0","$75,000","2016","20160129","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","27-CA-123148","","","Colorado","Denver","","","","","France","","privately held","","miscellaneous services","transportation services","Extracted from a spreadsheet obtained from the NLRB through a Freedom of Information Act request fulfilled on 5/16/2017.",""
"Supershuttle of Southern California","Transdev","$10,000","$0","$10,000","2004","20040617","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","21-CA-35333-001","","","California","Anaheim","","92805","485510","485510: Charter Bus Industry","France","","privately held","","miscellaneous services","transportation services","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"SuperShuttle of Southern California d.b.a. SuperShuttle of Orange County","Transdev","$6,100","$0","$6,100","2001","20011114","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","21-CA-34655-001","","","California","Anaheim","","92805","485310","485310: Taxi Service","France","","privately held","","miscellaneous services","transportation services","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"Transdev Services, Inc.","Transdev","$25,800","$0","$25,800","2016","20160706","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","28-CA-164837","","","Arizona","Phoenix","","","","","France","","privately held","","miscellaneous services","transportation services","Extracted from a spreadsheet obtained from the NLRB through a Freedom of Information Act request fulfilled on 5/16/2017.",""
"Veolia Transportatation Services, Inc.","Transdev","$120,779","$0","$120,779","2011","20110331","employment-related offenses","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1592447","","","South Carolina","North Charleston","","29405","485111","485111: Mixed Mode Transit Systems","France","","privately held","","miscellaneous services","transportation services","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"VEOLIA TRANSPORTATION","Transdev","$10,000","$0","$10,000","2007","20070222","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","15-CA-18132-001","","","Louisiana","Grretna","","70053","485113","485113: Bus and Other Motor Vehicle Transit Systems","France","","privately held","","miscellaneous services","transportation services","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
