"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"Cendant Timeshare Resort Group, Inc.","Travel + Leisure Co.","$11,269","$0","$11,269","2005","20050722","employment-related offenses","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1370598","","","Louisiana","New Orleans","","70130","721199","721199: All Other Traveler Accommodation","USA","Florida","publicly traded","TNL","hotels","vacation timesharing","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"Trendwest Resorts, Inc.","Travel + Leisure Co.","$475,000","$0","$475,000","2004","20040625","employment-related offenses","employment discrimination","","gender","federal","agency action","Equal Employment Opportunity Commission","civil","","","","","","","","","","","","USA","Florida","publicly traded","TNL","hotels","vacation timesharing","https://www.eeoc.gov/eeoc/newsroom/release/archive/6-25-04.html","Description field shows type of discrimination that EEOC had alleged."
"Wyndham Worldwide Corporation","Travel + Leisure Co.","$370,000","$0","$370,000","2008","20081023","employment-related offenses","employment discrimination","","sexual harassment","federal","agency action","Equal Employment Opportunity Commission","civil","","","","","","Washington","","","","","","USA","Florida","publicly traded","TNL","hotels","vacation timesharing","https://www.eeoc.gov/eeoc/newsroom/release/archive/10-23-08a.html","Description field shows type of discrimination that EEOC had alleged."
"Wyndham Vacation Ownership d/b/a WorldMark by Wyndham","Travel + Leisure Co.","$77,142","$0","$77,142","2011","20110826","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","28-CA-022680","","","Nevada","Las Vegas","","","","","USA","Florida","publicly traded","TNL","hotels","vacation timesharing","Extracted from a spreadsheet obtained from the NLRB through a Freedom of Information Act request fulfilled on 5/16/2017.",""
"Wyndham Resort Development","Travel + Leisure Co.","$7,250,000","$0","$7,250,000","2018","20180130","employment-related offenses","wage and hour violation","","","federal","private litigation","","civil","","Southern District of California","15-cv-1631","Mcgrath v. Wyndham Resort Development Corporation et al","settlement","","","","","","","USA","Florida","publicly traded","TNL","hotels","vacation timesharing","https://www.law360.com/employment/articles/952039/wyndham-time-share-reps-7-3m-deal-gets-initial-ok",""
"Wyndham Vacation Resorts","Travel + Leisure Co.","$1,500,000","$0","$1,500,000","2017","20171109","employment-related offenses","wage and hour violation","","overtime violation","federal","private litigation","","civil","","Western District of Wisconsin","13-cv-0451","Bitner, Thomas et al v. Wyndham Vacation Resorts, Inc.","settlement","","","","","","","USA","Florida","publicly traded","TNL","hotels","vacation timesharing","https://www.law360.com/articles/980900/wyndham-pays-1-5m-to-end-wis-overtime-wage-dispute",""
"Wyndham Vacation Resorts","Travel + Leisure Co.","$180,000","$0","$180,000","2015","20150615","employment-related offenses","wage and hour violation","","overtime violation","federal","private litigation","","civil","","Middle District of Pennsylvania","14-cv-0490","Chung v. Wyndham Vacation Resorts, Inc.","settlement","","","","","","","USA","Florida","publicly traded","TNL","hotels","vacation timesharing","",""
"Trendwest Resorts","Travel + Leisure Co.","$795,000","$0","$795,000","2003","20031029","consumer-protection-related offenses","consumer protection violation","","The California Attorney announced the settlement of a consumer protection lawsuit against Trendwest Resorts, the world's third largest timeshare operator, which requires the firm to pay consumer restitution and civil penalties, and reform its business practices.","state","agency action","California Attorney General","civil","","","","","","California","","","","","","USA","Florida","publicly traded","TNL","hotels","vacation timesharing","https://www.oag.ca.gov/news/press-releases/attorney-general-lockyer-settles-lawsuit-against-one-worlds-largest-timeshare",""
"Trendwest Resorts","Travel + Leisure Co.","$55,000","$0","$55,000","2001","20011023","consumer-protection-related offenses","privacy violation","consumer protection violation","Do Not Call violation","state","agency action","Missouri Attorney General","civil","","","","","","Missouri","","","","","","USA","Florida","publicly traded","TNL","hotels","vacation timesharing","https://web.archive.org/web/20021105035019/http://www.ago.state.mo.us/102301.htm",""
"Wyndham Vacation Ownership Inc.","Travel + Leisure Co.","$18,839","$0","$18,839","2018","20181130","employment-related offenses","wage and hour violation","","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1853090","","","Nevada","Las Vegas","8601 S. Las Vegas Blvd","89123","721110","721110: Hotels (except Casino Hotels) and Motels","USA","Florida","publicly traded","TNL","hotels","vacation timesharing","September 3, 2019 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. "
