"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"Bon L Manufacturing Co.","Tredegar","$14,750","$0","$14,750","2015","20150619","environment-related offenses","environmental violation","","Hazardous Waste Management Act","state","agency action","Georgia Environmental Protection Division","civil","","","EPD-HW-1832","","","Georgia","","","","","","USA","Virginia","publicly traded","TG","miscellaneous manufacturing","industrial products","Contained in a spreadsheet obtained from the agency on October 7, 2020 in response to an open records request. The spreadsheet contains cases from the enforcement database accessible at https://enfo.gaepd.org/Orders/Search",""
"The William L. Bonnell Company, Inc.","Tredegar","$42,000","$0","$42,000","2001","20010823","environment-related offenses","environmental violation","","Water Quality Control Act (including Surface Water Allocation)","state","agency action","Georgia Environmental Protection Division","civil","","","EPD-WQ-3912","","","Georgia","","","","","","USA","Virginia","publicly traded","TG","miscellaneous manufacturing","industrial products","Contained in a spreadsheet obtained from the agency on October 7, 2020 in response to an open records request. The spreadsheet contains cases from the enforcement database accessible at https://enfo.gaepd.org/Orders/Search",""
"TREDEGAR PERFORMANCE FILMS INC","Tredegar","$7,650","$0","$7,650","2010","20101108","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Pennsylvania","MAR LIN","30 MAPLE AVE.","17951","326113","326113: Unlaminated Plastics Film and Sheet (except Packaging) Manufacturing","USA","Virginia","publicly traded","TG","miscellaneous manufacturing","industrial products","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"AACOA","Tredegar","$6,300","$0","$6,300","2013","20131204","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Indiana","ELKHART","2551 COUNTY ROAD 10","46514","332813","332813: Electroplating, Plating, Polishing, Anodizing, and Coloring","USA","Virginia","publicly traded","TG","miscellaneous manufacturing","industrial products","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"BON L MANUFACTURING COMPANY","Tredegar","$6,240","$0","$6,240","2012","20121128","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Georgia","NEWNAN","25 BONNELL STREET","30263","331316","331316: Aluminum Extruded Product Manufacturing","USA","Virginia","publicly traded","TG","miscellaneous manufacturing","industrial products","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"TREDEGAR CORPORATION","Tredegar","$5,950","$0","$5,950","2013","20130821","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Illinois","LAKE ZURICH","351 OAKWOOD ROAD","60047","326113","326113: Unlaminated Plastics Film and Sheet (except Packaging) Manufacturing","USA","Virginia","publicly traded","TG","miscellaneous manufacturing","industrial products","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"BON L MANUFACTURING COMPANY","Tredegar","$23,559","$0","$23,559","2018","20180411","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Georgia","NEWNAN","25 BONNELL STREET","30263","331318","331318: Other Aluminum Rolling, Drawing, and Extruding","USA","Virginia","publicly traded","TG","miscellaneous manufacturing","industrial products","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"TREDEGAR CORPORATION","Tredegar","$6,075","$0","$6,075","2018","20180814","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Indiana","TERRE HAUTE","3400 FORT HARRISON ROAD","47804","326113","326113: Unlaminated Plastics Film and Sheet (except Packaging) Manufacturing","USA","Virginia","publicly traded","TG","miscellaneous manufacturing","industrial products","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"BON L MANUFACTURING COMPANY","Tredegar","$17,508","$0","$17,508","2008","20080311","environment-related offenses","environmental violation","","","federal","agency action","Environmental Protection Agency","civil","","","04-2008-4013","","","Georgia","NEWNAN","25 BONNELL STREET","30263-1603","999999","","USA","Virginia","publicly traded","TG","miscellaneous manufacturing","industrial products","Extracted from a download of the EPA's Enforcement and Compliance History Online (ECHO) ICIS FE&C file downloaded on 3/02/2022, available at http://echo.epa.gov/tools/data-downloads#downloads",""
"THE WILLIAM L. BONNELL CO.","Tredegar","$5,000","$0","$5,000","2000","20000929","environment-related offenses","environmental violation","","","federal","agency action","Environmental Protection Agency","civil","","","HQ-2000-3067","","","","","","","","","USA","Virginia","publicly traded","TG","miscellaneous manufacturing","industrial products","Extracted from a download of the EPA's Enforcement and Compliance History Online (ECHO) ICIS FE&C file downloaded on 3/02/2022, available at http://echo.epa.gov/tools/data-downloads#downloads",""
