"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"Catholic Health East","Trinity Health","$11,000,000","$0","$11,000,000","2015","20151030","government-contracting-related offenses","False Claims Act and related","","The Department of Justice reached 70 settlements involving 457 hospitals in 43 states for more than $250 million related to cardiac devices that were implanted in Medicare patients in violation of Medicare coverage requirements.","federal","agency action","Justice Department Civil Division","civil","","","","","","","","","","","","USA","Michigan","non-profit","","healthcare services","hospitals","https://www.justice.gov/opa/pr/nearly-500-hospitals-pay-united-states-more-250-million-resolve-false-claims-act-allegations",""
"Holy Cross Hospital","Trinity Health","$2,830,208","$0","$2,830,208","2001","20010601","government-contracting-related offenses","False Claims Act and related","","Seven hospitals located around the country agreed to pay the United States a total of $5,476,637 to settle claims that they unlawfully charged federal health care programs for surgical procedures using unapproved experimental cardiac devices.","federal","agency action","Justice Department Civil Division","civil","","","","","","Florida","Ft. Lauderdale","","","","","USA","Michigan","non-profit","","healthcare services","hospitals","https://www.justice.gov/archive/opa/pr/2001/June/242civ.htm",""
"Holy Cross Hospital, Inc.","Trinity Health","$7,354","$0","$7,354","2014","20140708","employment-related offenses","Family and Medical Leave Act","","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1725426","","","Florida","Fort Lauderdale","","33306","9660","","USA","Michigan","non-profit","","healthcare services","hospitals","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"Johnson Memorial Hospital Inc.","Trinity Health","$34,366","$0","$34,366","2005","20050402","employment-related offenses","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1391909","","","Connecticut","Stafford Springs","","06076","6221","6221: General Medical and Surgical Hospitals","USA","Michigan","non-profit","","healthcare services","hospitals","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"Mease Dunedin Hospital","Trinity Health","$11,383","$0","$11,383","2010","20100611","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","12-CA-26606-001","","","Florida","Dunedin","","34698","622110","622110: General Medical and Surgical Hospitals","USA","Michigan","non-profit","","healthcare services","hospitals","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"Mercy Health Partners, Hackley Campus","Trinity Health","$18,800","$0","$18,800","2015","20150814","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","07-CA-124263","","","Michigan","Muskegon","","","","","USA","Michigan","non-profit","","healthcare services","hospitals","Extracted from a spreadsheet obtained from the NLRB through a Freedom of Information Act request fulfilled on 5/16/2017.",""
"Mercy Health Partners, Hackley Campus","Trinity Health","$9,085","$0","$9,085","2016","20160324","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","07-CA-139776","","","Michigan","Muskegon","","","","","USA","Michigan","non-profit","","healthcare services","hospitals","Extracted from a spreadsheet obtained from the NLRB through a Freedom of Information Act request fulfilled on 5/16/2017.",""
"Mercy Health Partners, Hackley Campus","Trinity Health","$5,200","$0","$5,200","2013","20130724","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","07-CA-085923","","","Michigan","Muskegon","","","","","USA","Michigan","non-profit","","healthcare services","hospitals","Extracted from a spreadsheet obtained from the NLRB through a Freedom of Information Act request fulfilled on 5/16/2017.",""
"Mercy Health System","Trinity Health","$20,000","$0","$20,000","2000","20000817","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","04-CA-28256-001","","","Pennsylvania","Bala Cynwyd","","19004","623220","623220: Residential Mental Health and Substance Abuse Facilities","USA","Michigan","non-profit","","healthcare services","hospitals","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"Mercy Hospital and Medical Center","Trinity Health","$44,542","$0","$44,542","2002","20021115","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","13-CA-39944-001","","","Illinois","Chicago","","60616","622110","622110: General Medical and Surgical Hospitals","USA","Michigan","non-profit","","healthcare services","hospitals","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
