"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"TRINITY IND INC","Trinity Industries","$5,000","$0","$5,000","2006","20060210","environment-related offenses","environmental violation","","","state","agency action","Pennsylvania Department of Environmental Protection","civil","","","","","","Pennsylvania","","","","","","USA","Texas","publicly traded","TRN","heavy equipment","transporation equipment","Contained in data received from the agency on February 25, 2021 in response to an open records request. The data was a spreadsheet version of information contained in individual case documents that can be retrieved at https://www.ahs.dep.pa.gov/eFACTSWeb/default.aspx",""
"Trinity Industries Inc.","Trinity Industries","$82,400","$0","$82,400","2002","20020930","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","USA","Texas","publicly traded","TRN","heavy equipment","transporation equipment","Taken from the Federal Railroad Administration's FY2002 safety penalty report obtained through a Freedom of Information Act request. A copy is available upon request. ",""
"Trinity Industries, Inc.","Trinity Industries","$20,000","$0","$20,000","2000","20000112","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","16-CA-19987-001","","","Texas","Saginaw","","76131","336999","336999: All Other Transportation Equipment Manufacturing","USA","Texas","publicly traded","TRN","heavy equipment","transporation equipment","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"TRINITY MARINE PRODUCTS, INC.","Trinity Industries","$90,234","$0","$90,234","2015","20151009","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","15-CA-136100","","","Missouri","CARUTHERSVILLE","","","","","USA","Texas","publicly traded","TRN","heavy equipment","transporation equipment","Extracted from a spreadsheet obtained from the NLRB through a Freedom of Information Act request fulfilled on 5/16/2017.",""
"TRINITY RAIL GROUP, INC.","Trinity Industries","$7,500","$0","$7,500","2016","20160305","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","USA","Texas","publicly traded","TRN","heavy equipment","transporation equipment","https://www.fra.dot.gov/Elib/Document/16831","Year is fiscal year."
"TRINITY TANK CAR, INC.","Trinity Industries","$10,080","$0","$10,080","2009","20090527","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Texas","LONGVIEW","140 SHADY BROOK","75602","336510","336510: Railroad Rolling Stock Manufacturing","USA","Texas","publicly traded","TRN","heavy equipment","transporation equipment","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"ENERGY ABSORPTION SYSTEMS, INC.","Trinity Industries","$71,000","$0","$71,000","2007","20071115","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Alabama","PELL CITY","250 BAMBERG DRIVE","35125","332322","332322: Sheet Metal Work Manufacturing","USA","Texas","publicly traded","TRN","heavy equipment","transporation equipment","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"ENERGY ABSORPTION SYSTEMS, INC.","Trinity Industries","$18,900","$0","$18,900","2007","20070424","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Alabama","PELL CITY","250 BAMBERG DRIVE","35125","332322","332322: Sheet Metal Work Manufacturing","USA","Texas","publicly traded","TRN","heavy equipment","transporation equipment","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"TRINITY MARINE PRODUCTS, INC.","Trinity Industries","$10,500","$0","$10,500","2006","20061031","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Louisiana","BRUSLY","7555 CHOCTAW ROAD","70719","336611","336611: Ship Building and Repairing","USA","Texas","publicly traded","TRN","heavy equipment","transporation equipment","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"TRINITY INDUSTRIES, INC.","Trinity Industries","$5,625","$0","$5,625","2005","20051219","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Illinois","QUINCY","2418 GARDNER EXPWY","62305","332420","332420: Metal Tank (Heavy Gauge) Manufacturing","USA","Texas","publicly traded","TRN","heavy equipment","transporation equipment","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
