"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"TRIUMPH ACCESSORY SERVICES","Triumph Group","$40,000","$0","$40,000","2015","20150916","safety-related offenses","aviation safety violation","","MAINTENANCE","federal","agency action","Federal Aviation Administration","civil","","","","","","","","","","","","USA","Pennsylvania","publicly traded","TGI","aerospace and military contracting","aerospace & military contracting","https://www.faa.gov/about/office_org/headquarters_offices/agc/practice_areas/enforcement/reports/",""
"Triumph Aerostructures","Triumph Group","$204,665","$0","$204,665","2015","20150609","employment-related offenses","labor relations violation","","Back pay award in unfair labor practices case. Press release: https://www.nlrb.gov/news-outreach/news-story/triumph-aerostructures-llc-agrees-reinstate-5-employees-and-pay-204665-back","federal","agency action","National Labor Relations Board","civil","","","16-CA-128484","","","Texas","Grand Prairie","","","","","USA","Pennsylvania","publicly traded","TGI","aerospace and military contracting","aerospace & military contracting","Extracted from a spreadsheet obtained from the NLRB through a Freedom of Information Act request fulfilled on 5/16/2017.",""
"TRIUMPH AIRBORNE STRUCTURES LLC","Triumph Group","$66,205","$0","$66,205","2015","20150527","safety-related offenses","aviation safety violation","","DRUG TESTING","federal","agency action","Federal Aviation Administration","civil","","","","","","","","","","","","USA","Pennsylvania","publicly traded","TGI","aerospace and military contracting","aerospace & military contracting","https://www.faa.gov/about/office_org/headquarters_offices/agc/practice_areas/enforcement/reports/",""
"Triumph Controls Inc.","Triumph Group","$275,000","$0","$275,000","2006","20060825","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","04-CA-32167-001","","","Pennsylvania","North Wales","","19454","336411","336411: Aircraft Manufacturing","USA","Pennsylvania","publicly traded","TGI","aerospace and military contracting","aerospace & military contracting","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"Triumph Controls, Inc.","Triumph Group","$750,000","$0","$750,000","2006","20060825","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","04-CA-32043-001","","","Pennsylvania","North Wales","","19454","333999","333999: All Other Miscellaneous General Purpose Machinery Manufacturing","USA","Pennsylvania","publicly traded","TGI","aerospace and military contracting","aerospace & military contracting","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"TRIUMPH ENGINEERED SOLUTIONS INC","Triumph Group","$10,000","$0","$10,000","2014","20140530","safety-related offenses","aviation safety violation","","MAINTENANCE ","federal","agency action","Federal Aviation Administration","civil","","","","","","","","","","","","USA","Pennsylvania","publicly traded","TGI","aerospace and military contracting","aerospace & military contracting","https://www.faa.gov/about/office_org/headquarters_offices/agc/practice_areas/enforcement/reports/",""
"TRIUMPH ENGINEERED SOLUTIONS INC","Triumph Group","$8,000","$0","$8,000","2013","20131121","safety-related offenses","aviation safety violation","","MAINTENANCE ","federal","agency action","Federal Aviation Administration","civil","","","","","","","","","","","","USA","Pennsylvania","publicly traded","TGI","aerospace and military contracting","aerospace & military contracting","https://www.faa.gov/about/office_org/headquarters_offices/agc/practice_areas/enforcement/reports/",""
"TRIUMPH ENGINEERED SOLUTIONS INC","Triumph Group","$7,425","$0","$7,425","2015","20150722","safety-related offenses","aviation safety violation","","MAINTENANCE","federal","agency action","Federal Aviation Administration","civil","","","","","","","","","","","","USA","Pennsylvania","publicly traded","TGI","aerospace and military contracting","aerospace & military contracting","https://www.faa.gov/about/office_org/headquarters_offices/agc/practice_areas/enforcement/reports/",""
"TRIUMPH INTERIORS LLC","Triumph Group","$21,000","$0","$21,000","2012","20121210","safety-related offenses","aviation safety violation","","QUAL CONTROL ","federal","agency action","Federal Aviation Administration","civil","","","","","","","","","","","","USA","Pennsylvania","publicly traded","TGI","aerospace and military contracting","aerospace & military contracting","https://www.faa.gov/about/office_org/headquarters_offices/agc/practice_areas/enforcement/reports/",""
"Vought Aircraft Industries Inc.","Triumph Group","$1,500,000","$0","$1,500,000","2008","20080418","employment-related offenses","employment discrimination","","Vought Aircraft Industries Inc. entered into a consent decree with the U.S. Department of Labor's Office of Federal Contract Compliance Programs (OFCCP) to settle allegations of hiring discrimination based on race and gender and agreed to a settlement of $1.5 million.","federal","agency action","Office of Federal Contract Compliance Programs","civil","","","","","","","","","","","","USA","Pennsylvania","publicly traded","TGI","aerospace and military contracting","aerospace & military contracting","FOIA535","Source document obtained through a Freedom of Information Act request to the agency."
