"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"Tronox Inc.","Tronox","$270,000,000","$0","$270,000,000","2010","20101123","environment-related offenses","environmental violation","","Under a global bankruptcy settlement lodged in federal bankruptcy court in Manhattan, Tronox Inc. and its affiliated debtors agreed to pay $270 million into trusts and to federal and state agencies that will fund the cleanup of contaminated sites in 22 states.","federal","agency action","Justice Department multiagency referral","civil","","","","","","","","","","","","USA","Connecticut","publicly traded","TROX","chemicals","chemicals","http://www.justice.gov/opa/pr/united-states-announces-global-environmental-bankruptcy-settlement-tronox",""
"TRONOX INCORPORATED","Tronox","$22,384","$0","$22,384","2011","20110414","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","USA","Connecticut","publicly traded","TROX","chemicals","chemicals","https://www.fra.dot.gov/eLib/details/L01494#p1_z5_gD_lEA",""
"TRONOX INCORPORATED","Tronox","$7,500","$0","$7,500","2011","20110615","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","USA","Connecticut","publicly traded","TROX","chemicals","chemicals","https://www.fra.dot.gov/eLib/details/L01494#p1_z5_gD_lEA",""
"TRONOX INCORPORATED","Tronox","$5,250","$0","$5,250","2010","20100507","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","USA","Connecticut","publicly traded","TROX","chemicals","chemicals","https://www.fra.dot.gov/eLib/details/L01493#p1_z5_gD_lEA",""
"TRONOX INCORPORATED","Tronox","$5,000","$0","$5,000","2016","20160506","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","USA","Connecticut","publicly traded","TROX","chemicals","chemicals","https://www.fra.dot.gov/Elib/Document/16831","Year is fiscal year."
"TRONOX INCORPORATED","Tronox","$5,000","$0","$5,000","2011","20111207","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","USA","Connecticut","publicly traded","TROX","chemicals","chemicals","https://www.fra.dot.gov/eLib/details/L04190#p1_z5_gD_lEA",""
"TRONOX INCORPORATED","Tronox","$5,000","$0","$5,000","2012","20120614","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","USA","Connecticut","publicly traded","TROX","chemicals","chemicals","https://www.fra.dot.gov/eLib/details/L04190#p1_z5_gD_lEA",""
"Tronox Alkalai Wyoming Corporation","Tronox","$20,000","$0","$20,000","2000","20000214","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","USA","Connecticut","publicly traded","TROX","chemicals","chemicals","Taken from the Federal Railroad Administration's FY2000 safety penalty report obtained through a Freedom of Information Act request. A copy is available upon request. ",""
"Tronox Alkalai Wyoming Corporation","Tronox","$10,000","$0","$10,000","2008","20080623","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","USA","Connecticut","publicly traded","TROX","chemicals","chemicals","Taken from the Federal Railroad Administration's FY2008 safety penalty report obtained through a Freedom of Information Act request. A copy is available upon request. ",""
"Tronox Alkalai Wyoming Corporation","Tronox","$7,500","$0","$7,500","2004","20040113","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","USA","Connecticut","publicly traded","TROX","chemicals","chemicals","Taken from the Federal Railroad Administration's FY2004 safety penalty report obtained through a Freedom of Information Act request. A copy is available upon request. ",""
