"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"FITCHBURG GAS & ELECTRIC","Unitil Corporation","$6,000","$0","$6,000","2004","20040730","environment-related offenses","environmental violation","","","state","agency action","Massachusetts Executive Office of Energy and Environmental Affairs","civil","","","","","","Massachusetts","Fitchburg","","","","","USA","New Hampshire","publicly traded","UTL","utilities and power generation","electricity and natural gas distribution","https://eeaonline.eea.state.ma.us/Portal/#!/search/enforcements/results?FacilityName=FITCHBURG GAS %26 ELECTRIC","Captured from records in EEA database with basic enforcement information; may not include full details of penalties."
"Northern Utilities","Unitil Corporation","$27,500","$0","$27,500","2005","20050913","safety-related offenses","utility safety violation","gas pipeline safety violation","","state","agency action","New Hampshire Public Utilities Commission","civil","","","PS0501NU","","","New Hampshire","","","","","","USA","New Hampshire","publicly traded","UTL","utilities and power generation","electricity and natural gas distribution","Contained in data received from the agency on January 25th, 2022 in response to an open records request.",""
"Northern Utilities","Unitil Corporation","$32,000","$0","$32,000","2005","20050922","safety-related offenses","utility safety violation","gas pipeline safety violation","","state","agency action","New Hampshire Public Utilities Commission","civil","","","PS0502NU","","","New Hampshire","","","","","","USA","New Hampshire","publicly traded","UTL","utilities and power generation","electricity and natural gas distribution","Contained in data received from the agency on January 25th, 2022 in response to an open records request.",""
"Northern Utilities","Unitil Corporation","$2,000,000","$0","$2,000,000","2008","20081006","safety-related offenses","utility safety violation","","The Maine Public Utilities Commission fined Northern Utilities $2 million for a series of safety problems including a pair of home explosions.","state","agency action","New Hampshire Public Utilities Commission","civil","","","","","","New Hampshire","","","","","","USA","New Hampshire","publicly traded","UTL","utilities and power generation","electricity and natural gas distribution","Northern Utilities fined $2 million before sale, Associated Press, October 6, 2008 (via Nexis).",""
"Northern Utilities, Inc., New Hampshire Gas Division","Unitil Corporation","$7,500","$0","$7,500","2014","20140505","safety-related offenses","utility safety violation","gas pipeline safety violation","","state","agency action","New Hampshire Public Utilities Commission","civil","","","PS1401NU","","","New Hampshire","","","","","","USA","New Hampshire","publicly traded","UTL","utilities and power generation","electricity and natural gas distribution","https://www.puc.nh.gov/Safety/Pipeline%20Safety%20Enforcement/CY%202014/PS1401NU.pdf",""
"Northern Utilities, Inc., New Hampshire Gas Division","Unitil Corporation","$12,500","$0","$12,500","2015","20150126","safety-related offenses","utility safety violation","gas pipeline safety violation","","state","agency action","New Hampshire Public Utilities Commission","civil","","","PS1502NU","","","New Hampshire","","","","","","USA","New Hampshire","publicly traded","UTL","utilities and power generation","electricity and natural gas distribution","https://www.puc.nh.gov/Safety/Pipeline%20Safety%20Enforcement/CY%202016/PS1502NU.pdf",""
"Northern Utilities, Inc., New Hampshire Gas Division","Unitil Corporation","$17,500","$0","$17,500","2015","20150126","safety-related offenses","utility safety violation","gas pipeline safety violation","","state","agency action","New Hampshire Public Utilities Commission","civil","","","PS1501NU","","","New Hampshire","","","","","","USA","New Hampshire","publicly traded","UTL","utilities and power generation","electricity and natural gas distribution","https://www.puc.nh.gov/Safety/Pipeline%20Safety%20Enforcement/CY%202016/PS1501NU.pdf",""
"Northern Utilities, Inc., New Hampshire Gas Division","Unitil Corporation","$7,500","$0","$7,500","2016","20160114","safety-related offenses","utility safety violation","gas pipeline safety violation","","state","agency action","New Hampshire Public Utilities Commission","civil","","","PS1605NU","","","New Hampshire","","","","","","USA","New Hampshire","publicly traded","UTL","utilities and power generation","electricity and natural gas distribution","https://www.puc.nh.gov/Safety/Pipeline%20Safety%20Enforcement/CY%202016/PS1604NU.pdf",""
"Northern Utilities, Inc., New Hampshire Gas Division","Unitil Corporation","$38,000","$0","$38,000","2016","20160408","safety-related offenses","utility safety violation","gas pipeline safety violation","","state","agency action","New Hampshire Public Utilities Commission","civil","","","PS1601NU","","","New Hampshire","","","","","","USA","New Hampshire","publicly traded","UTL","utilities and power generation","electricity and natural gas distribution","https://www.puc.nh.gov/Safety/Pipeline%20Safety%20Enforcement/CY%202016/PS1601NU.pdf",""
"Northern Utilities, Inc., New Hampshire Gas Division","Unitil Corporation","$52,000","$0","$52,000","2016","20160726","safety-related offenses","utility safety violation","gas pipeline safety violation","","state","agency action","New Hampshire Public Utilities Commission","civil","","","PS1602NU","","","New Hampshire","","","","","","USA","New Hampshire","publicly traded","UTL","utilities and power generation","electricity and natural gas distribution","https://www.puc.nh.gov/Safety/Pipeline%20Safety%20Enforcement/CY%202016/PS1602NU.pdf",""
"Northern Utilities","Unitil Corporation","$2,000,000","$0","$2,000,000","2008","20081006","safety-related offenses","utility safety violation","","The Maine Public Utilities Commission approved fines against Northern Utilities of $2 million to settle numerous probable violations of state and federal safety regulations.","state","agency action","Maine Public Utilities Commission","civil","","","","","","Maine","","","","","","USA","New Hampshire","publicly traded","UTL","utilities and power generation","electricity and natural gas distribution","https://www.maine.gov/tools/whatsnew/index.php?topic=puc-pressreleases&id=62355&v=article088",""
"Unitil","Unitil Corporation","$5,000","$0","$5,000","2013","20130410","safety-related offenses","utility safety violation","underground facilities protection violation","","state","agency action","Maine Public Utilities Commission","civil","","","","","","Maine","","","","","","USA","New Hampshire","publicly traded","UTL","utilities and power generation","electricity and natural gas distribution","https://mpuc-cms.maine.gov/CQM.Public.WebUI/Common/AdvanceSearch.aspx",""
"Northern Utilities, Inc. D/B/A Unitil","Unitil Corporation","$14,000","$0","$14,000","2013","20131022","safety-related offenses","utility safety violation","gas pipeline safety violation","","state","agency action","Maine Public Utilities Commission","civil","","","2013-00488","","","Maine","","","","","","USA","New Hampshire","publicly traded","UTL","utilities and power generation","electricity and natural gas distribution","https://mpuc-cms.maine.gov/CQM.Public.WebUI/Common/AdvanceSearch.aspx",""
"Unitil","Unitil Corporation","$7,500","$0","$7,500","2015","20151222","safety-related offenses","utility safety violation","gas pipeline safety violation","","state","agency action","Maine Public Utilities Commission","civil","","","2015-00349","","","Maine","","","","","","USA","New Hampshire","publicly traded","UTL","utilities and power generation","electricity and natural gas distribution","https://mpuc-cms.maine.gov/CQM.Public.WebUI/Common/AdvanceSearch.aspx",""
"Unitil ME/NH Gas Operations","Unitil Corporation","$8,500","$0","$8,500","2015","20151231","safety-related offenses","utility safety violation","underground facilities protection violation","","state","agency action","Maine Public Utilities Commission","civil","","","","","","Maine","","","","","","USA","New Hampshire","publicly traded","UTL","utilities and power generation","electricity and natural gas distribution","https://mpuc-cms.maine.gov/CQM.Public.WebUI/Common/AdvanceSearch.aspx",""
"Unitil ME/NH Gas Operations","Unitil Corporation","$6,000","$0","$6,000","2016","20160707","safety-related offenses","utility safety violation","underground facilities protection violation","","state","agency action","Maine Public Utilities Commission","civil","","","","","","Maine","","","","","","USA","New Hampshire","publicly traded","UTL","utilities and power generation","electricity and natural gas distribution","https://mpuc-cms.maine.gov/CQM.Public.WebUI/Common/AdvanceSearch.aspx",""
"Unitil ME/NH Gas Operations","Unitil Corporation","$6,000","$0","$6,000","2016","20160714","safety-related offenses","utility safety violation","underground facilities protection violation","","state","agency action","Maine Public Utilities Commission","civil","","","","","","Maine","","","","","","USA","New Hampshire","publicly traded","UTL","utilities and power generation","electricity and natural gas distribution","https://mpuc-cms.maine.gov/CQM.Public.WebUI/Common/AdvanceSearch.aspx",""
"Unitil ME/NH Gas Operations","Unitil Corporation","$5,000","$0","$5,000","2016","20160928","safety-related offenses","utility safety violation","underground facilities protection violation","","state","agency action","Maine Public Utilities Commission","civil","","","","","","Maine","","","","","","USA","New Hampshire","publicly traded","UTL","utilities and power generation","electricity and natural gas distribution","https://mpuc-cms.maine.gov/CQM.Public.WebUI/Common/AdvanceSearch.aspx",""
"Unitil ME/NH Gas Operations","Unitil Corporation","$9,000","$0","$9,000","2016","20161006","safety-related offenses","utility safety violation","underground facilities protection violation","","state","agency action","Maine Public Utilities Commission","civil","","","","","","Maine","","","","","","USA","New Hampshire","publicly traded","UTL","utilities and power generation","electricity and natural gas distribution","https://mpuc-cms.maine.gov/CQM.Public.WebUI/Common/AdvanceSearch.aspx",""
"Unitil ME/NH Gas Operations","Unitil Corporation","$5,000","$0","$5,000","2016","20161214","safety-related offenses","utility safety violation","underground facilities protection violation","","state","agency action","Maine Public Utilities Commission","civil","","","","","","Maine","","","","","","USA","New Hampshire","publicly traded","UTL","utilities and power generation","electricity and natural gas distribution","https://mpuc-cms.maine.gov/CQM.Public.WebUI/Common/AdvanceSearch.aspx",""
"Northern Utilities, Inc D/B/A Unitil","Unitil Corporation","$5,000","$0","$5,000","2016","20161229","safety-related offenses","utility safety violation","gas pipeline safety violation","","state","agency action","Maine Public Utilities Commission","civil","","","2016-00311","","","Maine","","","","","","USA","New Hampshire","publicly traded","UTL","utilities and power generation","electricity and natural gas distribution","https://mpuc-cms.maine.gov/CQM.Public.WebUI/Common/AdvanceSearch.aspx",""
"Unitil ME/NH Gas Operations","Unitil Corporation","$5,500","$0","$5,500","2017","20171214","safety-related offenses","utility safety violation","underground facilities protection violation","","state","agency action","Maine Public Utilities Commission","civil","","","","","","Maine","","","","","","USA","New Hampshire","publicly traded","UTL","utilities and power generation","electricity and natural gas distribution","https://mpuc-cms.maine.gov/CQM.Public.WebUI/Common/AdvanceSearch.aspx",""
"Unitil ME/NH Gas Operations","Unitil Corporation","$9,000","$0","$9,000","2017","20171229","safety-related offenses","utility safety violation","underground facilities protection violation","","state","agency action","Maine Public Utilities Commission","civil","","","","","","Maine","","","","","","USA","New Hampshire","publicly traded","UTL","utilities and power generation","electricity and natural gas distribution","https://mpuc-cms.maine.gov/CQM.Public.WebUI/Common/AdvanceSearch.aspx",""
"Unitil ME/NH Gas Operations","Unitil Corporation","$5,000","$0","$5,000","2018","20180302","safety-related offenses","utility safety violation","underground facilities protection violation","","state","agency action","Maine Public Utilities Commission","civil","","","","","","Maine","","","","","","USA","New Hampshire","publicly traded","UTL","utilities and power generation","electricity and natural gas distribution","https://mpuc-cms.maine.gov/CQM.Public.WebUI/Common/AdvanceSearch.aspx",""
"Unitil ME/NH Gas Operations","Unitil Corporation","$5,500","$0","$5,500","2018","20180406","safety-related offenses","utility safety violation","underground facilities protection violation","","state","agency action","Maine Public Utilities Commission","civil","","","","","","Maine","","","","","","USA","New Hampshire","publicly traded","UTL","utilities and power generation","electricity and natural gas distribution","https://mpuc-cms.maine.gov/CQM.Public.WebUI/Common/AdvanceSearch.aspx",""
"Unitil ME/NH Gas Operations","Unitil Corporation","$5,000","$0","$5,000","2018","20180425","safety-related offenses","utility safety violation","gas pipeline safety violation","","state","agency action","Maine Public Utilities Commission","civil","","","2018-00077","","","Maine","","","","","","USA","New Hampshire","publicly traded","UTL","utilities and power generation","electricity and natural gas distribution","https://mpuc-cms.maine.gov/CQM.Public.WebUI/Common/AdvanceSearch.aspx",""
"Unitil ME/NH Gas Operations","Unitil Corporation","$5,000","$0","$5,000","2018","20180525","safety-related offenses","utility safety violation","underground facilities protection violation","","state","agency action","Maine Public Utilities Commission","civil","","","","","","Maine","","","","","","USA","New Hampshire","publicly traded","UTL","utilities and power generation","electricity and natural gas distribution","https://mpuc-cms.maine.gov/CQM.Public.WebUI/Common/AdvanceSearch.aspx",""
"Unitil ME/NH Gas Operations","Unitil Corporation","$6,500","$0","$6,500","2018","20180601","safety-related offenses","utility safety violation","underground facilities protection violation","","state","agency action","Maine Public Utilities Commission","civil","","","","","","Maine","","","","","","USA","New Hampshire","publicly traded","UTL","utilities and power generation","electricity and natural gas distribution","https://mpuc-cms.maine.gov/CQM.Public.WebUI/Common/AdvanceSearch.aspx",""
"Unitil ME/NH Gas Operations","Unitil Corporation","$5,000","$0","$5,000","2018","20180815","safety-related offenses","utility safety violation","underground facilities protection violation","","state","agency action","Maine Public Utilities Commission","civil","","","","","","Maine","","","","","","USA","New Hampshire","publicly traded","UTL","utilities and power generation","electricity and natural gas distribution","https://mpuc-cms.maine.gov/CQM.Public.WebUI/Common/AdvanceSearch.aspx",""
"Unitil","Unitil Corporation","$6,000","$0","$6,000","2018","20181017","safety-related offenses","utility safety violation","underground facilities protection violation","","state","agency action","Maine Public Utilities Commission","civil","","","","","","Maine","","","","","","USA","New Hampshire","publicly traded","UTL","utilities and power generation","electricity and natural gas distribution","https://mpuc-cms.maine.gov/CQM.Public.WebUI/Common/AdvanceSearch.aspx",""
"Unitil ME/NH Gas Operations","Unitil Corporation","$5,000","$0","$5,000","2019","20190712","safety-related offenses","utility safety violation","underground facilities protection violation","","state","agency action","Maine Public Utilities Commission","civil","","","","","","Maine","","","","","","USA","New Hampshire","publicly traded","UTL","utilities and power generation","electricity and natural gas distribution","https://mpuc-cms.maine.gov/CQM.Public.WebUI/Common/AdvanceSearch.aspx",""
"Unitil ME/NH Gas Operations","Unitil Corporation","$6,500","$0","$6,500","2019","20190920","safety-related offenses","utility safety violation","underground facilities protection violation","","state","agency action","Maine Public Utilities Commission","civil","","","","","","Maine","","","","","","USA","New Hampshire","publicly traded","UTL","utilities and power generation","electricity and natural gas distribution","https://mpuc-cms.maine.gov/CQM.Public.WebUI/Common/AdvanceSearch.aspx",""
"Unitil ME/NH Gas Operations","Unitil Corporation","$5,000","$0","$5,000","2020","20200123","safety-related offenses","utility safety violation","underground facilities protection violation","","state","agency action","Maine Public Utilities Commission","civil","","","","","","Maine","","","","","","USA","New Hampshire","publicly traded","UTL","utilities and power generation","electricity and natural gas distribution","https://mpuc-cms.maine.gov/CQM.Public.WebUI/Common/AdvanceSearch.aspx",""
"Unitil ME/NH Gas Operations","Unitil Corporation","$7,500","$0","$7,500","2020","20200318","safety-related offenses","utility safety violation","underground facilities protection violation","","state","agency action","Maine Public Utilities Commission","civil","","","","","","Maine","","","","","","USA","New Hampshire","publicly traded","UTL","utilities and power generation","electricity and natural gas distribution","https://mpuc-cms.maine.gov/CQM.Public.WebUI/Common/AdvanceSearch.aspx",""
"Unitil ME/NH Gas Operations","Unitil Corporation","$5,000","$0","$5,000","2020","20200408","safety-related offenses","utility safety violation","underground facilities protection violation","","state","agency action","Maine Public Utilities Commission","civil","","","","","","Maine","","","","","","USA","New Hampshire","publicly traded","UTL","utilities and power generation","electricity and natural gas distribution","https://mpuc-cms.maine.gov/CQM.Public.WebUI/Common/AdvanceSearch.aspx",""
"Unitil ME/NH Gas Operations","Unitil Corporation","$10,000","$0","$10,000","2020","20200720","safety-related offenses","utility safety violation","underground facilities protection violation","","state","agency action","Maine Public Utilities Commission","civil","","","","","","Maine","","","","","","USA","New Hampshire","publicly traded","UTL","utilities and power generation","electricity and natural gas distribution","https://mpuc-cms.maine.gov/CQM.Public.WebUI/Common/AdvanceSearch.aspx",""
"Unitil ME/NH Gas Operations","Unitil Corporation","$5,000","$0","$5,000","2021","20210323","safety-related offenses","utility safety violation","underground facilities protection violation","","state","agency action","Maine Public Utilities Commission","civil","","","","","","Maine","","","","","","USA","New Hampshire","publicly traded","UTL","utilities and power generation","electricity and natural gas distribution","https://mpuc-cms.maine.gov/CQM.Public.WebUI/Common/AdvanceSearch.aspx",""
"Unitil","Unitil Corporation","$5,000","$0","$5,000","2021","20210525","safety-related offenses","utility safety violation","underground facilities protection violation","","state","agency action","Maine Public Utilities Commission","civil","","","","","","Maine","","","","","","USA","New Hampshire","publicly traded","UTL","utilities and power generation","electricity and natural gas distribution","https://mpuc-cms.maine.gov/CQM.Public.WebUI/Common/AdvanceSearch.aspx",""
"Fitchburg Gas and Electric Light Department d/b/a Until","Unitil Corporation","$30,000","$0","$30,000","2020","20200416","safety-related offenses","utility safety violation","gas pipeline safety violation","","state","agency action","Massachusetts Department of Public Utilities","civil","","","19-PL-34","","","Massachusetts","","","","","","USA","New Hampshire","publicly traded","UTL","utilities and power generation","electricity and natural gas distribution","https://fileservice.eea.comacloud.net/FileService.Api/file/FileRoom/12225248",""
"FITCHBURG GAS & ELECTRIC COMPANY","Unitil Corporation","$6,765","$0","$6,765","2002","20021118","environment-related offenses","environmental violation","","","federal","agency action","Environmental Protection Agency","civil","","","01-2003-0048","","","Massachusetts","FITCHBURG","SAWYER PASSWAY","14200000","221112","221112: Fossil Fuel Electric Power Generation","USA","New Hampshire","publicly traded","UTL","utilities and power generation","electricity and natural gas distribution","Extracted from a download of the EPA's Enforcement and Compliance History Online (ECHO) ICIS FE&C file downloaded on 3/02/2022, available at http://echo.epa.gov/tools/data-downloads#downloads",""
