"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"University of California","University of California","$36,766","$0","$36,766","2013","20131231","employment-related offenses","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1708536","","","California","Orange","","92868","622110","622110: General Medical and Surgical Hospitals","USA","California","government-owned","","miscellaneous services","university","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"University of California at Los Angeles","University of California","$5,750","$0","$5,750","2003","20030718","financial offenses","economic sanction violation","","","federal","agency action","Office of Foreign Assets Control","civil","","","","","","","","","","","","USA","California","government-owned","","miscellaneous services","university","https://www.treasury.gov/resource-center/sanctions/OFAC-Enforcement/Documents/07182003.pdf",""
"University of California, Riverside","University of California","$189,298","$0","$189,298","2014","20141106","employment-related offenses","employment discrimination","","","federal","agency action","Office of Federal Contract Compliance Programs","civil","","","","","","","","","","","","USA","California","government-owned","","miscellaneous services","university","https://www.dol.gov/ofccp/foia/files/UC_Riverside_CA_Redacted.pdf",""
"University of California, San Diego","University of California","$10,000","$0","$10,000","2007","20070613","healthcare-related offenses","HHS civil monetary penalties","","","federal","agency action","Health & Human Services Department Office of Inspector General","civil","","","","","","California","","","","","","USA","California","government-owned","","miscellaneous services","university","FOIA340","Source document obtained through a Freedom of Information Act request to the agency."
"University of California, San Diego","University of California","$5,732","$0","$5,732","2003","20030517","employment-related offenses","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1376128","","","California","La Jolla","","92093","61131","61131: Colleges, Universities, and Professional Schools","USA","California","government-owned","","miscellaneous services","university","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"University of California San Francisco Health d/b/a UCSF Medical Center","University of California","$1,443,016","$0","$1,443,016","2016","20160928","healthcare-related offenses","HHS civil monetary penalties","","On September 28, 2016, University of California San Francisco Health d/b/a UCSF Medical Center (UCSF), entered into a $1,443,016 settlement agreement with OIG. The settlement agreement resolved allegations that UCSF submitted claims for ""new patient"" evaluation and management outpatient clinic visits using Healthcare Common Procedure Coding System (HCPCS) codes 99203-99205 when the patients at issue were actually ""established patients"" and, thus, UCSF should have submitted those claims using the lower-paying HCPCS codes 99213-99215.","federal","agency action","Health & Human Services Department Office of Inspector General","civil","","","","","","California","San Francisco","","","","","USA","California","government-owned","","miscellaneous services","university","https://oig.hhs.gov/fraud/enforcement/cmp/cmp-ae.asp",""
"UC REGENTS, UNIVERSITY OF CALIFORNIA, DAVIS","University of California","$31,600","$0","$31,600","2010","20100629","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","California","DAVIS","ART, CHEMISTRY & ENVIRONMENTAL SERVICES FACILITY","95616","611310","611310: Colleges, Universities, and Professional Schools","USA","California","government-owned","","miscellaneous services","university","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"UNIVERSITY OF CALIFORNIA, SAN DIEGO - SIO","University of California","$13,810","$0","$13,810","2010","20100316","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","California","SAN DIEGO","297 ROSECRANS ST","92106","611310","611310: Colleges, Universities, and Professional Schools","USA","California","government-owned","","miscellaneous services","university","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"UNIVERSITY OF CA,SAN DIEGO - POWELL STRUCTURES LAB","University of California","$24,320","$0","$24,320","2009","20090408","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","California","SAN DIEGO","9500 GILMAN DR #0085","92093","611310","611310: Colleges, Universities, and Professional Schools","USA","California","government-owned","","miscellaneous services","university","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"UNIVERSITY OF CALIFORNIA, BERKELEY","University of California","$19,610","$0","$19,610","2011","20110217","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","California","BERKELEY","277 WURSTER HALL","94720","611310","611310: Colleges, Universities, and Professional Schools","USA","California","government-owned","","miscellaneous services","university","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"UC DAVIS REGENTS - DINING SERVICE","University of California","$23,750","$0","$23,750","2009","20090513","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","California","DAVIS","1 SHIELDS AVENUE","95616","722212","722212: Cafeterias","USA","California","government-owned","","miscellaneous services","university","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"UC REGENTS, UNIVERSITY OF CA DAVIS","University of California","$18,000","$0","$18,000","2007","20070524","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","California","DAVIS","1 SHIELDS AVE. BAINER HALL ROOM 1230","95616","611310","611310: Colleges, Universities, and Professional Schools","USA","California","government-owned","","miscellaneous services","university","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"UC BERKELEY - PARKING & TRANSPORTATION DEPT","University of California","$7,130","$0","$7,130","2003","20031120","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","California","BERKELEY","1952 OXFORD ST","94720","485410","485410: School and Employee Bus Transportation","USA","California","government-owned","","miscellaneous services","university","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"UC BERKELEY PHYSICAL PLANT","University of California","$19,005","$0","$19,005","2002","20020517","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","California","BERKELEY","317 UNIVERSITY HALL #1150","94720","000000","","USA","California","government-owned","","miscellaneous services","university","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
