"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"The University of Texas at Austin","University of Texas","$13,607","$0","$13,607","2015","20150430","employment-related offenses","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1747381","","","Texas","Austin","","78712","611310","611310: Colleges, Universities, and Professional Schools","USA","Texas","non-profit","","miscellaneous services","university","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"University of Texas at Austin","University of Texas","$9,121","$0","$9,121","2005","20051201","employment-related offenses","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1416995","","","Texas","Austin","","78713","611310","611310: Colleges, Universities, and Professional Schools","USA","Texas","non-profit","","miscellaneous services","university","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"University of Texas MD Anderson Cancer Center","University of Texas","$302,624","$0","$302,624","2013","20130831","employment-related offenses","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1704361","","","Texas","Houston","","77030","622110","622110: General Medical and Surgical Hospitals","USA","Texas","non-profit","","miscellaneous services","university","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"The University of Texas Medical Branch","University of Texas","$8,483","$0","$8,483","2005","20050805","employment-related offenses","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1464067","","","Texas","Galveston","","77555","9160","","USA","Texas","non-profit","","miscellaneous services","university","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"University of Texas Medical Branch","University of Texas","$792,952","$0","$792,952","2013","20130215","employment-related offenses","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1683034","","","Texas","Galveston","","77555","621999","621999: All Other Miscellaneous Ambulatory Health Care Services","USA","Texas","non-profit","","miscellaneous services","university","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"University of Texas Medical Branch at Galves","University of Texas","$40,460","$0","$40,460","2011","20110324","employment-related offenses","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1594075","","","Texas","Galveston","","77555","611310","611310: Colleges, Universities, and Professional Schools","USA","Texas","non-profit","","miscellaneous services","university","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"University of Texas Medical Branch - CMC","University of Texas","$12,510","$0","$12,510","2013","20130215","employment-related offenses","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1707667","","","Texas","Galveston","","77555","621999","621999: All Other Miscellaneous Ambulatory Health Care Services","USA","Texas","non-profit","","miscellaneous services","university","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"University of Texas Southwestern Medical Center at Dallas","University of Texas","$1,400,000","$0","$1,400,000","2011","20110901","government-contracting-related offenses","False Claims Act and related","","","federal","agency action","U.S. Attorney-Northern District of Texas","civil","","","","","","Texas","","","","","","USA","Texas","non-profit","","miscellaneous services","university","https://www.justice.gov/archive/usao/txn/PressRel11/utsw_parkland_residents_settle_pr.html",""
"University of Texas MD Anderson Cancer Center","University of Texas","$4,348,000","$0","$4,348,000","2018","20180618","consumer-protection-related offenses","privacy violation","","health information data breach","federal","agency action","Health & Human Services Department Office for Civil Rights","civil","","","","","","","","","","","","USA","Texas","non-profit","","miscellaneous services","university","https://www.hhs.gov/about/news/2018/06/18/judge-rules-in-favor-of-ocr-and-requires-texas-cancer-center-to-pay-4.3-million-in-penalties-for-hipaa-violations.html",""
"University of Texas at Arlington","University of Texas","$49,500","$0","$49,500","2013","20130731","safety-related offenses","Clery Act campus security reporting violation","","","federal","agency action","Education Department","civil","","","","","","Texas","","","","","","USA","Texas","non-profit","","miscellaneous services","university","https://studentaid.ed.gov/sa/sites/default/files/fsawg/datacenter/cleryact/uta/1600_001.pdf",""
