"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"U.S. Minerals","U.S. Minerals","$700,000","$0","$700,000","2012","20120926","safety-related offenses","workplace safety or health violation","","corporate-wide settlement agreement","federal","agency action","Occupational Safety & Health Administration corporate-wide settlements","civil","","","","","","","","","","","","USA","Indiana","privately held","","mining and minerals","minerals","https://www.osha.gov/pls/oshaweb/owadisp.show_document?p_table=CWSA&p_id=2203",""
"U.S. MINERALS, LLC","U.S. Minerals","$29,043","$61,800","$0","2010","20100608","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Louisiana","HARVEY","3860 PETERS RD","70058","327992","327992: Ground or Treated Mineral and Earth Manufacturing","USA","Indiana","privately held","","mining and minerals","minerals","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php","Note: This penalty is a duplicate of an amount shown in another record (either because it applies to a multi-location settlement or because Violation Tracker contains an agency record and a settlement announcement for the same case)."
"U.S. MINERALS, LLC","U.S. Minerals","$22,879","$22,879","$0","2010","20100608","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Louisiana","HARVEY","3860 PETERS RD","70058","327992","327992: Ground or Treated Mineral and Earth Manufacturing","USA","Indiana","privately held","","mining and minerals","minerals","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php","Note: This penalty is a duplicate of an amount shown in another record (either because it applies to a multi-location settlement or because Violation Tracker contains an agency record and a settlement announcement for the same case)."
"U.S. MINERALS, LLC","U.S. Minerals","$39,070","$39,070","$0","2010","20100903","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Illinois","BALDWIN","11000 BALDWIN ROAD","62217","327910","327910: Abrasive Product Manufacturing","USA","Indiana","privately held","","mining and minerals","minerals","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php","Note: This penalty is a duplicate of an amount shown in another record (either because it applies to a multi-location settlement or because Violation Tracker contains an agency record and a settlement announcement for the same case)."
"U.S. MINERALS, LLC","U.S. Minerals","$90,242","$90,242","$0","2010","20100608","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Illinois","COFFEEN","796 CIPS TRAIL","62017","327910","327910: Abrasive Product Manufacturing","USA","Indiana","privately held","","mining and minerals","minerals","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php","Note: This penalty is a duplicate of an amount shown in another record (either because it applies to a multi-location settlement or because Violation Tracker contains an agency record and a settlement announcement for the same case)."
"U.S. MINERALS, LLC","U.S. Minerals","$96,172","$96,172","$0","2010","20100608","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Illinois","COFFEEN","796 CIPS TRAIL","62017","327910","327910: Abrasive Product Manufacturing","USA","Indiana","privately held","","mining and minerals","minerals","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php","Note: This penalty is a duplicate of an amount shown in another record (either because it applies to a multi-location settlement or because Violation Tracker contains an agency record and a settlement announcement for the same case)."
"U.S. MINERALS, LLC","U.S. Minerals","$219,606","$219,606","$0","2010","20100311","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Illinois","BALDWIN","11000 BALDWIN ROAD","62217","327910","327910: Abrasive Product Manufacturing","USA","Indiana","privately held","","mining and minerals","minerals","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php","Note: This penalty is a duplicate of an amount shown in another record (either because it applies to a multi-location settlement or because Violation Tracker contains an agency record and a settlement announcement for the same case)."
"U.S. MINERALS, LLC","U.S. Minerals","$74,471","$74,471","$0","2010","20100204","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Illinois","BALDWIN","11000 BALDWIN ROAD","62217","327910","327910: Abrasive Product Manufacturing","USA","Indiana","privately held","","mining and minerals","minerals","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php","Note: This penalty is a duplicate of an amount shown in another record (either because it applies to a multi-location settlement or because Violation Tracker contains an agency record and a settlement announcement for the same case)."
"U.S. MINERALS, L.L.C.","U.S. Minerals","$128,508","$128,508","$0","2010","20100603","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Texas","GALVESTON","5712 HARBOR SIDE DRIVE","77554","327992","327992: Ground or Treated Mineral and Earth Manufacturing","USA","Indiana","privately held","","mining and minerals","minerals","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php","Note: This penalty is a duplicate of an amount shown in another record (either because it applies to a multi-location settlement or because Violation Tracker contains an agency record and a settlement announcement for the same case)."
"U.S. MINERALS, LLC","U.S. Minerals","$8,040","$0","$8,040","2007","20070607","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Illinois","BALDWIN","11000 BALDWIN ROAD","62217","324199","324199: All Other Petroleum and Coal Products Manufacturing","USA","Indiana","privately held","","mining and minerals","minerals","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"U.S. Minerals, LLC","U.S. Minerals","$8,000","$0","$8,000","2004","20040810","environment-related offenses","environmental violation","","Air","state","agency action","Alabama Department of Environmental Management","civil","","","04-093-CAP   ","","","Alabama","","","","","","USA","Indiana","privately held","","mining and minerals","minerals","List of FY2004 ADEM Administrative Orders obtained via an open records request on October 5, 2020.",""
"U.S. Minerals, LLC","U.S. Minerals","$20,828","$0","$20,828","2007","20071004","environment-related offenses","environmental violation","","","state","agency action","Texas Commission on Environmental Quality","civil","","","","","","Texas","","","","","","USA","Indiana","privately held","","mining and minerals","minerals","https://www.tceq.texas.gov/assets/public/compliance/enforcement/enf_reports/AER/historical/Annual-Enforcement-Report-FY2008.pdf",""
"U.S. Minerals, Inc.","U.S. Minerals","$393,200","$0","$393,200","2021","20210823","environment-related offenses","environmental violation","","Clean Air Act","federal","agency action","U.S. Attorney-District of Montana","criminal","","","","","","Montana","","","","","","USA","Indiana","privately held","","mining and minerals","minerals","https://www.justice.gov/usao-mt/pr/us-minerals-inc-admits-clean-air-act-violation-exposing-employees-arsenic-anaconda-plant",""
"U.S. Minerals, Inc.","U.S. Minerals","$11,000","$0","$11,000","2021","20211215","environment-related offenses","environmental violation","","","state","agency action","Louisiana Department of Environmental Quality","civil","","","","","","Louisiana","Harvey","","","","","USA","Indiana","privately held","","mining and minerals","minerals","https://deq.louisiana.gov/assets/docs/General/Settlement_Agreements/2021/USMinerals0071.pdf",""
"U.S. MINERALS, LLC","U.S. Minerals","$115,000","$115,000","$0","2013","20130711","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Illinois","BALDWIN","11000 BALDWIN ROAD","62217","327910","327910: Abrasive Product Manufacturing","USA","Indiana","privately held","","mining and minerals","minerals","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php","Note: This penalty is a duplicate of an amount shown in another record (either because it applies to a multi-location settlement or because Violation Tracker contains an agency record and a settlement announcement for the same case)."
