"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"US SILICA CO MAURICETOWN PLANT","U.S. Silica","$5,000","$0","$5,000","2011","20110322","environment-related offenses","environmental violation","","air quality violation","state","agency action","New Jersey Department of Environmental Protection","civil","","","75027-NEA110001","","","New Jersey","","","","","","USA","Maryland","publicly traded","SLCA","mining and minerals","minerals","Contained in data received from the agency on October 26, 2020 in response to an open records request. The data was a spreadsheet version of information contained in the records in the DEP DataMiner at https://www13.state.nj.us/DataMiner",""
"U S SILICA - MILLVILLE PLANT","U.S. Silica","$13,200","$0","$13,200","2008","20080925","environment-related offenses","environmental violation","","air quality violation","state","agency action","New Jersey Department of Environmental Protection","civil","","","75511-NEA080001","","","New Jersey","","","","","","USA","Maryland","publicly traded","SLCA","mining and minerals","minerals","Contained in data received from the agency on October 26, 2020 in response to an open records request. The data was a spreadsheet version of information contained in the records in the DEP DataMiner at https://www13.state.nj.us/DataMiner",""
"U.S. Silica Company","U.S. Silica","$7,200","$0","$7,200","2020","20200512","environment-related offenses","environmental violation","","","state","agency action","Texas Commission on Environmental Quality","civil","","","","","","Texas","","","","","","USA","Maryland","publicly traded","SLCA","mining and minerals","minerals","https://www.tceq.texas.gov/compliance/enforcement/enforcement-reports/annenfreport.html",""
"U.S. Silica Company","U.S. Silica","$9,001","$0","$9,001","2014","20140214","environment-related offenses","environmental violation","","","state","agency action","Texas Commission on Environmental Quality","civil","","","","","","Texas","","","","","","USA","Maryland","publicly traded","SLCA","mining and minerals","minerals","https://www.tceq.texas.gov/assets/public/compliance/enforcement/enf_reports/AER/historical/Annual-Enforcement-Report-FY2014.pdf",""
"U.S. Silica Company","U.S. Silica","$6,120","$0","$6,120","2005","20051124","environment-related offenses","environmental violation","","","state","agency action","Texas Commission on Environmental Quality","civil","","","","","","Texas","","","","","","USA","Maryland","publicly traded","SLCA","mining and minerals","minerals","https://www.tceq.texas.gov/assets/public/compliance/enforcement/enf_reports/AER/historical/Annual-Enforcement-Report-FY2006.pdf",""
"U.S. SILICA COMPANY","U.S. Silica","$15,000","$0","$15,000","2003","20030407","environment-related offenses","environmental violation","","air pollution violation","state","agency action","West Virginia Department of Environmental Protection","civil","","","","","","West Virginia","","","","","","USA","Maryland","publicly traded","SLCA","mining and minerals","minerals","https://documents.dep.wv.gov/AppXtender",""
"U. S. Silica Company","U.S. Silica","$5,080","$0","$5,080","2009","20090915","safety-related offenses","workplace safety or health violation","mining violation","","federal","agency action","Mine Safety and Health Administration","civil","","","","","","Illinois","Ottawa","","","","","USA","Maryland","publicly traded","SLCA","mining and minerals","minerals","Extracted from a download of MSHA's Violations Data Set downloaded on 3/02/2022, available at https://www.msha.gov/mine-data-retrieval-system",""
"U S Silica Company","U.S. Silica","$7,827","$0","$7,827","2014","20140904","safety-related offenses","workplace safety or health violation","mining violation","","federal","agency action","Mine Safety and Health Administration","civil","","","","","","South Carolina","Cayce","","","","","USA","Maryland","publicly traded","SLCA","mining and minerals","minerals","Extracted from a download of MSHA's Violations Data Set downloaded on 3/02/2022, available at https://www.msha.gov/mine-data-retrieval-system",""
"US Silica Company","U.S. Silica","$12,248","$0","$12,248","2014","20140408","safety-related offenses","workplace safety or health violation","mining violation","","federal","agency action","Mine Safety and Health Administration","civil","","","","","","West Virginia","Berkeley Springs","","","","","USA","Maryland","publicly traded","SLCA","mining and minerals","minerals","Extracted from a download of MSHA's Violations Data Set downloaded on 3/02/2022, available at https://www.msha.gov/mine-data-retrieval-system",""
"U S Silica Company","U.S. Silica","$5,745","$0","$5,745","2014","20140904","safety-related offenses","workplace safety or health violation","mining violation","","federal","agency action","Mine Safety and Health Administration","civil","","","","","","South Carolina","Cayce","","","","","USA","Maryland","publicly traded","SLCA","mining and minerals","minerals","Extracted from a download of MSHA's Violations Data Set downloaded on 3/02/2022, available at https://www.msha.gov/mine-data-retrieval-system",""
