"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"Utz Quality Foods","Utz Quality Foods","$2,500,000","$0","$2,500,000","2017","20170913","employment-related offenses","wage and hour violation","","overtime violation","federal","private litigation","","civil","","Middle District of Pennsylvania","15-cv-2196","Swiger, et Al. v. Utz Quality Foods, Inc.","settlement","","","","","","","USA","Pennsylvania","privately held","","food products","food products","",""
"Inventure Foods","Utz Quality Foods","$79,957","$0","$79,957","2018","20180724","environment-related offenses","environmental violation","","","federal","agency action","Environmental Protection Agency referral to the Justice Department","civil","","","","","","Arizona","Goodyear","","","","","USA","Pennsylvania","privately held","","food products","food products","https://www.epa.gov/newsreleases/us-epa-settles-two-goodyear-ariz-based-facilities-over-clean-water-act-violations",""
"Inventure Foods, Inc.","Utz Quality Foods","$14,500","$0","$14,500","2017","20170929","employment-related offenses","labor relations violation","","","federal","agency action","National Labor Relations Board","civil","","","25-CA-180283","","","Indiana","Bluffton","","","","","USA","Pennsylvania","privately held","","food products","food products","Extracted from a spreadsheet obtained from the NLRB through a Freedom of Information Act request fulfilled on 5/28/2020.",""
"INVENTURE FOODS INC","Utz Quality Foods","$9,000","$0","$9,000","2017","20170714","environment-related offenses","environmental violation","","air pollution violation","state","agency action","Indiana Department of Environmental Management","civil","","","","","","Indiana","Bluffton","","","","","USA","Pennsylvania","privately held","","food products","food products","http://www.in.gov/idem/oe/cause/AO/24218-A.htm",""
"FRESH FROZEN FOODS, LLC","Utz Quality Foods","$19,350","$0","$19,350","2012","20121129","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Georgia","THOMASVILLE","600 CASSIDY RD","31792","311411","311411: Frozen Fruit, Juice, and Vegetable Manufacturing","USA","Pennsylvania","privately held","","food products","food products","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"FRESH FROZEN FOODS, LLC","Utz Quality Foods","$5,020","$0","$5,020","2015","20150608","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Georgia","THOMASVILLE","600 CASSIDY RD","31792","311411","311411: Frozen Fruit, Juice, and Vegetable Manufacturing","USA","Pennsylvania","privately held","","food products","food products","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"UTZ QUALITY FOODS, INC.","Utz Quality Foods","$7,000","$0","$7,000","2015","20150820","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Pennsylvania","HANOVER","1437 BROADWAY","17331","311919","311919: Other Snack Food Manufacturing","USA","Pennsylvania","privately held","","food products","food products","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"INVENTURE FOODS, INC.","Utz Quality Foods","$12,500","$0","$12,500","2017","20170720","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Arizona","GOODYEAR","3500 S LA COMETA","85338","311919","311919: Other Snack Food Manufacturing","USA","Pennsylvania","privately held","","food products","food products","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"UTZ QUALITY FOODS, LLC","Utz Quality Foods","$29,875","$0","$29,875","2017","20170807","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Pennsylvania","HANOVER","900 HIGH STREET","17331","311919","311919: Other Snack Food Manufacturing","USA","Pennsylvania","privately held","","food products","food products","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"UTZ QUALITY FOODS LLC","Utz Quality Foods","$9,299","$0","$9,299","2019","20190604","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Pennsylvania","HANOVER","240 KINDIG LANE","17331","311919","311919: Other Snack Food Manufacturing","USA","Pennsylvania","privately held","","food products","food products","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"Inventure Foods","Utz Quality Foods","$79,957","$79,957","$0","2018","20180817","environment-related offenses","environmental violation","","","federal","agency action","Environmental Protection Agency","civil","","","09-2018-1515","","","Arizona","GOODYEAR","3500 S LA COMETA","85338-3606","","","USA","Pennsylvania","privately held","","food products","food products","Extracted from a download of the EPA's Enforcement and Compliance History Online (ECHO) ICIS FE&C file downloaded on 3/02/2022, available at http://echo.epa.gov/tools/data-downloads#downloads","Note: This penalty is a duplicate of an amount shown in another record (either because it applies to a multi-location settlement or because Violation Tracker contains an agency record and a settlement announcement for the same case)."
