"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"Valmont Industries","Valmont Industries","$89,308","$0","$89,308","2002","20020530","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","16-CA-18814-001","","","Texas","Brenham","","77833","335311","335311: Power, Distribution, and Specialty Transformer Manufacturing","USA","Nebraska","publicly traded","VMI","metals","metal products","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"VALMONT INDUSTRIES INC","Valmont Industries","$12,540","$0","$12,540","2009","20091030","safety-related offenses","motor vehicle safety violation","","","federal","agency action","Federal Motor Carrier Safety Administration","civil","","","","","","Nebraska","VALLEY","","","","","USA","Nebraska","publicly traded","VMI","metals","metal products","https://www.fmcsa.dot.gov/regulations/enforcement/national-listing-enforcement-cases-subject-name-closed-fiscal-year-2010-pdf",""
"VALMONT INDUSTRIES, INC.","Valmont Industries","$8,500","$0","$8,500","2009","20091118","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Nebraska","MCCOOK","75 SOUTH HWY. 83","69001","331222","331222: Steel Wire Drawing","USA","Nebraska","publicly traded","VMI","metals","metal products","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"VALMONT COATINGS - WEST POINT GALVANIZING","Valmont Industries","$9,812","$0","$9,812","2009","20091016","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Nebraska","WEST POINT","1700 SO. BEEMER ST.","68788","332812","332812: Metal Coating, Engraving (except Jewelry and Silverware), and Allied Services to Manufacturers","USA","Nebraska","publicly traded","VMI","metals","metal products","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"VALMONT INDUSTRIES, INC.","Valmont Industries","$14,790","$0","$14,790","2009","20090127","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Nebraska","VALLEY","7002 N. 288TH STREET","68064","332999","332999: All Other Miscellaneous Fabricated Metal Product Manufacturing","USA","Nebraska","publicly traded","VMI","metals","metal products","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"VALMONT NEWMARK","Valmont Industries","$5,000","$0","$5,000","2008","20081015","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Texas","BELLVILLE","11308 HIWAY 36","77418","327332","327332: Concrete Pipe Manufacturing","USA","Nebraska","publicly traded","VMI","metals","metal products","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"VALMONT GEORGE INDUSTRIES INC","Valmont Industries","$5,500","$0","$5,500","2008","20080115","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","California","LOS ANGELES","4116 WHITESIDE ST","90063","332813","332813: Electroplating, Plating, Polishing, Anodizing, and Coloring","USA","Nebraska","publicly traded","VMI","metals","metal products","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"VALMONT COATINGS-OKLAHOMA GALVANIZING","Valmont Industries","$77,000","$0","$77,000","2004","20040831","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Oklahoma","CLAREMORE","25055 ALLIANCE DR.","74019","332812","332812: Metal Coating, Engraving (except Jewelry and Silverware), and Allied Services to Manufacturers","USA","Nebraska","publicly traded","VMI","metals","metal products","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"VALMONT NEWMARK","Valmont Industries","$10,519","$0","$10,519","2007","20070531","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Georgia","CLAXTON","674 INDUSTRIAL PARK DRIVE","30417","327390","327390: Other Concrete Product Manufacturing","USA","Nebraska","publicly traded","VMI","metals","metal products","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"VALMONT INDUSTRIES, INC.","Valmont Industries","$5,119","$0","$5,119","2002","20020502","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Texas","BRENHAM","US 290 LOOP SOUTH","77833","000000","","USA","Nebraska","publicly traded","VMI","metals","metal products","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"VALMONT","Valmont Industries","$5,640","$0","$5,640","2000","20001006","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Minnesota","FARMINGTON","20805 EATON AVENUE","55024","000000","","USA","Nebraska","publicly traded","VMI","metals","metal products","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"VALMONT COATINGS DBA CAL WEST GALVANIZING","Valmont Industries","$5,625","$0","$5,625","2001","20010305","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","California","LONG BEACH","2226 DOMINGUEZ ST","90810","000000","","USA","Nebraska","publicly traded","VMI","metals","metal products","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"VALMONT NEWMARK, INC.","Valmont Industries","$12,547","$0","$12,547","2010","20100528","environment-related offenses","environmental violation","","hazardous waste violation","state","agency action","Florida Department of Environmental Protection","civil","","","101699","","","Florida","","","","","","USA","Nebraska","publicly traded","VMI","metals","metal products","Contained in a spreadsheet received from the agency on October 2, 2020 in response to an open records request. The spreadsheet included data from  the agency's Oculus database, which can be searched at https://prodenv.dep.state.fl.us/DepNexus/public/searchPortal","Case number is the designation given by the DEP's Office of General Counsel."
"Valmont Industries","Valmont Industries","$15,000","$0","$15,000","2006","20061006","environment-related offenses","environmental violation","","","state","agency action","Nebraska Department of Environmental Quality","civil","","","","","","Nebraska","","","","","","USA","Nebraska","publicly traded","VMI","metals","metal products","http://deq.ne.gov/Press.nsf/Judicial_2006.xsp",""
"AMERICAN GALVANIZING CO INC","Valmont Industries","$12,300","$0","$12,300","2020","20200318","environment-related offenses","environmental violation","","air quality violation","state","agency action","New Jersey Department of Environmental Protection","civil","","","70175-NEA190001","","","New Jersey","","","","","","USA","Nebraska","publicly traded","VMI","metals","metal products","Contained in data received from the agency on October 26, 2020 in response to an open records request. The data was a spreadsheet version of information contained in the records in the DEP DataMiner at https://www13.state.nj.us/DataMiner",""
"AMERICAN GALVANIZING CO","Valmont Industries","$6,750","$0","$6,750","2018","20180118","environment-related offenses","environmental violation","","hazardous waste violation","state","agency action","New Jersey Department of Environmental Protection","civil","","","NJD092870963-NEA170001","","","New Jersey","","","","","","USA","Nebraska","publicly traded","VMI","metals","metal products","Contained in data received from the agency on October 26, 2020 in response to an open records request. The data was a spreadsheet version of information contained in the records in the DEP DataMiner at https://www13.state.nj.us/DataMiner",""
"Valmont Coatings","Valmont Industries","$9,000","$0","$9,000","2000","20000217","environment-related offenses","environmental violation","","air pollution","local","agency action","South Coast (CA) Air Quality Management District ","civil","","","","","","California","","","","","","USA","Nebraska","publicly traded","VMI","metals","metal products","http://www3.aqmd.gov/hb/2000/May/000525a.html",""
"George Industries","Valmont Industries","$25,000","$0","$25,000","2012","20121220","environment-related offenses","environmental violation","","air pollution","local","agency action","South Coast (CA) Air Quality Management District ","civil","","","","","","California","","","","","","USA","Nebraska","publicly traded","VMI","metals","metal products","http://www.aqmd.gov/docs/default-source/Agendas/Governing-Board/2013/2013-feb1-014.pdf?sfvrsn=0",""
"VALMONT INDUSTRIES INC.","Valmont Industries","$10,500","$0","$10,500","2011","20111207","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Nebraska","VALLEY","28800 IDA STREET","68064","332312","332312: Fabricated Structural Metal Manufacturing","USA","Nebraska","publicly traded","VMI","metals","metal products","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"GEORGE INDUSTRIES, INC.","Valmont Industries","$6,720","$0","$6,720","2012","20120329","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","New York","ENDICOTT","1 S. PAGE AVENUE","13760","332812","332812: Metal Coating, Engraving (except Jewelry and Silverware), and Allied Services to Manufacturers","USA","Nebraska","publicly traded","VMI","metals","metal products","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"GEORGE INDUSTRIES, INC.","Valmont Industries","$7,980","$0","$7,980","2012","20120329","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","New York","ENDICOTT","1 S. PAGE AVENUE","13760","332116","332116: Metal Stamping","USA","Nebraska","publicly traded","VMI","metals","metal products","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"VALMONT INDUSTRIES INC.","Valmont Industries","$5,500","$0","$5,500","2012","20121031","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Nebraska","MCCOOK","75 S. HWY 83","69001","332322","332322: Sheet Metal Work Manufacturing","USA","Nebraska","publicly traded","VMI","metals","metal products","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"VALMONT INDUSTRIES, INC.","Valmont Industries","$7,370","$0","$7,370","2013","20130624","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Nebraska","VALLEY","28800 IDA STREET","68064","332312","332312: Fabricated Structural Metal Manufacturing","USA","Nebraska","publicly traded","VMI","metals","metal products","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"VALMONT INDUSTRIES, INC.","Valmont Industries","$17,816","$0","$17,816","2014","20140612","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Nebraska","VALLEY","28800 IDA STREET","68064","332312","332312: Fabricated Structural Metal Manufacturing","USA","Nebraska","publicly traded","VMI","metals","metal products","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"VALMONT-NEWMARK INTERNATIONAL, INCORPORATED","Valmont Industries","$8,400","$0","$8,400","2014","20140724","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Pennsylvania","WEST HAZLETON","225 KIWANIS BLVD","18202","332312","332312: Fabricated Structural Metal Manufacturing","USA","Nebraska","publicly traded","VMI","metals","metal products","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"VALMONT INDUSTRIES","Valmont Industries","$5,400","$0","$5,400","2015","20150121","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Texas","SAN ANTONIO","2105 MANNIX DR.","78217","423820","423820: Farm and Garden Machinery and Equipment Merchant Wholesalers","USA","Nebraska","publicly traded","VMI","metals","metal products","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"VALMONT-BIRMINGHAM GALVANIZING INC.","Valmont Industries","$5,079","$0","$5,079","2017","20170328","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Alabama","STEELE","475 DIETRICH ROAD","35987","332812","332812: Metal Coating, Engraving (except Jewelry and Silverware), and Allied Services to Manufacturers","USA","Nebraska","publicly traded","VMI","metals","metal products","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"VALMONT INDUSTRIES, INC.","Valmont Industries","$56,000","$0","$56,000","2017","20170426","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Oklahoma","TULSA","801 N. XANTHUS AVE.","74110","332312","332312: Fabricated Structural Metal Manufacturing","USA","Nebraska","publicly traded","VMI","metals","metal products","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
