"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"Veolia Environmental Services North America","Veolia Environnement","$41,785","$0","$41,785","2008","20080929","employment-related offenses","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1524944","","","Florida","Saint Petersburg","","33716","221119","221119: Other Electric Power Generation","France","","publicly traded","","waste management and environmental services","environmental services","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"Veolia ES Technical Solutions LLC","Veolia Environnement","$19,990","$0","$19,990","2010","20100617","safety-related offenses","motor vehicle safety violation","","","federal","agency action","Federal Motor Carrier Safety Administration","civil","","","","","","New Jersey","FLANDERS","","","","","France","","publicly traded","","waste management and environmental services","environmental services","https://www.fmcsa.dot.gov/regulations/enforcement/national-listing-enforcement-cases-subject-name-closed-fiscal-year-2010-pdf",""
"Veolia ES Technical Solutions, L.L.C.","Veolia Environnement","$7,500","$0","$7,500","2013","20130510","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","France","","publicly traded","","waste management and environmental services","environmental services","https://www.fra.dot.gov/eLib/details/L04899#p1_z5_gD_lEA",""
"Veolia ES Technical Solutions, L.L.C.","Veolia Environnement","$7,500","$0","$7,500","2010","20100407","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","France","","publicly traded","","waste management and environmental services","environmental services","https://www.fra.dot.gov/eLib/details/L01493#p1_z5_gD_lEA",""
"Veolia ES Technical Solutions, L.L.C.","Veolia Environnement","$6,000","$0","$6,000","2013","20130510","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","France","","publicly traded","","waste management and environmental services","environmental services","https://www.fra.dot.gov/eLib/details/L04899#p1_z5_gD_lEA",""
"Veolia ES Technical Solutions, LLC","Veolia Environnement","$95,000","$0","$95,000","2013","20131029","environment-related offenses","environmental violation","","The U.S. Environmental Protection Agency has required Veolia ES Technical Solutions, LLC to pay a $95,000 civil penalty for failure to properly manage PCBs (polychlorinated biphenyls) at its Jefferson Avenue facility in Phoenix, Ariz.","federal","agency action","Environmental Protection Agency","civil","","","","","","Arizona","Phoenix","","","","","France","","publicly traded","","waste management and environmental services","environmental services","https://archive.epa.gov/epapages/newsroom_archive/newsreleases/6e1cf7148031598485257c1300595fc6.html",""
"Veolia North America Milwaukee, Inc","Veolia Environnement","$106,251","$0","$106,251","2008","20081221","employment-related offenses","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1526573","","","Texas","La Porte","","77571","562211","562211: Hazardous Waste Treatment and Disposal","France","","publicly traded","","waste management and environmental services","environmental services","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"VEOLIA WATER, LLC.","Veolia Environnement","$6,500","$0","$6,500","2007","20070501","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","25-CA-30024-001","","","Indiana","INDIANAPOLIS","","46202","454390","454390: Other Direct Selling Establishments","France","","publicly traded","","waste management and environmental services","environmental services","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"VEOLIA WATER INDIANAPOLIS LLC","Veolia Environnement","$19,000","$0","$19,000","2011","20110525","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","25-CA-31162-001","","","Indiana","Indianapolis","","46202","221310","221310: Water Supply and Irrigation Systems","France","","publicly traded","","waste management and environmental services","environmental services","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"VEOLIA WATER MILWAUKEE, LLC","Veolia Environnement","$6,375","$0","$6,375","2010","20100430","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Wisconsin","MILWAUKEE","700 E. JONES ST.","53207","221320","221320: Sewage Treatment Facilities","France","","publicly traded","","waste management and environmental services","environmental services","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"VEOLIA ES TECHNICAL SOLUTIONS,L.L.C.","Veolia Environnement","$40,000","$0","$40,000","2009","20090504","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Ohio","MIAMISBURG","4301 INFIRMARY ROAD","45342","562211","562211: Hazardous Waste Treatment and Disposal","France","","publicly traded","","waste management and environmental services","environmental services","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"VEOLIA ES TECHNICAL SOLUTIONS, L.L.C.","Veolia Environnement","$35,000","$0","$35,000","2009","20090504","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Ohio","MIAMISBURG","4301 INFIRMARY ROAD","45342","562211","562211: Hazardous Waste Treatment and Disposal","France","","publicly traded","","waste management and environmental services","environmental services","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
