"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"National Cement Company of CA, Inc.","Vicat","$6,000","$0","$6,000","2002","20020227","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","31-CA-24012-001","","","California","Lebec","","93243","238110","238110: Poured Concrete Foundation and Structure Contractors","France","","publicly traded","","building materials","cement","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"NATIONAL CEMENT CO","Vicat","$6,250","$0","$6,250","2003","20030113","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","California","LEBEC","HWY 138 EAST OF I-5","93243","212312","212312: Crushed and Broken Limestone Mining and Quarrying","France","","publicly traded","","building materials","cement","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"National Cement Company of Alabama","Vicat","$148,000","$0","$148,000","2020","20200805","environment-related offenses","environmental violation","","air quality violation","state","agency action","Alabama Department of Environmental Management","civil","","","20-088-CAP","","","Alabama","","","","","","France","","publicly traded","","building materials","cement","http://adem.alabama.gov/compInfo/2020orders.pdf",""
"NATIONAL CEMENT COMPANY","Vicat","$15,000","$0","$15,000","2004","20040824","environment-related offenses","environmental violation","","air quality violation","state","agency action","South Carolina Department of Health and Environmental Control","civil","","","04-056-A","","","South Carolina","","","","","","France","","publicly traded","","building materials","cement","Contained in data received from the agency on October 22, 2020 in response to an open records request.",""
"NATIONAL CEMENT COMPANY OF CALIFORNIA","Vicat","$10,000","$0","$10,000","2013","20131017","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","California","LEBEC","5 MILES EAST OF I-5 OFF HWY 138","93243","212312","212312: Crushed and Broken Limestone Mining and Quarrying","France","","publicly traded","","building materials","cement","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"NATIONAL CEMENT COMPANY OF CALIFORNIA","Vicat","$12,085","$0","$12,085","2016","20160315","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","California","LEBEC","5 MILES E OF I-5 OFF HIGHWAY 138","93243","212312","212312: Crushed and Broken Limestone Mining and Quarrying","France","","publicly traded","","building materials","cement","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"NATIONAL CEMENT COMPANY OF ALABAMA, INC.","Vicat","$18,724","$0","$18,724","2020","20200909","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Georgia","LAWRENCEVILLE","550 SEABOARD INDUSTRAL DR.","30046","327310","327310: Cement Manufacturing","France","","publicly traded","","building materials","cement","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"NATIONAL CEMENT COMPANY OF ALABAMA, INC.","Vicat","$81,290","$0","$81,290","2004","20040930","environment-related offenses","environmental violation","","","federal","agency action","Environmental Protection Agency","civil","","","04-2004-2623","","","","","","","","","France","","publicly traded","","building materials","cement","Extracted from a download of the EPA's Enforcement and Compliance History Online (ECHO) ICIS FE&C file downloaded on 3/02/2022, available at http://echo.epa.gov/tools/data-downloads#downloads",""
"NATIONAL CEMENT","Vicat","$838,396","$0","$838,396","2003","20030721","environment-related offenses","environmental violation","","","federal","agency action","Environmental Protection Agency","civil","","","09-2001-0078","","","California","LEBEC","HWY 138","93243","327310","327310: Cement Manufacturing","France","","publicly traded","","building materials","cement","Extracted from a download of the EPA's Enforcement and Compliance History Online (ECHO) ICIS FE&C file downloaded on 3/02/2022, available at http://echo.epa.gov/tools/data-downloads#downloads",""
"National Cement Company Of California Inc","Vicat","$40,560","$0","$40,560","2007","20070523","safety-related offenses","workplace safety or health violation","mining violation","","federal","agency action","Mine Safety and Health Administration","civil","","","","","","California","lebec","","","","","France","","publicly traded","","building materials","cement","Extracted from a download of MSHA's Violations Data Set downloaded on 3/02/2022, available at https://www.msha.gov/mine-data-retrieval-system",""
"National Cement Company Of California Inc","Vicat","$30,000","$0","$30,000","2005","20050525","safety-related offenses","workplace safety or health violation","mining violation","","federal","agency action","Mine Safety and Health Administration","civil","","","","","","California","lebec","","","","","France","","publicly traded","","building materials","cement","Extracted from a download of MSHA's Violations Data Set downloaded on 3/02/2022, available at https://www.msha.gov/mine-data-retrieval-system",""
"National Cement Company Of California Inc","Vicat","$6,996","$0","$6,996","2010","20100630","safety-related offenses","workplace safety or health violation","mining violation","","federal","agency action","Mine Safety and Health Administration","civil","","","","","","California","lebec","","","","","France","","publicly traded","","building materials","cement","Extracted from a download of MSHA's Violations Data Set downloaded on 3/02/2022, available at https://www.msha.gov/mine-data-retrieval-system",""
"National Cement Co., of AL., Inc.","Vicat","$6,996","$0","$6,996","2010","20100831","safety-related offenses","workplace safety or health violation","mining violation","","federal","agency action","Mine Safety and Health Administration","civil","","","","","","Alabama","Ragland","","","","","France","","publicly traded","","building materials","cement","Extracted from a download of MSHA's Violations Data Set downloaded on 3/02/2022, available at https://www.msha.gov/mine-data-retrieval-system",""
