"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"Hubbard Construction","Vinci","$12,206","$0","$12,206","2012","20120630","employment-related offenses","employment discrimination","","","federal","agency action","Office of Federal Contract Compliance Programs","civil","","","","","","","","","","","","France","","publicly traded","","construction and engineering","construction","https://www.dol.gov/ofccp/foia/files/Hubbard_Construction_Redacted.pdf",""
"Nicholson Constrution  Company","Vinci","$50,176","$0","$50,176","2012","20120831","employment-related offenses","wage and hour violation","Davis-Bacon Act and related","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1660739","","","Pennsylvania","Cuddy","","15031","23799","23799: Other Heavy and Civil Engineering Construction","France","","publicly traded","","construction and engineering","construction","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"HUBBARD CONSTRUCTION COMPANY","Vinci","$5,100","$0","$5,100","2001","20010214","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Florida","JACKSONVILLE","NE CORNER SOUTHSIDE BLVD AND BAYMEADOWS RD.","32256","000000","","France","","publicly traded","","construction and engineering","construction","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"HUBBARD CONSTRUCTION COMPANY","Vinci","$16,164","$0","$16,164","2018","20180828","environment-related offenses","environmental violation","","stormwater runoff violation","state","agency action","Florida Department of Environmental Protection","civil","","","181069","","","Florida","","","","","","France","","publicly traded","","construction and engineering","construction","Contained in a spreadsheet received from the agency on October 2, 2020 in response to an open records request. The spreadsheet included data from  the agency's Oculus database, which can be searched at https://prodenv.dep.state.fl.us/DepNexus/public/searchPortal","Case number is the designation given by the DEP's Office of General Counsel."
"HUBBARD CONSTRUCTION COMPANY","Vinci","$8,500","$0","$8,500","2016","20160821","environment-related offenses","environmental violation","","solid waste violation","state","agency action","Florida Department of Environmental Protection","civil","","","161251","","","Florida","","","","","","France","","publicly traded","","construction and engineering","construction","Contained in a spreadsheet received from the agency on October 2, 2020 in response to an open records request. The spreadsheet included data from  the agency's Oculus database, which can be searched at https://prodenv.dep.state.fl.us/DepNexus/public/searchPortal","Case number is the designation given by the DEP's Office of General Counsel."
"HUBBARD CONSTRUCTION COMPANY","Vinci","$15,599","$0","$15,599","2005","20050629","environment-related offenses","environmental violation","","stormwater runoff violation","state","agency action","Florida Department of Environmental Protection","civil","","","50797","","","Florida","","","","","","France","","publicly traded","","construction and engineering","construction","Contained in a spreadsheet received from the agency on October 2, 2020 in response to an open records request. The spreadsheet included data from  the agency's Oculus database, which can be searched at https://prodenv.dep.state.fl.us/DepNexus/public/searchPortal","Case number is the designation given by the DEP's Office of General Counsel."
"NICHOLSON CONSTRUCTION","Vinci","$6,600","$0","$6,600","2011","20110114","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","New York","NEW YORK","WTC SITE PATH UNDER FOUNDATION","10007","238910","238910: Site Preparation Contractors","France","","publicly traded","","construction and engineering","construction","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"HUBBARD CONSTRUCTION","Vinci","$7,200","$0","$7,200","2011","20110524","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Ohio","MIDDLETOWN","2702 GRAND AVE","45044","238160","238160: Roofing Contractors","France","","publicly traded","","construction and engineering","construction","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"NICHOLSON CONSTRUCTION COMPANY","Vinci","$5,000","$0","$5,000","2011","20110507","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","New York","NEW YORK","WORLD TRADE CENTER","10007","236210","236210: Industrial Building Construction","France","","publicly traded","","construction and engineering","construction","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"HUBBARD CONSTRUCTION","Vinci","$25,000","$0","$25,000","2011","20110912","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Florida","CLEARWATER","US19/2544 OAK TRAIL","33764","237310","237310: Highway, Street, and Bridge Construction","France","","publicly traded","","construction and engineering","construction","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
