"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"Vopak North America","Vopak","$11,500","$0","$11,500","2013","20130401","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","Netherlands","","publicly traded","","oil and gas","oil & gas","https://www.fra.dot.gov/eLib/details/L04899#p1_z5_gD_lEA",""
"Vopak North America","Vopak","$10,000","$0","$10,000","2012","20121120","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","Netherlands","","publicly traded","","oil and gas","oil & gas","https://www.fra.dot.gov/eLib/details/L04899#p1_z5_gD_lEA",""
"Vopak North America Inc.","Vopak","$2,500,000","$0","$2,500,000","2017","20170517","environment-related offenses","environmental violation","","EPA, the Justice Department and the State of Texas alleged that Vopak failed to comply with Clean Air Act requirements to properly manage equipment, which resulted in excess emissions of acetone, benzene, styrene and VOCs at an on-site wastewater treatment system. The federal government and Texas also alleged that Vopak failed to operate flares and chemical storage tanks in accordance with good air pollution practices, as required by state and federal law.","federal","agency action","Environmental Protection Agency referral to the Justice Department","civil","","","","","","Texas","Deer Park","","","","","Netherlands","","publicly traded","","oil and gas","oil & gas","https://www.epa.gov/enforcement/reference-news-release-under-agreement-us-and-state-texas-vopak-reduce-hazardous-air",""
"VOPAK TERMINAL DEER PARK","Vopak","$12,000","$0","$12,000","2013","20130213","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","Netherlands","","publicly traded","","oil and gas","oil & gas","https://www.fra.dot.gov/eLib/details/L04899#p1_z5_gD_lEA",""
"VOPAK TERMINAL DEER PARK","Vopak","$6,000","$0","$6,000","2012","20120203","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","Netherlands","","publicly traded","","oil and gas","oil & gas","https://www.fra.dot.gov/eLib/details/L04190#p1_z5_gD_lEA",""
"VOPAK TERMINAL DEER PARK, INCORPORATED","Vopak","$9,125","$0","$9,125","2009","20090129","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","Netherlands","","publicly traded","","oil and gas","oil & gas","https://www.fra.dot.gov/Elib/Document/282","Year is fiscal year."
"Vopak Terminal Galena Park, Inc.","Vopak","$12,000","$0","$12,000","2014","20140131","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","Netherlands","","publicly traded","","oil and gas","oil & gas","https://www.fra.dot.gov/eLib/details/L16190#p1_z5_gD_lEA",""
"Vopak USA","Vopak","$5,250","$0","$5,250","2008","20080515","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","Netherlands","","publicly traded","","oil and gas","oil & gas","Taken from the Federal Railroad Administration's FY2008 safety penalty report obtained through a Freedom of Information Act request. A copy is available upon request. ",""
"Vopak Industrial Services","Vopak","$5,000","$0","$5,000","2003","20030904","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","Netherlands","","publicly traded","","oil and gas","oil & gas","Taken from the Federal Railroad Administration's FY2003 safety penalty report obtained through a Freedom of Information Act request. A copy is available upon request. ",""
"Vopak Terminal Savannah","Vopak","$10,000","$0","$10,000","2015","20151130","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","Netherlands","","publicly traded","","oil and gas","oil & gas","https://railroads.dot.gov/elibrary/fiscal-year-2016-enforcement-report",""
