"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"Wal-Mart Stores","Walmart","$17,500,000","$0","$17,500,000","2009","20090630","employment-related offenses","employment discrimination","","Racial discrimination. ","federal","private litigation","","civil","","Eastern District of Arkansas","2:04-cv-00171","Nelson v. Wal-Mart Stores Inc, et al","settlement","","","","","","","USA","Arkansas","publicly traded","WMT","retailing","retail-discount stores","https://www.law360.com/articles/88411/wal-mart-drivers-settle-race-bias-suit-for-17-5m",""
"WAL MART STORES INC","Walmart","$7,500","$0","$7,500","2002","20020909","environment-related offenses","environmental violation","","","state","agency action","Pennsylvania Department of Environmental Protection","civil","","","","","","Pennsylvania","","","","","","USA","Arkansas","publicly traded","WMT","retailing","retail-discount stores","Contained in data received from the agency on February 25, 2021 in response to an open records request. The data was a spreadsheet version of information contained in individual case documents that can be retrieved at https://www.ahs.dep.pa.gov/eFACTSWeb/default.aspx",""
"Sam's East, Inc.","Walmart","$11,750","$0","$11,750","2011","20110303","employment-related offenses","Family and Medical Leave Act","","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1602331","","","Maine","Scarborough","","04074","452910","452910: Warehouse Clubs and Supercenters","USA","Arkansas","publicly traded","WMT","retailing","retail-discount stores","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"Wal-Mart Store East, L.P.","Walmart","$13,500","$0","$13,500","2012","20121124","employment-related offenses","Family and Medical Leave Act","","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1669984","","","Pennsylvania","Waynesboro","","17268","452112","452112: Discount Department Stores","USA","Arkansas","publicly traded","WMT","retailing","retail-discount stores","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"Wal-Mart Stores, Inc., #1253","Walmart","$15,120","$0","$15,120","2013","20130927","employment-related offenses","Family and Medical Leave Act","","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1689134","","","Texas","Austin","","78704","445110","445110: Supermarkets and Other Grocery (except Convenience) Stores","USA","Arkansas","publicly traded","WMT","retailing","retail-discount stores","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"Wal-Mart Stores, Inc. #987","Walmart","$5,500","$0","$5,500","2003","20031007","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","12-CA-22728-001","","","Florida","Ft. Myers","","33907","452111","452111: Department Stores (except Discount Department Stores)","USA","Arkansas","publicly traded","WMT","retailing","retail-discount stores","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"Wal-Mart Stores of Texas, L.L.C.","Walmart","$150,000","$0","$150,000","2015","20150219","employment-related offenses","employment discrimination","Americans with Disabilities Act","age and disability","federal","agency action","Equal Employment Opportunity Commission","civil","","","","","","Texas","","","","","","USA","Arkansas","publicly traded","WMT","retailing","retail-discount stores","https://www.eeoc.gov/eeoc/newsroom/release/2-19-15.cfm","Description field shows type of discrimination that EEOC had alleged."
"Wal-Mart Stores of Texas, LLC","Walmart","$27,500","$0","$27,500","2011","20110818","employment-related offenses","employment discrimination","","sexual harassment","federal","agency action","Equal Employment Opportunity Commission","civil","","","","","","Texas","","","","","","USA","Arkansas","publicly traded","WMT","retailing","retail-discount stores","https://www.eeoc.gov/eeoc/newsroom/release/8-18-11b.cfm","Description field shows type of discrimination that EEOC had alleged."
"Wal-Mart","Walmart","$190,000","$0","$190,000","2013","20130807","safety-related offenses","workplace safety or health violation","","corporate-wide settlement agreement","federal","agency action","Occupational Safety & Health Administration corporate-wide settlements","civil","","","","","","","","","","","","USA","Arkansas","publicly traded","WMT","retailing","retail-discount stores","https://www.osha.gov/pls/oshaweb/owadisp.show_document?p_table=CWSA&p_id=2215",""
"Wal-Mart","Walmart","$70,000","$0","$70,000","2012","20120601","employment-related offenses","employment discrimination","","religion","federal","agency action","Equal Employment Opportunity Commission","civil","","","","","","Washington","","","","","","USA","Arkansas","publicly traded","WMT","retailing","retail-discount stores","https://www.eeoc.gov/eeoc/newsroom/release/6-1-12b.cfm","Description field shows type of discrimination that EEOC had alleged."
"Wal-Mart","Walmart","$28,000","$0","$28,000","2003","20030805","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","20-CA-31044-001","","","California","Red Bluff","","96080","452910","452910: Warehouse Clubs and Supercenters","USA","Arkansas","publicly traded","WMT","retailing","retail-discount stores","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"Wal-Mart Incorporated","Walmart","$13,682","$0","$13,682","2011","20110203","employment-related offenses","Family and Medical Leave Act","","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1593273","","","Utah","Taylorsville","","84123","453998","453998: All Other Miscellaneous Store Retailers (except Tobacco Stores)","USA","Arkansas","publicly traded","WMT","retailing","retail-discount stores","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
