"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"The Walt Disney Co.","Walt Disney","$3,800,000","$0","$3,800,000","2017","20170317","employment-related offenses","wage and hour violation","Fair Labor Standards Act","The U.S. Department of Labor and two subsidiaries of The Walt Disney Co. reached an agreement to provide $3.8 million in back wages to ensure compliance with the Fair Labor Standards Act. Under the agreement, back wages were to be paid to 16,339 employees of the Disney Vacation Club Management Corp. and the Walt Disney Parks and Resorts U.S. Inc., both in Florida. The Wage and Hour Division found violations of minimum wage, overtime and recordkeeping provisions of FLSA.","federal","agency action","Labor Department Wage and Hour Division","civil","","","","","","Florida","","","","","","USA","California","publicly traded","DIS","entertainment","entertainment","https://www.dol.gov/newsroom/releases/whd/whd20170317",""
"Walt Disney Parks and Resorts U.S., Inc","Walt Disney","$445,204","$0","$445,204","2010","20100116","employment-related offenses","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1559245","","","Florida","Orlando","","32830","71311","71311: Amusement and Theme Parks","USA","California","publicly traded","DIS","entertainment","entertainment","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"Walt Disney Parks and Resorts U.S., Inc.","Walt Disney","$11,524","$0","$11,524","2016","20161109","employment-related offenses","Family and Medical Leave Act","","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1798607","","","Florida","Lake Buena Vista","P.O. Box 10000","32830","","","USA","California","publicly traded","DIS","entertainment","entertainment","July 23, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"Walt Disney World","Walt Disney","$7,845","$0","$7,845","2004","20040219","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","12-CA-23226-001","","","Florida","Lake Buena Vista","","32830","713110","713110: Amusement and Theme Parks","USA","California","publicly traded","DIS","entertainment","entertainment","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"Walt Disney World","Walt Disney","$7,570","$0","$7,570","2005","20050216","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","12-CA-24169-001","","","Florida","Lake Buena Vista","","32830","713110","713110: Amusement and Theme Parks","USA","California","publicly traded","DIS","entertainment","entertainment","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"Walt Disney World Co.","Walt Disney","$25,000","$0","$25,000","2003","20031023","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","12-CA-20377-001","","","Florida","Lake Buena Vist","","32830","713110","713110: Amusement and Theme Parks","USA","California","publicly traded","DIS","entertainment","entertainment","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"Walt Disney World Co.","Walt Disney","$23,314","$0","$23,314","2015","20151117","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","12-CA-129831","","","Florida","Lake Buena Vista","","","","","USA","California","publicly traded","DIS","entertainment","entertainment","Extracted from a spreadsheet obtained from the NLRB through a Freedom of Information Act request fulfilled on 5/16/2017.",""
"Walt Disney World Company","Walt Disney","$1,200,000","$0","$1,200,000","2001","20010720","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","12-CA-20406-001","","","Florida","Lake Buena Vista","","32830","713110","713110: Amusement and Theme Parks","USA","California","publicly traded","DIS","entertainment","entertainment","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"Walt Disney World Company","Walt Disney","$119,307","$0","$119,307","2008","20080425","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","12-CA-24766-001","","","Florida","Lake Buena Vista","","32830","713110","713110: Amusement and Theme Parks","USA","California","publicly traded","DIS","entertainment","entertainment","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"Walt Disney World Company","Walt Disney","$6,311","$0","$6,311","2008","20080627","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","12-CA-25701-001","","","Florida","Lake Buena Vista","","32830","713110","713110: Amusement and Theme Parks","USA","California","publicly traded","DIS","entertainment","entertainment","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
