"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"Sterigenics International, Inc.","Warburg Pincus","$9,600","$0","$9,600","2006","20060918","safety-related offenses","nuclear safety violation","","On September 18, 2006, a Notice of Violation and Proposed Imposition of Civil Penalty in the amount of $9,600 was issued for a Severity Level II violation involving the failure to properly control and transmit safeguards information (SGI). Specifically, safeguards information was transmitted to persons who had not satisfied the need-to-know and background screening requirements to receive SGI and in addition, incomplete and inaccurate information was provided to the NRC during the course of an inspections and investigation.","federal","agency action","Nuclear Regulatory Commission","civil","","","","","","North Carolina","","","","","","USA","New York","privately held","","private equity (including portfolio companies)","private equity (including portfolio companies)","https://www.nrc.gov/docs/ML0626/ML062610362.pdf",""
"CONSOLIDATED PRECISION PRODUCTS","Warburg Pincus","$14,400","$0","$14,400","2010","20100909","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","California","POMONA","4200 W VALLEY BLVD","91766","336411","336411: Aircraft Manufacturing","USA","New York","privately held","","private equity (including portfolio companies)","private equity (including portfolio companies)","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"STERIGENICS INTERNATIONAL, INC.","Warburg Pincus","$5,062","$0","$5,062","2005","20050824","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Illinois","WILLOWBROOK","7775 S. QUINCY STREET","60527","541990","541990: All Other Professional, Scientific, and Technical Services","USA","New York","privately held","","private equity (including portfolio companies)","private equity (including portfolio companies)","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"STERIGENICS","Warburg Pincus","$9,450","$0","$9,450","2004","20040903","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","California","ONTARIO","687 WANANAKER","91761","561439","561439: Other Business Service Centers (including Copy Shops)","USA","New York","privately held","","private equity (including portfolio companies)","private equity (including portfolio companies)","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"Sterigenics International LLC","Warburg Pincus","$450,000","$0","$450,000","2015","20150803","healthcare-related offenses","Controlled Substances Act violation","","Sterigenics International LLC and its parent Sterigenics U.S. LLC agreed to pay $450,000 to settle allegations by the U.S. Department of Justice that the companies failed to keep and maintain adequate records pertaining to controlled substances.","federal","agency action","U.S. Attorney-Northern District of California","civil","","","","","","","","","","","","USA","New York","privately held","","private equity (including portfolio companies)","private equity (including portfolio companies)","https://www.justice.gov/usao-ndca/pr/bay-area-company-agrees-pay-450000-settle-claims-failing-maintain-adequate-records",""
"Sterigenics U.S., LLC","Warburg Pincus","$300,000","$0","$300,000","2019","20190717","environment-related offenses","environmental violation","","air pollution violations","state","agency action","Illinois Attorney General","civil","","","","","","Illinois","","","","","","USA","New York","privately held","","private equity (including portfolio companies)","private equity (including portfolio companies)","http://www.illinoisattorneygeneral.gov/pressroom/2019_07/20190717.html",""
"STERIGENICS U.S.","Warburg Pincus","$50,000","$0","$50,000","2015","20150930","environment-related offenses","environmental violation","","water pollution violation","state","agency action","Illinois Environmental Protection Agency","civil","","","15-CH-651","","","Illinois","","","","","","USA","New York","privately held","","private equity (including portfolio companies)","private equity (including portfolio companies)","Contained in data received from the agency on October 15, 2020 in response to an open records request. The data is a spreadsheet version of the entries contained in the search engine at http://www.epa.state.il.us/cgi-bin/en/orders/orders.pl",""
"PREGIS INNOVATIVE PACKAGING INC","Warburg Pincus","$14,200","$0","$14,200","2007","20071001","environment-related offenses","environmental violation","","air pollution violation","state","agency action","Indiana Department of Environmental Management","civil","","","","","","Indiana","Plymouth","","","","","USA","New York","privately held","","private equity (including portfolio companies)","private equity (including portfolio companies)","http://www.in.gov/idem/oe/cause/AO/16579-A.htm",""
"PREGIS INNOVATIVE PACKAGING INC","Warburg Pincus","$5,000","$0","$5,000","2002","20020319","environment-related offenses","environmental violation","","air pollution violation","state","agency action","Indiana Department of Environmental Management","civil","","","","","","Indiana","Plymouth","","","","","USA","New York","privately held","","private equity (including portfolio companies)","private equity (including portfolio companies)","http://www.in.gov/idem/oe/cause/AO/10523-A.htm",""
"PREGIS INNOVATIVE PACKAGING INC","Warburg Pincus","$8,400","$0","$8,400","2002","20020727","environment-related offenses","environmental violation","","air pollution violation","state","agency action","Indiana Department of Environmental Management","civil","","","","","","Indiana","Plymouth","","","","","USA","New York","privately held","","private equity (including portfolio companies)","private equity (including portfolio companies)","http://www.in.gov/idem/oe/cause/AO/10817-A.htm",""
