"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"Alabama Southern Railroad","Watco Companies","$17,625","$0","$17,625","2010","20100930","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","USA","Kansas","privately held","","railroads","railroads & rail services","https://www.fra.dot.gov/eLib/details/L01493#p1_z5_gD_lEA",""
"Alabama Southern Railroad","Watco Companies","$7,500","$0","$7,500","2013","20130927","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","USA","Kansas","privately held","","railroads","railroads & rail services","https://www.fra.dot.gov/eLib/details/L04899#p1_z5_gD_lEA",""
"Alabama Southern Railroad","Watco Companies","$7,200","$0","$7,200","2009","20090911","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","USA","Kansas","privately held","","railroads","railroads & rail services","https://www.fra.dot.gov/Elib/Document/282","Year is fiscal year."
"Alabama Warrior Railway, LLC","Watco Companies","$5,600","$0","$5,600","2015","20150930","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","USA","Kansas","privately held","","railroads","railroads & rail services","https://www.fra.dot.gov/eLib/details/L17311#p1_z5_gD_lEA",""
"Austin Western Railroad","Watco Companies","$9,250","$0","$9,250","2013","20130927","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","USA","Kansas","privately held","","railroads","railroads & rail services","https://www.fra.dot.gov/eLib/details/L04899#p1_z5_gD_lEA",""
"AUSTIN WESTERN RAILROAD","Watco Companies","$6,900","$0","$6,900","2009","20090911","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","USA","Kansas","privately held","","railroads","railroads & rail services","https://www.fra.dot.gov/Elib/Document/282","Year is fiscal year."
"Austin Western Railroad","Watco Companies","$6,750","$0","$6,750","2013","20130927","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","USA","Kansas","privately held","","railroads","railroads & rail services","https://www.fra.dot.gov/eLib/details/L04899#p1_z5_gD_lEA",""
"Austin Western Railroad","Watco Companies","$6,750","$0","$6,750","2013","20130927","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","USA","Kansas","privately held","","railroads","railroads & rail services","https://www.fra.dot.gov/eLib/details/L04899#p1_z5_gD_lEA",""
"Austin Western Railroad","Watco Companies","$5,500","$0","$5,500","2014","20140929","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","USA","Kansas","privately held","","railroads","railroads & rail services","https://www.fra.dot.gov/eLib/details/L16190#p1_z5_gD_lEA",""
"Austin Western Railroad","Watco Companies","$5,500","$0","$5,500","2010","20100930","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","USA","Kansas","privately held","","railroads","railroads & rail services","https://www.fra.dot.gov/eLib/details/L01493#p1_z5_gD_lEA",""
