"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"WEATHERFORD INTERNATIONAL","Weatherford International","$14,000","$0","$14,000","2008","20080926","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Oklahoma","ALEX","LINDA 1-24 WELL, SEC 24-5N-6W","73002","213112","213112: Support Activities for Oil and Gas Operations","Ireland","","publicly traded","WFTLF","oilfield services and supplies","oilfield services","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"Weatherford International","Weatherford International","$140,000,000","$0","$140,000,000","2016","20160927","financial offenses","accounting fraud or deficiencies","","","federal","agency action","Securities and Exchange Commission","civil","","","","","","","","","","","","Ireland","","publicly traded","WFTLF","oilfield services and supplies","oilfield services","https://www.sec.gov/news/pressrelease/2016-194.html",""
"Weatherford, US, LP","Weatherford International","$315,366","$0","$315,366","2011","20111031","employment-related offenses","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1612145","","","North Dakota","Dickinson","","58601","213112","213112: Support Activities for Oil and Gas Operations","Ireland","","publicly traded","WFTLF","oilfield services and supplies","oilfield services","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"Weatherford, US, LP","Weatherford International","$114,540","$0","$114,540","2012","20120602","employment-related offenses","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1677737","","","Texas","Houston","","77056","213112","213112: Support Activities for Oil and Gas Operations","Ireland","","publicly traded","WFTLF","oilfield services and supplies","oilfield services","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"Weatherford International Limited","Weatherford International","$187,200,000","$0","$187,200,000","2013","20131126","competition-related offenses","Foreign Corrupt Practices Act","export control violation","Three subsidiaries of Weatherford International Limited, a Swiss oil services company, agreed to plead guilty to anti-bribery provisions of the Foreign Corrupt Practices Act and export controls violations under the International Emergency Economic Powers Act and the Trading With the Enemy Act. Weatherford International agreed to pay a $87.2 million penalty as part of a deferred prosecution agreement. It also paid a total of $100 million to the U.S. Attorney's Office for the Southern District of Texas, the Bureau of Industry and Security and the Office of Foreign Assets Control. Separately, the company paid $65.6 million to resolve a related SEC case; see the Violation Tracker entry at https://violationtracker.goodjobsfirst.org/violation-tracker/-weatherford-international-limited-0","federal","agency action","Justice Department Criminal Division","civil and criminal","plea & deferred prosecution agreement","","","","","","","","","","","Ireland","","publicly traded","WFTLF","oilfield services and supplies","oilfield services","https://www.justice.gov/opa/pr/three-subsidiaries-weatherford-international-limited-agree-plead-guilty-fcpa-and-export",""
"Weatherford International Limited","Weatherford International","$65,600,000","$0","$65,600,000","2013","20131126","competition-related offenses","Foreign Corrupt Practices Act","","","federal","agency action","Securities and Exchange Commission","civil","","","","","","","","","","","","Ireland","","publicly traded","WFTLF","oilfield services and supplies","oilfield services","https://www.sec.gov/News/PressRelease/Detail/PressRelease/1370540415694",""
"Weatherford International LTD et al.","Weatherford International","$50,000,000","$50,000,000","$0","2013","20131223","competition-related offenses","export control violation","","","federal","agency action","Bureau of Industry and Security","civil","","","","","","","","","","","","Ireland","","publicly traded","WFTLF","oilfield services and supplies","oilfield services","http://efoia.bis.doc.gov/index.php/component/docman/doc_download/921-e2353-r?Itemid=",""
"WEATHERFORD WELL SCREEN TECHNOLOGIES","Weatherford International","$9,000","$0","$9,000","2003","20030709","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Texas","HOUSTON","11939 ALDINE WESTFIELD ROAD","77093","332618","332618: Other Fabricated Wire Product Manufacturing","Ireland","","publicly traded","WFTLF","oilfield services and supplies","oilfield services","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"WEATHERFORD","Weatherford International","$23,000","$0","$23,000","2005","20050415","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","California","HUNTINGTON BEACH","PACIFIC COAST HWY/GOLDENWEST STREET","92648","213111","213111: Drilling Oil and Gas Wells","Ireland","","publicly traded","WFTLF","oilfield services and supplies","oilfield services","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"WEATHERFORD ALS","Weatherford International","$5,556","$0","$5,556","2000","20001114","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Oklahoma","WOODWARD","600 AIRPARK ROAD","73801","000000","","Ireland","","publicly traded","WFTLF","oilfield services and supplies","oilfield services","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
