"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"Belvan Corporation","West Texas Gas","$500,000","$0","$500,000","2012","20120323","environment-related offenses","environmental violation","","At a sentencing hearing held this morning in federal court in Lubbock, Texas, U.S. District Judge Sam R. Cummings ordered Belvan Corporation to pay a $500,000 fine following their guilty plea in December 2011 to a one-count felony information charging a violation of the Clean Air Act - failure to notify or report.","federal","agency action","Environmental Protection Agency","criminal","","","","","","Texas","","","","","","USA","Texas","privately held","","miscellaneous energy products and systems","energy distribution","http://cfpub.epa.gov/compliance/criminal_prosecution/index.cfm?action=3&prosecution_summary_id=2280&searchParams=M5%2C%3A%2FXT%2A%5CCYZ%40O%3B%20W_%2AYN5%5E%3EK99%2A%29W%3CU%3FV%23DH%5BZ8%257TRPH%3BJQH%229%3FD%3C%26Z%40CY%26%0AM7EFH%21%25%21%3A%23%3DV%40%3A%2A_%3AB8%2A%5DR%3BB%25%5E9%5B2D%22I2K%2565NEY7M%21-U%40%2B8%22J%29Y%23%24LNJ%40DX%24%0A%2F5YJ%3EP%27O_K04_G%5C%3E%290M8%2F%0A",""
"WEST TEXAS GAS, INC.","West Texas Gas","$10,000","$0","$10,000","2003","20030725","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Texas","ANDREWS","STATE HIGHWAY 176 WEST","79714","424720","424720: Petroleum and Petroleum Products Merchant Wholesalers (except Bulk Stations and Terminals)","USA","Texas","privately held","","miscellaneous energy products and systems","energy distribution","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"WEST TEXAS GAS INC","West Texas Gas","$108,700","$0","$108,700","2011","20110524","environment-related offenses","environmental violation","pipeline safety violation","","federal","agency action","Pipeline and Hazardous Materials Safety Administration","civil","","","","","","","","","","","","USA","Texas","privately held","","miscellaneous energy products and systems","energy distribution","http://primis.phmsa.dot.gov/comm/reports/enforce/CaseDetail_cpf_420111006.html?nocache=3170",""
"WEST TEXAS GAS INC","West Texas Gas","$60,000","$0","$60,000","2006","20060913","environment-related offenses","environmental violation","pipeline safety violation","","federal","agency action","Pipeline and Hazardous Materials Safety Administration","civil","","","","","","","","","","","","USA","Texas","privately held","","miscellaneous energy products and systems","energy distribution","http://primis.phmsa.dot.gov/comm/reports/enforce/CaseDetail_cpf_420041007.html?nocache=1168",""
"WEST TEXAS GAS INC","West Texas Gas","$53,000","$0","$53,000","2012","20120516","environment-related offenses","environmental violation","pipeline safety violation","","federal","agency action","Pipeline and Hazardous Materials Safety Administration","civil","","","","","","","","","","","","USA","Texas","privately held","","miscellaneous energy products and systems","energy distribution","http://primis.phmsa.dot.gov/comm/reports/enforce/CaseDetail_cpf_420121008.html?nocache=8384",""
"WEST TEXAS GAS INC","West Texas Gas","$35,000","$0","$35,000","2008","20081028","environment-related offenses","environmental violation","pipeline safety violation","","federal","agency action","Pipeline and Hazardous Materials Safety Administration","civil","","","","","","","","","","","","USA","Texas","privately held","","miscellaneous energy products and systems","energy distribution","http://primis.phmsa.dot.gov/comm/reports/enforce/CaseDetail_cpf_420071002.html?nocache=7146",""
"WEST TEXAS GAS INC","West Texas Gas","$27,500","$0","$27,500","2011","20110822","environment-related offenses","environmental violation","pipeline safety violation","","federal","agency action","Pipeline and Hazardous Materials Safety Administration","civil","","","","","","","","","","","","USA","Texas","privately held","","miscellaneous energy products and systems","energy distribution","http://primis.phmsa.dot.gov/comm/reports/enforce/CaseDetail_cpf_420111007.html?nocache=487",""
"WEST TEXAS GAS INC","West Texas Gas","$13,500","$0","$13,500","2008","20080331","environment-related offenses","environmental violation","pipeline safety violation","","federal","agency action","Pipeline and Hazardous Materials Safety Administration","civil","","","","","","","","","","","","USA","Texas","privately held","","miscellaneous energy products and systems","energy distribution","http://primis.phmsa.dot.gov/comm/reports/enforce/CaseDetail_cpf_420051015.html?nocache=3558",""
"Davis Gas Processing, Inc","West Texas Gas","$97,072","$0","$97,072","2014","20141119","environment-related offenses","environmental violation","","","state","agency action","New Mexico Environment Department","civil","","","","","","New Mexico","","","","","","USA","Texas","privately held","","miscellaneous energy products and systems","energy distribution","https://cloud.env.nm.gov/air/?c=539&k=be50a4061d",""
"Davis Gas Processing, Inc.","West Texas Gas","$5,400","$0","$5,400","2011","20110721","environment-related offenses","environmental violation","","","state","agency action","New Mexico Environment Department","civil","","","","","","New Mexico","","","","","","USA","Texas","privately held","","miscellaneous energy products and systems","energy distribution","https://cloud.env.state.nm.us/air/?c=250&k=39cfc69629",""
