"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"West Virginia Mine Power, Inc","West Virginia Mine Power, Inc.","$11,500","$0","$11,500","2007","20071113","safety-related offenses","workplace safety or health violation","mining violation","","federal","agency action","Mine Safety and Health Administration","civil","","","","","","West Virginia","Rupert","","","","","USA","West Virginia","privately held","","mining and minerals","mining services","Extracted from a download of MSHA's Violations Data Set downloaded on 3/02/2022, available at https://www.msha.gov/mine-data-retrieval-system",""
"West Virginia Mine Power, Inc","West Virginia Mine Power, Inc.","$15,900","$0","$15,900","2007","20071113","safety-related offenses","workplace safety or health violation","mining violation","","federal","agency action","Mine Safety and Health Administration","civil","","","","","","West Virginia","Rupert","","","","","USA","West Virginia","privately held","","mining and minerals","mining services","Extracted from a download of MSHA's Violations Data Set downloaded on 3/02/2022, available at https://www.msha.gov/mine-data-retrieval-system",""
"West Virginia Mine Power, Inc","West Virginia Mine Power, Inc.","$5,000","$0","$5,000","2010","20100916","safety-related offenses","workplace safety or health violation","mining violation","","federal","agency action","Mine Safety and Health Administration","civil","","","","","","West Virginia","Rupert","","","","","USA","West Virginia","privately held","","mining and minerals","mining services","Extracted from a download of MSHA's Violations Data Set downloaded on 3/02/2022, available at https://www.msha.gov/mine-data-retrieval-system",""
"West Virginia Mine Power, Inc","West Virginia Mine Power, Inc.","$5,645","$0","$5,645","2009","20090722","safety-related offenses","workplace safety or health violation","mining violation","","federal","agency action","Mine Safety and Health Administration","civil","","","","","","West Virginia","Rupert","","","","","USA","West Virginia","privately held","","mining and minerals","mining services","Extracted from a download of MSHA's Violations Data Set downloaded on 3/02/2022, available at https://www.msha.gov/mine-data-retrieval-system",""
"West Virginia Mine Power, Inc.","West Virginia Mine Power, Inc.","$7,000","$0","$7,000","2010","20101109","safety-related offenses","workplace safety or health violation","mining violation","","federal","agency action","Mine Safety and Health Administration","civil","","","","","","West Virginia","Rupert","","","","","USA","West Virginia","privately held","","mining and minerals","mining services","Extracted from a download of MSHA's Violations Data Set downloaded on 3/02/2022, available at https://www.msha.gov/mine-data-retrieval-system",""
"West Virginia Mine Power, Inc.","West Virginia Mine Power, Inc.","$40,000","$0","$40,000","2009","20090209","safety-related offenses","workplace safety or health violation","mining violation","","federal","agency action","Mine Safety and Health Administration","civil","","","","","","West Virginia","Rupert","","","","","USA","West Virginia","privately held","","mining and minerals","mining services","Extracted from a download of MSHA's Violations Data Set downloaded on 3/02/2022, available at https://www.msha.gov/mine-data-retrieval-system",""
"West Virginia Mine Power, Inc","West Virginia Mine Power, Inc.","$5,503","$0","$5,503","2008","20080723","safety-related offenses","workplace safety or health violation","mining violation","","federal","agency action","Mine Safety and Health Administration","civil","","","","","","West Virginia","Rupert","","","","","USA","West Virginia","privately held","","mining and minerals","mining services","Extracted from a download of MSHA's Violations Data Set downloaded on 3/02/2022, available at https://www.msha.gov/mine-data-retrieval-system",""
"West Virginia Mine Power, Inc","West Virginia Mine Power, Inc.","$5,080","$0","$5,080","2008","20080731","safety-related offenses","workplace safety or health violation","mining violation","","federal","agency action","Mine Safety and Health Administration","civil","","","","","","West Virginia","Rupert","","","","","USA","West Virginia","privately held","","mining and minerals","mining services","Extracted from a download of MSHA's Violations Data Set downloaded on 3/02/2022, available at https://www.msha.gov/mine-data-retrieval-system",""
"West Virginia Mine Power, Inc","West Virginia Mine Power, Inc.","$35,000","$0","$35,000","2010","20100915","safety-related offenses","workplace safety or health violation","mining violation","","federal","agency action","Mine Safety and Health Administration","civil","","","","","","West Virginia","Rupert","","","","","USA","West Virginia","privately held","","mining and minerals","mining services","Extracted from a download of MSHA's Violations Data Set downloaded on 3/02/2022, available at https://www.msha.gov/mine-data-retrieval-system",""
"West Virginia Mine Power, Inc.","West Virginia Mine Power, Inc.","$30,000","$0","$30,000","2009","20090205","safety-related offenses","workplace safety or health violation","mining violation","","federal","agency action","Mine Safety and Health Administration","civil","","","","","","West Virginia","Rupert","","","","","USA","West Virginia","privately held","","mining and minerals","mining services","Extracted from a download of MSHA's Violations Data Set downloaded on 3/02/2022, available at https://www.msha.gov/mine-data-retrieval-system",""
"West Virginia Mine Power, Inc.","West Virginia Mine Power, Inc.","$8,166","$0","$8,166","2011","20110428","safety-related offenses","workplace safety or health violation","mining violation","","federal","agency action","Mine Safety and Health Administration","civil","","","","","","West Virginia","Rupert","","","","","USA","West Virginia","privately held","","mining and minerals","mining services","Extracted from a download of MSHA's Violations Data Set downloaded on 3/02/2022, available at https://www.msha.gov/mine-data-retrieval-system",""
"West Virginia Mine Power, Inc.","West Virginia Mine Power, Inc.","$10,381","$0","$10,381","2011","20110428","safety-related offenses","workplace safety or health violation","mining violation","","federal","agency action","Mine Safety and Health Administration","civil","","","","","","West Virginia","Rupert","","","","","USA","West Virginia","privately held","","mining and minerals","mining services","Extracted from a download of MSHA's Violations Data Set downloaded on 3/02/2022, available at https://www.msha.gov/mine-data-retrieval-system",""
"West Virginia Mine Power, Inc.","West Virginia Mine Power, Inc.","$10,000","$0","$10,000","2011","20110420","safety-related offenses","workplace safety or health violation","mining violation","","federal","agency action","Mine Safety and Health Administration","civil","","","","","","West Virginia","Rupert","","","","","USA","West Virginia","privately held","","mining and minerals","mining services","Extracted from a download of MSHA's Violations Data Set downloaded on 3/02/2022, available at https://www.msha.gov/mine-data-retrieval-system",""
"West Virginia Mine Power, Inc.","West Virginia Mine Power, Inc.","$7,700","$0","$7,700","2011","20110811","safety-related offenses","workplace safety or health violation","mining violation","","federal","agency action","Mine Safety and Health Administration","civil","","","","","","West Virginia","Rupert","","","","","USA","West Virginia","privately held","","mining and minerals","mining services","Extracted from a download of MSHA's Violations Data Set downloaded on 3/02/2022, available at https://www.msha.gov/mine-data-retrieval-system",""
"West Virginia Mine Power, Inc.","West Virginia Mine Power, Inc.","$5,000","$0","$5,000","2011","20110420","safety-related offenses","workplace safety or health violation","mining violation","","federal","agency action","Mine Safety and Health Administration","civil","","","","","","West Virginia","Rupert","","","","","USA","West Virginia","privately held","","mining and minerals","mining services","Extracted from a download of MSHA's Violations Data Set downloaded on 3/02/2022, available at https://www.msha.gov/mine-data-retrieval-system",""
"West Virginia Mine Power, Inc.","West Virginia Mine Power, Inc.","$5,080","$0","$5,080","2012","20120125","safety-related offenses","workplace safety or health violation","mining violation","","federal","agency action","Mine Safety and Health Administration","civil","","","","","","West Virginia","Rupert","","","","","USA","West Virginia","privately held","","mining and minerals","mining services","Extracted from a download of MSHA's Violations Data Set downloaded on 3/02/2022, available at https://www.msha.gov/mine-data-retrieval-system",""
"West Virginia Mine Power, Inc.","West Virginia Mine Power, Inc.","$8,000","$0","$8,000","2011","20110811","safety-related offenses","workplace safety or health violation","mining violation","","federal","agency action","Mine Safety and Health Administration","civil","","","","","","West Virginia","Rupert","","","","","USA","West Virginia","privately held","","mining and minerals","mining services","Extracted from a download of MSHA's Violations Data Set downloaded on 3/02/2022, available at https://www.msha.gov/mine-data-retrieval-system",""
"West Virginia Mine Power, Inc.","West Virginia Mine Power, Inc.","$5,503","$0","$5,503","2011","20110321","safety-related offenses","workplace safety or health violation","mining violation","","federal","agency action","Mine Safety and Health Administration","civil","","","","","","West Virginia","Rupert","","","","","USA","West Virginia","privately held","","mining and minerals","mining services","Extracted from a download of MSHA's Violations Data Set downloaded on 3/02/2022, available at https://www.msha.gov/mine-data-retrieval-system",""
"West Virginia Mine Power, Inc","West Virginia Mine Power, Inc.","$18,271","$0","$18,271","2012","20120222","safety-related offenses","workplace safety or health violation","mining violation","","federal","agency action","Mine Safety and Health Administration","civil","","","","","","West Virginia","Rupert","","","","","USA","West Virginia","privately held","","mining and minerals","mining services","Extracted from a download of MSHA's Violations Data Set downloaded on 3/02/2022, available at https://www.msha.gov/mine-data-retrieval-system",""
"West Virginia Mine Power, Inc.","West Virginia Mine Power, Inc.","$5,080","$0","$5,080","2012","20121010","safety-related offenses","workplace safety or health violation","mining violation","","federal","agency action","Mine Safety and Health Administration","civil","","","","","","West Virginia","Rupert","","","","","USA","West Virginia","privately held","","mining and minerals","mining services","Extracted from a download of MSHA's Violations Data Set downloaded on 3/02/2022, available at https://www.msha.gov/mine-data-retrieval-system",""
"West Virginia Mine Power, Inc.","West Virginia Mine Power, Inc.","$45,500","$0","$45,500","2011","20110419","safety-related offenses","workplace safety or health violation","mining violation","","federal","agency action","Mine Safety and Health Administration","civil","","","","","","West Virginia","Rupert","","","","","USA","West Virginia","privately held","","mining and minerals","mining services","Extracted from a download of MSHA's Violations Data Set downloaded on 3/02/2022, available at https://www.msha.gov/mine-data-retrieval-system",""
"West Virginia Mine Power, Inc.","West Virginia Mine Power, Inc.","$30,000","$0","$30,000","2011","20110810","safety-related offenses","workplace safety or health violation","mining violation","","federal","agency action","Mine Safety and Health Administration","civil","","","","","","West Virginia","Rupert","","","","","USA","West Virginia","privately held","","mining and minerals","mining services","Extracted from a download of MSHA's Violations Data Set downloaded on 3/02/2022, available at https://www.msha.gov/mine-data-retrieval-system",""
"West Virginia Mine Power, Inc.","West Virginia Mine Power, Inc.","$15,570","$0","$15,570","2011","20110407","safety-related offenses","workplace safety or health violation","mining violation","","federal","agency action","Mine Safety and Health Administration","civil","","","","","","West Virginia","Rupert","","","","","USA","West Virginia","privately held","","mining and minerals","mining services","Extracted from a download of MSHA's Violations Data Set downloaded on 3/02/2022, available at https://www.msha.gov/mine-data-retrieval-system",""
"West Virginia Mine Power, Inc.","West Virginia Mine Power, Inc.","$5,961","$0","$5,961","2012","20120614","safety-related offenses","workplace safety or health violation","mining violation","","federal","agency action","Mine Safety and Health Administration","civil","","","","","","West Virginia","Rupert","","","","","USA","West Virginia","privately held","","mining and minerals","mining services","Extracted from a download of MSHA's Violations Data Set downloaded on 3/02/2022, available at https://www.msha.gov/mine-data-retrieval-system",""
