"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"WESTERN SUGAR COOPERATIVE","Western Sugar Cooperative","$6,377","$0","$6,377","2008","20080812","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Nebraska","SCOTTSBLUFF","2100 OVERLAND DRIVE","69861","311313","311313: Beet Sugar Manufacturing","USA","Colorado","cooperative","","agribusiness","agribusiness","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"THE WESTERN SUGAR COOPERATIVE","Western Sugar Cooperative","$5,250","$0","$5,250","2009","20091228","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Montana","BILLINGS","3020 STATE AVE","59101","311313","311313: Beet Sugar Manufacturing","USA","Colorado","cooperative","","agribusiness","agribusiness","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"THE WESTERN SUGAR COOPERATIVE","Western Sugar Cooperative","$36,000","$0","$36,000","2004","20041027","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Colorado","GREELEY","1302 1ST AVE.","80631","311313","311313: Beet Sugar Manufacturing","USA","Colorado","cooperative","","agribusiness","agribusiness","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"Western Sugar Cooperative","Western Sugar Cooperative","$550,000","$0","$550,000","2011","20111003","employment-related offenses","employment discrimination","","gender","federal","agency action","Equal Employment Opportunity Commission","civil","","","","","","Colorado","","","","","","USA","Colorado","cooperative","","agribusiness","agribusiness","https://www.eeoc.gov/eeoc/newsroom/release/10-3-11k.cfm","Description field shows type of discrimination that EEOC had alleged."
"Western Sugar Cooperative","Western Sugar Cooperative","$406,736","$0","$406,736","2010","20100823","environment-related offenses","environmental violation","","Western Sugar Cooperative, of Denver, Col., has agreed to pay a $56,736 civil penalty, and will spend an additional $350,000 on plant upgrades to cut pollution and save water and energy, to settle allegations that its sugar beet processing facility in Scottsbluff, Neb., had excessively high discharges of fecal coliform bacteria in wastewater.","federal","agency action","Environmental Protection Agency","civil","","","","","","Nebraska","Scottsbluff","","","","","USA","Colorado","cooperative","","agribusiness","agribusiness","https://archive.epa.gov/epapages/newsroom_archive/newsreleases/5e082a198fcbae6e852577880064f13b.html",""
"Western Sugar Co.","Western Sugar Cooperative","$24,000","$0","$24,000","2018","20180529","environment-related offenses","environmental violation","","air quality violation","state","agency action","Colorado Department of Public Health & Environment","civil","","","","","","Colorado","","","","","","USA","Colorado","cooperative","","agribusiness","agribusiness","https://cdphe.colorado.gov/compliance-and-enforcement/enforcement-action-reports",""
"Western Sugar Co.","Western Sugar Cooperative","$102,400","$0","$102,400","2017","20170929","environment-related offenses","environmental violation","","air quality violation","state","agency action","Colorado Department of Public Health & Environment","civil","","","","","","Colorado","","","","","","USA","Colorado","cooperative","","agribusiness","agribusiness","https://cdphe.colorado.gov/compliance-and-enforcement/enforcement-action-reports",""
"Western Sugar Co.","Western Sugar Cooperative","$7,350","$0","$7,350","2016","20161031","environment-related offenses","environmental violation","","air quality violation","state","agency action","Colorado Department of Public Health & Environment","civil","","","","","","Colorado","","","","","","USA","Colorado","cooperative","","agribusiness","agribusiness","https://cdphe.colorado.gov/compliance-and-enforcement/enforcement-action-reports",""
"Western Sugar","Western Sugar Cooperative","$35,200","$0","$35,200","2019","20191216","environment-related offenses","environmental violation","","air quality violation","state","agency action","Montana Department of Environmental Quality","civil","","","","","","Montana","","","","","","USA","Colorado","cooperative","","agribusiness","agribusiness","Contained in data received from the agency on November 30, 2020 in response to an open records request.",""
"The Western Sugar Cooperative","Western Sugar Cooperative","$20,000","$0","$20,000","2007","20071217","environment-related offenses","environmental violation","","Air","state","agency action","Wyoming Department of Environmental Quality","civil","","","","","","Wyoming","","","","","","USA","Colorado","cooperative","","agribusiness","agribusiness","https://drive.google.com/file/d/1WMyhqNJaur9yEWjI8d0ueVteM86XZp-S/view",""
