"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"Paymap Inc.","Western Union","$38,400,000","$0","$38,400,000","2015","20150728","consumer-protection-related offenses","consumer protection violation","mortgage abuses","The Consumer Financial Protection Bureau took action against Paymap Inc. and LoanCare, LLC for deceiving consumers with advertisements for a mortgage payment program that promised tens of thousands of dollars in interest savings from more frequent mortgage payments.  Paymap was required to return $33.4 million in fees to consumers and pay a $5 million civil penalty to the CFPB, and LoanCare will pay a $100,000 civil penalty.","federal","agency action","Consumer Financial Protection Bureau","civil","","","","","","","","","","","","USA","Colorado","publicly traded","WU","financial services","financial services","http://www.consumerfinance.gov/about-us/newsroom/cfpb-takes-action-against-mortgage-payment-company-and-servicer-for-deceptive-ads/",""
"Ruesch International, Inc.","Western Union","$7,811","$0","$7,811","2004","20040305","financial offenses","economic sanction violation","","","federal","agency action","Office of Foreign Assets Control","civil","","","","","","","","","","","","USA","Colorado","publicly traded","WU","financial services","financial services","https://www.treasury.gov/resource-center/sanctions/OFAC-Enforcement/Documents/03052004.pdf",""
"Western Union Company","Western Union","$586,000,000","$0","$586,000,000","2017","20170119","financial offenses","anti-money-laundering deficiencies","","The Western Union Company, a global money services business headquartered in Englewood, Colorado, agreed to forfeit $586 million and enter into agreements with the Justice Department, the Federal Trade Commission, and the U.S. Attorney's Offices for the Middle District of Pennsylvania, the Central District of California, the Eastern District of Pennsylvania and the Southern District of Florida. In its agreement with the Justice Department, Western Union admitted to criminal violations including willfully failing to maintain an effective anti-money laundering program and aiding and abetting wire fraud. ","federal","agency action","Justice Department Criminal Division","criminal","deferred prosecution agreement","","","","","","","","","","","USA","Colorado","publicly traded","WU","financial services","financial services","https://www.justice.gov/opa/pr/western-union-admits-anti-money-laundering-and-consumer-fraud-violations-forfeits-586-million",""
"Western Union Financial Services, Inc.","Western Union","$401,697","$0","$401,697","2019","20190607","financial offenses","economic sanction violation","","","federal","agency action","Office of Foreign Assets Control","civil","","","","","","","","","","","","USA","Colorado","publicly traded","WU","financial services","financial services","https://www.treasury.gov/resource-center/sanctions/CivPen/Documents/20190607_western_union.pdf",""
"Western Union Co.","Western Union","$5,000,000","$0","$5,000,000","2017","20170131","consumer-protection-related offenses","consumer protection violation","","Western Union agreed to pay $5 million to resolve multistate litigation alleging that it failed to take adequate steps to prevent its wire transfer system from being used in schemes to defraud consumers.","state","agency action","Multistate Attorneys General Case","civil","","","","","","","","","","","","USA","Colorado","publicly traded","WU","financial services","financial services","https://oag.dc.gov/release/settlement-district-western-union-agrees-enact",""
"Western Union Financial Services","Western Union","$8,529,000","$0","$8,529,000","2005","20051114","consumer-protection-related offenses","consumer protection violation","","Western Union Financial Services agreed to pay $8.529 million as part of the settlement of multistate litigation concerning the use of the company's wire transfer services by fraudulent telemarketers. ","state","agency action","Multistate Attorneys General Case","civil","","","","","","","","","","","","USA","Colorado","publicly traded","WU","financial services","financial services","https://web.archive.org/web/20100214075358/http://www.ag.ny.gov/media_center/2005/nov/nov14a_05.html",""
"Western Union Financial Services, Inc.","Western Union","$94,000,000","$0","$94,000,000","2010","20100211","financial offenses","anti-money-laundering deficiencies","","Western Union agreed to a $94 million settlement of multistate litigiation alleging deficiences in its efforts to prevent the use of its services for illicit money transfers in the Southwest border region.","state","agency action","Multistate Attorneys General Case","civil","","","","","","","","","","","","USA","Colorado","publicly traded","WU","financial services","financial services","https://www.oag.ca.gov/news/press-releases/brown-and-arizona-ag-goddard-announce-94-million-agreement-western-union-fight",""
"Western Union Financial Services, Inc.","Western Union","$2,000,000","$0","$2,000,000","2008","20081016","consumer-protection-related offenses","consumer protection violation","","Western Union agreed to pay $2 million in settlement of an Administrative Order finding they violated regulations governing money transmitters by failing to prominently display notices and failing to keep records of customers' identities.","state","agency action","Arizona Department of Insurance and Financial Institutions","civil","","","","","","Arizona","","","","","","USA","Colorado","publicly traded","WU","financial services","financial services","https://dfi.az.gov/sites/default/files/media/Western_Union_Consent.pdf","This case was brought by the Arizona Department of Financial Institutions before it merged with the Department of Insurance."
"Western Union International Services LLC","Western Union","$10,000","$0","$10,000","2019","20191206","consumer-protection-related offenses","consumer protection violation","","","state","agency action","Florida Office of Financial Regulation","civil","","","","","","Florida","","","","","","USA","Colorado","publicly traded","WU","financial services","financial services","https://real.flofr.com/datamart/searchFinalOrderFLOFR.do",""
"Western Union Financial Services, Inc.","Western Union","$8,000,000","$0","$8,000,000","2002","20021218","financial offenses","anti-money-laundering deficiencies","","","state","agency action","New York Department of Financial Services","civil","","","","","","New York","","","","","","USA","Colorado","publicly traded","WU","financial services","financial services","https://web.archive.org/web/20051115004300/http://www.banking.state.ny.us/ea021218.htm",""
"Western Union","Western Union","$60,000,000","$0","$60,000,000","2018","20180104","financial offenses","anti-money-laundering deficiencies","","Western Union agreed to pay a $60 million fine as part of a consent order with the New York State Department of Financial Services for violations of New York Bank Secrecy Act and anti-money laundering laws.  An investigation by DFS found that, for more than a decade, Western Union failed to implement and maintain an anti-money laundering compliance program to deter, detect and report on criminals' use of its electronic network to facilitate fraud, money laundering and the illegal structuring of transactions below amounts that would trigger regulatory reporting requirements.","state","agency action","New York Department of Financial Services","civil","","","","","","New York","","","","","","USA","Colorado","publicly traded","WU","financial services","financial services","https://www.dfs.ny.gov/reports_and_publications/press_releases/pr1801041",""
"WESTERN UNION","Western Union","$11,000","$0","$11,000","2015","20151113","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","New Jersey","MONTVALE","100 SUMMIT AVE.","07645","522320","522320: Financial Transactions Processing, Reserve, and Clearinghouse Activities","USA","Colorado","publicly traded","WU","financial services","financial services","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
