"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"GE Transportation","Westinghouse Air Brake Technologies (Wabtec)","$5,000","$0","$5,000","2006","20060905","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","USA","Pennsylvania","publicly traded","WAB","industrial equipment","industrial equipment","Taken from the Federal Railroad Administration's FY2006 safety penalty report obtained through a Freedom of Information Act request. A copy is available upon request. ",""
"GE Transportation Remanufacturing Services, an affiliate of GE Engine Services LLC","Westinghouse Air Brake Technologies (Wabtec)","$60,000","$0","$60,000","2012","20120109","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","17-CA-061113","","","Missouri","Kansas City","","","","","USA","Pennsylvania","publicly traded","WAB","industrial equipment","industrial equipment","Extracted from a spreadsheet obtained from the NLRB through a Freedom of Information Act request fulfilled on 5/16/2017.",""
"Ricon Corp.","Westinghouse Air Brake Technologies (Wabtec)","$1,750,000","$0","$1,750,000","2015","20150206","safety-related offenses","motor vehicle safety violation","","Sale of defective equipment. 49 USC 30112(a)(3). Untimely recall. 49 CFR 573.6(b).","federal","agency action","National Highway Traffic Safety Administration","civil","","","","","","","","","","","","USA","Pennsylvania","publicly traded","WAB","industrial equipment","industrial equipment","https://www.nhtsa.gov/sites/nhtsa.dot.gov/files/ricon-nhtsa-consent-order-02-2015.pdf",""
"WABTEC CORPORATION","Westinghouse Air Brake Technologies (Wabtec)","$30,000","$0","$30,000","2009","20090220","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","06-CA-36093-001","","","Pennsylvania","Wilmerding","","15148","336999","336999: All Other Transportation Equipment Manufacturing","USA","Pennsylvania","publicly traded","WAB","industrial equipment","industrial equipment","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"GE TRANSPORTATION","Westinghouse Air Brake Technologies (Wabtec)","$7,000","$0","$7,000","2010","20100325","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Missouri","KANSAS CITY","10707 NORTH POMONA AVENUE","64153","336510","336510: Railroad Rolling Stock Manufacturing","USA","Pennsylvania","publicly traded","WAB","industrial equipment","industrial equipment","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"YOUNG TOUCHSTONE COMPANY","Westinghouse Air Brake Technologies (Wabtec)","$6,976","$0","$6,976","2009","20090115","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Tennessee","LEXINGTON","1000 YOUNG DRIVE","38351","336510","336510: Railroad Rolling Stock Manufacturing","USA","Pennsylvania","publicly traded","WAB","industrial equipment","industrial equipment","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"LONGWOOD ELASTOMERS, INC.","Westinghouse Air Brake Technologies (Wabtec)","$5,000","$0","$5,000","2006","20060925","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Virginia","WYTHEVILLE","655 FAIRVEIW ROAD","24382","326291","326291: Rubber Product Manufacturing for Mechanical Use","USA","Pennsylvania","publicly traded","WAB","industrial equipment","industrial equipment","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"RICON CORPORATION","Westinghouse Air Brake Technologies (Wabtec)","$21,750","$0","$21,750","2007","20070716","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","California","PANORAMA CITY","7900 NELSON ROAD","91402","333921","333921: Elevator and Moving Stairway Manufacturing","USA","Pennsylvania","publicly traded","WAB","industrial equipment","industrial equipment","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"LONGWOOD ENGINEERED PRODUCTS, INC.","Westinghouse Air Brake Technologies (Wabtec)","$7,981","$0","$7,981","2003","20030909","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Connecticut","NORWICH","19 OHIO AVENUE","06360","326299","326299: All Other Rubber Product Manufacturing","USA","Pennsylvania","publicly traded","WAB","industrial equipment","industrial equipment","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"Westinghouse Air Brake Technologies Corporation","Westinghouse Air Brake Technologies (Wabtec)","$288,351","$0","$288,351","2008","20080214","competition-related offenses","Foreign Corrupt Practices Act","","","federal","agency action","Securities and Exchange Commission","civil","","","","","","","","","","","","USA","Pennsylvania","publicly traded","WAB","industrial equipment","industrial equipment","https://www.sec.gov/litigation/admin/2008/34-57333.pdf",""
