"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"Golden Triangle Railroad","Weyerhaeuser","$5,000","$0","$5,000","2006","20061004","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","USA","Washington","publicly traded","NYSE: WY","building materials","forest products","Taken from the Federal Railroad Administration's FY2007 safety penalty report obtained through a Freedom of Information Act request. A copy is available upon request. ",""
"WILLAMETTE IND INC","Weyerhaeuser","$186,925","$0","$186,925","2000","20000501","environment-related offenses","environmental violation","","","state","agency action","Pennsylvania Department of Environmental Protection","civil","","","","","","Pennsylvania","","","","","","USA","Washington","publicly traded","NYSE: WY","building materials","forest products","Contained in data received from the agency on February 25, 2021 in response to an open records request. The data -- which in some cases merged penalty amounts from multiple violations --was a spreadsheet version of information contained in individual case documents that can be retrieved at https://www.ahs.dep.pa.gov/eFACTSWeb/default.aspx",""
"WEYERHAEUSER CO","Weyerhaeuser","$225,000","$0","$225,000","2004","20041013","environment-related offenses","environmental violation","","","state","agency action","Pennsylvania Department of Environmental Protection","civil","","","","","","Pennsylvania","","","","","","USA","Washington","publicly traded","NYSE: WY","building materials","forest products","Contained in data received from the agency on February 25, 2021 in response to an open records request. The data -- which in some cases merged penalty amounts from multiple violations --was a spreadsheet version of information contained in individual case documents that can be retrieved at https://www.ahs.dep.pa.gov/eFACTSWeb/default.aspx",""
"Trus Joist MacMillan","Weyerhaeuser","$275,000","$0","$275,000","2005","20050310","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","06-CA-29855-001","","","West Virginia","Buckhannon","","26201","321214","321214: Truss Manufacturing","USA","Washington","publicly traded","NYSE: WY","building materials","forest products","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"WEYERHAEUSER COMPANY","Weyerhaeuser","$9,767","$0","$9,767","2009","20090204","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","North Carolina","GRIFTON","371 HANRAHAN ROAD","28530","321113","321113: Sawmills","USA","Washington","publicly traded","NYSE: WY","building materials","forest products","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"WEYERHAEUSER COMPANY","Weyerhaeuser","$9,000","$0","$9,000","2008","20081104","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Oklahoma","IDABEL","5500 NW TEXAS AVENUE","74745","321113","321113: Sawmills","USA","Washington","publicly traded","NYSE: WY","building materials","forest products","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"WEYERHAEUSER","Weyerhaeuser","$5,600","$0","$5,600","2008","20080114","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","California","PASO ROBLES","3003 ROLLIE GATES DR.","93446","321213","321213: Engineered Wood Member (except Truss) Manufacturing","USA","Washington","publicly traded","NYSE: WY","building materials","forest products","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"WEYERHAEUSER CO & SUBSIDIARIES","Weyerhaeuser","$7,000","$0","$7,000","2004","20040318","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Washington","RAYMOND","WATER AND ELLIS ST","98577","113310","113310: Logging","USA","Washington","publicly traded","NYSE: WY","building materials","forest products","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"TRUS JOIST, A WEYERHAEUSER BUSINESS","Weyerhaeuser","$77,000","$0","$77,000","2004","20040120","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","West Virginia","BUCKHANNON","100 TJM DRIVE","26201","321214","321214: Truss Manufacturing","USA","Washington","publicly traded","NYSE: WY","building materials","forest products","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"WEYERHAEUSER COMPANY","Weyerhaeuser","$8,000","$0","$8,000","2002","20021118","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","New Jersey","CLOSTER","10 RAILROAD AVENUE","07624","322211","322211: Corrugated and Solid Fiber Box Manufacturing","USA","Washington","publicly traded","NYSE: WY","building materials","forest products","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"WEYERHAEUSER COMPANY","Weyerhaeuser","$7,500","$0","$7,500","2002","20020828","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Kansas","KANSAS CITY","530 SUNSHINE ROAD","66115","322211","322211: Corrugated and Solid Fiber Box Manufacturing","USA","Washington","publicly traded","NYSE: WY","building materials","forest products","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"WEYERHAEUSER CO","Weyerhaeuser","$5,200","$0","$5,200","2003","20030625","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Michigan","GRAYLING","4111 W 4 MILE RD","49738","322211","322211: Corrugated and Solid Fiber Box Manufacturing","USA","Washington","publicly traded","NYSE: WY","building materials","forest products","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"TRUS JOIST","Weyerhaeuser","$7,000","$0","$7,000","2001","20010723","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Minnesota","DEERWOOD","COUNTY ROAD #102,  BOX 460","56444","000000","","USA","Washington","publicly traded","NYSE: WY","building materials","forest products","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"WEYERHAEUSER CO & SUBSIDIARIES","Weyerhaeuser","$13,300","$0","$13,300","2002","20020711","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Washington","COSMOPOLIS","1201 1ST ST (PULP PRODUCTION FACILITY)","98537","322110","322110: Pulp Mills","USA","Washington","publicly traded","NYSE: WY","building materials","forest products","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"PLUM CREEK NW LUMBER INC. DBA EVERGREEN SAWMILL","Weyerhaeuser","$5,200","$0","$5,200","2002","20021030","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Montana","KALISPELL","75 SUNSET DRIVE","59901","000000","","USA","Washington","publicly traded","NYSE: WY","building materials","forest products","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"PLUM CREEK NW LUMBER INC. DBA EVERGREEN SAWMILL","Weyerhaeuser","$7,500","$0","$7,500","2002","20021016","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Montana","KALISPELL","75 SUNSET DRIVE","59901","000000","","USA","Washington","publicly traded","NYSE: WY","building materials","forest products","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"PLUM CREEK DBA PLUM CREEK MDF, INC.","Weyerhaeuser","$15,000","$0","$15,000","2002","20020807","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Montana","COLUMBIA FALLS","500 12 AVE. WEST","59912","321219","321219: Reconstituted Wood Product Manufacturing","USA","Washington","publicly traded","NYSE: WY","building materials","forest products","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"PLUM CREEK MDF, INC.","Weyerhaeuser","$98,000","$0","$98,000","2002","20020711","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Montana","COLUMBIA FALLS","500 12 AVE. WEST","59912","321219","321219: Reconstituted Wood Product Manufacturing","USA","Washington","publicly traded","NYSE: WY","building materials","forest products","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
