"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"Embraco North America","Whirlpool Corp.","$91,800,000","$0","$91,800,000","2010","20100930","competition-related offenses","price-fixing or anti-competitive practices","","Panasonic Corporation and a Whirlpool Corporation subsidiary, Embraco North America Inc., agreed to plead guilty and to pay a total of $140.9 million in criminal fines for their role in an international conspiracy to fix the prices of refrigerant compressors used in refrigerators and freezers in homes and businesses.","federal","agency action","Justice Department Antitrust Division","criminal","","","","","","","","","","","","USA","Michigan","publicly traded","WHR","housewares and home furnishings","appliances","https://www.justice.gov/opa/pr/panasonic-corp-and-whirlpool-corp-subsidiary-agree-plead-guilty-role-price-fixing-conspiracy",""
"Maytag Corp.","Whirlpool Corp.","$334,500","$0","$334,500","2005","20051202","employment-related offenses","employment discrimination","age discrimination","","federal","private litigation","","civil","","Northern District of Illinois","1:04-cv-4617","Max, et al v. Maytag Corp","settlement","","","","","","","USA","Michigan","publicly traded","WHR","housewares and home furnishings","appliances","https://www.clearinghouse.net/detail.php?id=9388",""
"WHIRLPOOL CORP. MARION DIVISION","Whirlpool Corp.","$5,900","$0","$5,900","2009","20090626","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Ohio","MARION","1300 MARION-AGOSTA RD.","43302","335224","335224: Household Laundry Equipment Manufacturing","USA","Michigan","publicly traded","WHR","housewares and home furnishings","appliances","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"WHIRLPOOL CORP. CLYDE DIVISION","Whirlpool Corp.","$6,750","$0","$6,750","2008","20080711","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Ohio","CLYDE","119 BIRDSEYE ST.","43410","335224","335224: Household Laundry Equipment Manufacturing","USA","Michigan","publicly traded","WHR","housewares and home furnishings","appliances","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"MAYTAG CORPORATION","Whirlpool Corp.","$8,400","$0","$8,400","2005","20050930","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Tennessee","CLEVELAND","740 KING EDWARD AVE","37311","335221","335221: Household Cooking Appliance Manufacturing","USA","Michigan","publicly traded","WHR","housewares and home furnishings","appliances","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"MAYTAG SLP","Whirlpool Corp.","$28,000","$0","$28,000","2005","20050302","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Arkansas","SEARCY","200 QUEENSWAY","72143","335224","335224: Household Laundry Equipment Manufacturing","USA","Michigan","publicly traded","WHR","housewares and home furnishings","appliances","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"WHIRLPOOL CORPORATION","Whirlpool Corp.","$8,830","$0","$8,830","2004","20040826","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Arkansas","FORT SMITH","6400 JENNY LIND ROAD","72908","335222","335222: Household Refrigerator and Home Freezer Manufacturing","USA","Michigan","publicly traded","WHR","housewares and home furnishings","appliances","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"WHIRLPOOL CORP ST JOSEPH TECH CENTER","Whirlpool Corp.","$7,800","$0","$7,800","2003","20030127","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Michigan","ST JOSEPH","303 UPTON DR","49085","541330","541330: Engineering Services","USA","Michigan","publicly traded","WHR","housewares and home furnishings","appliances","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"WHIRLPOOL CORPORATION, OXFORD DIVISION","Whirlpool Corp.","$8,250","$0","$8,250","2002","20020207","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Mississippi","OXFORD","927 WHIRLPOOL DRIVE","38655","000000","","USA","Michigan","publicly traded","WHR","housewares and home furnishings","appliances","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"MAYTAG HERRIN LAUNDRY PRODUCTS","Whirlpool Corp.","$5,164","$0","$5,164","2004","20040309","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Illinois","HERRIN","410 E. LYERLA DRIVE","62948","335224","335224: Household Laundry Equipment Manufacturing","USA","Michigan","publicly traded","WHR","housewares and home furnishings","appliances","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
