"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"Whiting Oil and Gas","Whiting Petroleum","$58,570","$0","$58,570","2013","20131031","environment-related offenses","environmental violation","","The settlement requires Whiting Oil and Gas to pay a civil penalty of $58,570 to the Oil Spill Liability Trust Fund. On the date of the incident, Whiting Oil and Gas reported the crude oil release to EPA. The release impacted Smackover Creek and adjoining shorelines. Erosion in the bank caused the fracture in the pipeline that led to the creek's tributary.","federal","agency action","Environmental Protection Agency","civil","","","","","","Arkansas","","","","","","USA","Colorado","publicly traded","WLL","oil and gas","oil & gas","https://archive.epa.gov/epapages/newsroom_archive/newsreleases/3efa5beb59d5db5e85257c150055f283.html",""
"WHITING PETROLEUM CORP","Whiting Petroleum","$32,000","$0","$32,000","2009","20090716","environment-related offenses","environmental violation","pipeline safety violation","","federal","agency action","Pipeline and Hazardous Materials Safety Administration","civil","","","","","","","","","","","","USA","Colorado","publicly traded","WLL","oil and gas","oil & gas","http://primis.phmsa.dot.gov/comm/reports/enforce/CaseDetail_cpf_520041011.html?nocache=6434",""
"Whiting Oil & Gas","Whiting Petroleum","$8,050","$0","$8,050","2020","20200824","environment-related offenses","environmental violation","","air quality violation","state","agency action","Colorado Department of Public Health & Environment","civil","","","","","","Colorado","","","","","","USA","Colorado","publicly traded","WLL","oil and gas","oil & gas","https://cdphe.colorado.gov/compliance-and-enforcement/enforcement-action-reports",""
"Whiting Oil & Gas","Whiting Petroleum","$9,100","$0","$9,100","2020","20200615","environment-related offenses","environmental violation","","air quality violation","state","agency action","Colorado Department of Public Health & Environment","civil","","","","","","Colorado","","","","","","USA","Colorado","publicly traded","WLL","oil and gas","oil & gas","https://cdphe.colorado.gov/compliance-and-enforcement/enforcement-action-reports",""
"Whiting Oil & Gas","Whiting Petroleum","$74,550","$0","$74,550","2019","20190826","environment-related offenses","environmental violation","","air quality violation","state","agency action","Colorado Department of Public Health & Environment","civil","","","","","","Colorado","","","","","","USA","Colorado","publicly traded","WLL","oil and gas","oil & gas","https://cdphe.colorado.gov/compliance-and-enforcement/enforcement-action-reports",""
"Whiting Oil & Gas","Whiting Petroleum","$39,900","$0","$39,900","2018","20181115","environment-related offenses","environmental violation","","air quality violation","state","agency action","Colorado Department of Public Health & Environment","civil","","","","","","Colorado","","","","","","USA","Colorado","publicly traded","WLL","oil and gas","oil & gas","https://cdphe.colorado.gov/compliance-and-enforcement/enforcement-action-reports",""
"Whiting Oil & Gas","Whiting Petroleum","$312,568","$0","$312,568","2018","20180612","environment-related offenses","environmental violation","","air quality violation","state","agency action","Colorado Department of Public Health & Environment","civil","","","","","","Colorado","","","","","","USA","Colorado","publicly traded","WLL","oil and gas","oil & gas","https://cdphe.colorado.gov/compliance-and-enforcement/enforcement-action-reports",""
"Whiting Oil & Gas","Whiting Petroleum","$18,900","$0","$18,900","2016","20160823","environment-related offenses","environmental violation","","air quality violation","state","agency action","Colorado Department of Public Health & Environment","civil","","","","","","Colorado","","","","","","USA","Colorado","publicly traded","WLL","oil and gas","oil & gas","https://cdphe.colorado.gov/compliance-and-enforcement/enforcement-action-reports",""
"Whiting Oil & Gas","Whiting Petroleum","$6,475","$0","$6,475","2014","20140902","environment-related offenses","environmental violation","","air quality violation","state","agency action","Colorado Department of Public Health & Environment","civil","","","","","","Colorado","","","","","","USA","Colorado","publicly traded","WLL","oil and gas","oil & gas","https://cdphe.colorado.gov/compliance-and-enforcement/enforcement-action-reports",""
"Whiting Oil & Gas Corp.","Whiting Petroleum","$173,350","$0","$173,350","2017","20171211","environment-related offenses","environmental violation","","","state","agency action","Colorado Oil & Gas Conservation Commission","civil","","","","","","Colorado","","","","","","USA","Colorado","publicly traded","WLL","oil and gas","oil & gas","https://cogcc.state.co.us/documents/reg/Enforcement/2017_4Q%20_HB1356_Report.pdf",""
