"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"Carbo Ceramics, Inc.","Wilks Brothers","$5,000","$0","$5,000","2003","20030129","environment-related offenses","environmental violation","","Air","state","agency action","Alabama Department of Environmental Management","civil","","","03-064-CAP       ","","","Alabama","","","","","","USA","Texas","privately held","","diversified","diversified","List of FY2003 ADEM Administrative Orders obtained via an open records request on October 5, 2020.",""
"Carbo Ceramics, Inc","Wilks Brothers","$14,506","$0","$14,506","2016","20160210","environment-related offenses","environmental violation","","Air Quality Act","state","agency action","Georgia Environmental Protection Division","civil","","","EPD-AQC-6822","","","Georgia","","","","","","USA","Texas","privately held","","diversified","diversified","Contained in a spreadsheet obtained from the agency on October 7, 2020 in response to an open records request. The spreadsheet contains cases from the enforcement database accessible at https://enfo.gaepd.org/Orders/Search",""
"Carbo Ceramics, Inc","Wilks Brothers","$10,658","$0","$10,658","2015","20151106","environment-related offenses","environmental violation","","Air Quality Act","state","agency action","Georgia Environmental Protection Division","civil","","","EPD-AQC-6802","","","Georgia","","","","","","USA","Texas","privately held","","diversified","diversified","Contained in a spreadsheet obtained from the agency on October 7, 2020 in response to an open records request. The spreadsheet contains cases from the enforcement database accessible at https://enfo.gaepd.org/Orders/Search",""
"Carbo Ceramics, Inc","Wilks Brothers","$300,000","$0","$300,000","2013","20131122","environment-related offenses","environmental violation","","Air Quality Act","state","agency action","Georgia Environmental Protection Division","civil","","","EPD-AQC-6706","","","Georgia","","","","","","USA","Texas","privately held","","diversified","diversified","Contained in a spreadsheet obtained from the agency on October 7, 2020 in response to an open records request. The spreadsheet contains cases from the enforcement database accessible at https://enfo.gaepd.org/Orders/Search",""
"Carbo Ceramics, Inc","Wilks Brothers","$258,000","$0","$258,000","2009","20090521","environment-related offenses","environmental violation","","Air Quality Act","state","agency action","Georgia Environmental Protection Division","civil","","","EPD-AQC-6050","","","Georgia","","","","","","USA","Texas","privately held","","diversified","diversified","Contained in a spreadsheet obtained from the agency on October 7, 2020 in response to an open records request. The spreadsheet contains cases from the enforcement database accessible at https://enfo.gaepd.org/Orders/Search",""
"Carbo Ceramics, Inc","Wilks Brothers","$13,000","$0","$13,000","2008","20081022","environment-related offenses","environmental violation","","Air Quality Act","state","agency action","Georgia Environmental Protection Division","civil","","","EPD-AQC-5924","","","Georgia","","","","","","USA","Texas","privately held","","diversified","diversified","Contained in a spreadsheet obtained from the agency on October 7, 2020 in response to an open records request. The spreadsheet contains cases from the enforcement database accessible at https://enfo.gaepd.org/Orders/Search",""
"Carbo Ceramics, Inc","Wilks Brothers","$24,056","$0","$24,056","2002","20020408","environment-related offenses","environmental violation","","Air Quality Act","state","agency action","Georgia Environmental Protection Division","civil","","","EPD-AQC-3200","","","Georgia","","","","","","USA","Texas","privately held","","diversified","diversified","Contained in a spreadsheet obtained from the agency on October 7, 2020 in response to an open records request. The spreadsheet contains cases from the enforcement database accessible at https://enfo.gaepd.org/Orders/Search",""
"CARBO Ceramics Inc","Wilks Brothers","$24,945","$0","$24,945","2021","20210322","environment-related offenses","environmental violation","","","state","agency action","Georgia Environmental Protection Division","civil","","","","","","Georgia","","","","","","USA","Texas","privately held","","diversified","diversified","https://enfo.gaepd.org/Details/72627",""
"CARBO Ceramics Inc","Wilks Brothers","$6,458","$0","$6,458","2007","20071010","safety-related offenses","workplace safety or health violation","mining violation","","federal","agency action","Mine Safety and Health Administration","civil","","","","","","Alabama","Eufala ","","","","","USA","Texas","privately held","","diversified","diversified","Extracted from a download of MSHA's Violations Data Set downloaded on 3/02/2022, available at https://www.msha.gov/mine-data-retrieval-system",""
"Carbo Ceramics Inc","Wilks Brothers","$5,000","$0","$5,000","2010","20100412","safety-related offenses","workplace safety or health violation","mining violation","","federal","agency action","Mine Safety and Health Administration","civil","","","","","","Georgia","McIntyre","","","","","USA","Texas","privately held","","diversified","diversified","Extracted from a download of MSHA's Violations Data Set downloaded on 3/02/2022, available at https://www.msha.gov/mine-data-retrieval-system",""
