"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"BLACK MARLIN PIPELINE CO","Williams Companies","$30,000","$0","$30,000","2002","20021203","environment-related offenses","environmental violation","pipeline safety violation","","federal","agency action","Pipeline and Hazardous Materials Safety Administration","civil","","","","","","","","","","","","USA","Oklahoma","publicly traded","WMB","oil and gas","oil & gas","http://primis.phmsa.dot.gov/comm/reports/enforce/CaseDetail_cpf_420022001.html?nocache=1526",""
"TRANSCONTINENTAL GAS PIPE LINE CO LLC","Williams Companies","$5,000","$0","$5,000","2017","20170516","environment-related offenses","environmental violation","","","state","agency action","Pennsylvania Department of Environmental Protection","civil","","","","","","Pennsylvania","","","","","","USA","Oklahoma","publicly traded","WMB","oil and gas","oil & gas","Contained in data received from the agency on February 25, 2021 in response to an open records request. The data was a spreadsheet version of information contained in individual case documents that can be retrieved at https://www.ahs.dep.pa.gov/eFACTSWeb/default.aspx",""
"Mid-Continent Fractionation and Storage","Williams Companies","$2,000,000","$0","$2,000,000","2014","20140505","environment-related offenses","environmental violation","","U.S. Environmental Protection Agency (EPA) personnel conducted an inspection of the Mid-Continent Fractionation and Storage facility in Conway, Kan., in April 2012. As a result of the inspection, Mid-Continent has agreed to spend approximately $2 million to construct and operate a system to reduce emissions of volatile organic compound (VOC) vapors to the atmosphere.","federal","agency action","Environmental Protection Agency","civil","","","","","","Kansas","Conway","","","","","USA","Oklahoma","publicly traded","WMB","oil and gas","oil & gas","https://archive.epa.gov/epapages/newsroom_archive/newsreleases/d4f237d617a12b5085257ccf0067fc21.html",""
"NORTHWEST PIPELINE LLC","Williams Companies","$50,000","$0","$50,000","2009","20090707","environment-related offenses","environmental violation","pipeline safety violation","","federal","agency action","Pipeline and Hazardous Materials Safety Administration","civil","","","","","","","","","","","","USA","Oklahoma","publicly traded","WMB","oil and gas","oil & gas","http://primis.phmsa.dot.gov/comm/reports/enforce/CaseDetail_cpf_520041016.html?nocache=9239",""
"TRANSCONTINENTAL GAS PIPE LINE COMPANY","Williams Companies","$952,500","$0","$952,500","2009","20091117","environment-related offenses","environmental violation","pipeline safety violation","","federal","agency action","Pipeline and Hazardous Materials Safety Administration","civil","","","","","","","","","","","","USA","Oklahoma","publicly traded","WMB","oil and gas","oil & gas","http://primis.phmsa.dot.gov/comm/reports/enforce/CaseDetail_cpf_120091007.html?nocache=5656",""
"TRANSCONTINENTAL GAS PIPE LINE COMPANY","Williams Companies","$190,385","$0","$190,385","2007","20070730","environment-related offenses","environmental violation","pipeline safety violation","","federal","agency action","Pipeline and Hazardous Materials Safety Administration","civil","","","","","","","","","","","","USA","Oklahoma","publicly traded","WMB","oil and gas","oil & gas","http://primis.phmsa.dot.gov/comm/reports/enforce/CaseDetail_cpf_120051007.html?nocache=5379",""
"TRANSCONTINENTAL GAS PIPE LINE COMPANY","Williams Companies","$167,000","$0","$167,000","2014","20140306","environment-related offenses","environmental violation","pipeline safety violation","","federal","agency action","Pipeline and Hazardous Materials Safety Administration","civil","","","","","","","","","","","","USA","Oklahoma","publicly traded","WMB","oil and gas","oil & gas","http://primis.phmsa.dot.gov/comm/reports/enforce/CaseDetail_cpf_120141002.html?nocache=1177",""
"TRANSCONTINENTAL GAS PIPE LINE COMPANY","Williams Companies","$74,300","$0","$74,300","2012","20120611","environment-related offenses","environmental violation","pipeline safety violation","","federal","agency action","Pipeline and Hazardous Materials Safety Administration","civil","","","","","","","","","","","","USA","Oklahoma","publicly traded","WMB","oil and gas","oil & gas","http://primis.phmsa.dot.gov/comm/reports/enforce/CaseDetail_cpf_120123002.html?nocache=1823",""
"TRANSCONTINENTAL GAS PIPE LINE COMPANY","Williams Companies","$50,000","$0","$50,000","2011","20111005","environment-related offenses","environmental violation","pipeline safety violation","","federal","agency action","Pipeline and Hazardous Materials Safety Administration","civil","","","","","","","","","","","","USA","Oklahoma","publicly traded","WMB","oil and gas","oil & gas","http://primis.phmsa.dot.gov/comm/reports/enforce/CaseDetail_cpf_120111015.html?nocache=9213",""
"TRANSCONTINENTAL GAS PIPE LINE COMPANY","Williams Companies","$42,500","$0","$42,500","2012","20120820","environment-related offenses","environmental violation","pipeline safety violation","","federal","agency action","Pipeline and Hazardous Materials Safety Administration","civil","","","","","","","","","","","","USA","Oklahoma","publicly traded","WMB","oil and gas","oil & gas","http://primis.phmsa.dot.gov/comm/reports/enforce/CaseDetail_cpf_120121019.html?nocache=8657",""
"TRANSCONTINENTAL GAS PIPE LINE COMPANY","Williams Companies","$23,800","$0","$23,800","2011","20110105","environment-related offenses","environmental violation","pipeline safety violation","","federal","agency action","Pipeline and Hazardous Materials Safety Administration","civil","","","","","","","","","","","","USA","Oklahoma","publicly traded","WMB","oil and gas","oil & gas","http://primis.phmsa.dot.gov/comm/reports/enforce/CaseDetail_cpf_420111001.html?nocache=8856",""
"Transcontinental Gas Pipe Line Corp. (Transco)","Williams Companies","$20,000,000","$0","$20,000,000","2003","20030317","competition-related offenses","energy market violation","","","federal","agency action","Federal Energy Regulatory Commission","civil","","","","","","","","","","","","USA","Oklahoma","publicly traded","WMB","oil and gas","oil & gas","https://elibrary.ferc.gov/IDMWS/common/opennat.asp?fileID=9661368",""
"Transcontinental Gas Pipe Line Corporation (Transco)","Williams Companies","$20,000,000","$0","$20,000,000","2003","20030317","competition-related offenses","energy market violation","","","federal","agency action","Federal Energy Regulatory Commission","civil","","","","","","","","","","","","USA","Oklahoma","publicly traded","WMB","oil and gas","oil & gas","https://web.archive.org/web/20150417042802/http://ferc.gov/media/news-releases/2003/2003-1/transco-03-17-03.pdf",""
"Transcontinental Gas Pipe Line Corporation (Transco)","Williams Companies","$1,400,000","$0","$1,400,000","2002","20020201","environment-related offenses","environmental violation","","The Justice Department and the Environmental Protection Agency announced a settlement with Transcontinental Gas Pipe Line Corporation (Transco) under which the company agreed to test for and clean up soil and groundwater contamination related to waste disposal at numerous compressor stations along its natural gas pipeline. In addition, the company agreed to clean up polychlorinated biphenyl (PCB) contamination, complete a storm water monitoring program, conduct storm water sampling at several compressor stations and pay a $1.4 million civil penalty.","federal","agency action","Justice Department Environment and Natural Resources Division","civil","","","","","","","","","","","","USA","Oklahoma","publicly traded","WMB","oil and gas","oil & gas","https://www.justice.gov/archive/opa/pr/2002/February/02_enrd_053.htm",""
"WILLIAMS ENERGY, INC.","Williams Companies","$25,000","$0","$25,000","2001","20010702","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Texas","GALENA PARK","12901 AMERICAN PETROLEUM ROAD","77547","000000","","USA","Oklahoma","publicly traded","WMB","oil and gas","oil & gas","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"Williams Energy Co.","Williams Companies","$5,000","$0","$5,000","2014","20140127","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","USA","Oklahoma","publicly traded","WMB","oil and gas","oil & gas","https://www.fra.dot.gov/eLib/details/L16190#p1_z5_gD_lEA",""
"WILLIAMS ENERGY LLC","Williams Companies","$15,800","$0","$15,800","2014","20140303","environment-related offenses","environmental violation","pipeline safety violation","","federal","agency action","Pipeline and Hazardous Materials Safety Administration","civil","","","","","","","","","","","","USA","Oklahoma","publicly traded","WMB","oil and gas","oil & gas","http://primis.phmsa.dot.gov/comm/reports/enforce/CaseDetail_cpf_420141002.html?nocache=7570",""
"WILLIAMS FIELD SERVICE, INC.","Williams Companies","$8,170","$0","$8,170","2008","20080624","safety-related offenses","motor vehicle safety violation","","MT-2007-0050-US1207","federal","agency action","Federal Motor Carrier Safety Administration","civil","","","","","","Montana","HAVRE","","","","","USA","Oklahoma","publicly traded","WMB","oil and gas","oil & gas","https://www.fmcsa.dot.gov/regulations/enforcement/national-listing-enforcement-cases-subject-name-closed-fiscal-year-2008-pdf","Year is fiscal year. Date is closing date."
"Williams Field Services","Williams Companies","$22,400","$0","$22,400","2017","20170627","environment-related offenses","environmental violation","pipeline safety violation","","federal","agency action","Pipeline and Hazardous Materials Safety Administration","civil","","","","","","","","","","","","USA","Oklahoma","publicly traded","WMB","oil and gas","oil & gas","https://primis.phmsa.dot.gov/comm/reports/enforce/CaseDetail_cpf_120165010.html?nocache=6464",""
"WILLIAMS FIELD SERVICES COMPANY","Williams Companies","$7,915","$0","$7,915","2006","20060227","safety-related offenses","motor vehicle safety violation","","WY-2006-0006-US0141","federal","agency action","Federal Motor Carrier Safety Administration","civil","","","","","","Oklahoma","TULSA","","","","","USA","Oklahoma","publicly traded","WMB","oil and gas","oil & gas","https://www.fmcsa.dot.gov/regulations/enforcement/national-listing-enforcement-cases-subject-name-closed-fiscal-year-2006-pdf","Year is fiscal year. Date is closing date."
"Williams Ohio Valley Midstream, LLC","Williams Companies","$10,500","$0","$10,500","2015","20150609","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","USA","Oklahoma","publicly traded","WMB","oil and gas","oil & gas","https://www.fra.dot.gov/eLib/details/L17311#p1_z5_gD_lEA",""
"Williams Ohio Valley Midstream, LLC","Williams Companies","$7,500","$0","$7,500","2015","20151027","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","USA","Oklahoma","publicly traded","WMB","oil and gas","oil & gas","https://railroads.dot.gov/elibrary/fiscal-year-2016-enforcement-report",""
