"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"Towers Perrin","Willis Towers Watson","$376,093","$0","$376,093","2004","20040821","employment-related offenses","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1444212","","","Connecticut","Stamford","","06901","541611","541611: Administrative Management and General Management Consulting Services","United Kingdom","","publicly traded","Nasdaq: WLTW","financial services","insurance","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"Towers Perrin","Willis Towers Watson","$105,865","$0","$105,865","2005","20050314","employment-related offenses","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1462718","","","Connecticut","Stamford","","06901","541611","541611: Administrative Management and General Management Consulting Services","United Kingdom","","publicly traded","Nasdaq: WLTW","financial services","insurance","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"Towers, Perrin, Forrester & Crosby","Willis Towers Watson","$294,279","$0","$294,279","2005","20050312","employment-related offenses","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1387507","","","Virginia","Chesapeake","","23320","541611","541611: Administrative Management and General Management Consulting Services","United Kingdom","","publicly traded","Nasdaq: WLTW","financial services","insurance","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"Watson Wyatt & Co.","Willis Towers Watson","$91,000","$0","$91,000","2005","20050408","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","07-CA-48078-001","","","Michigan","Southfield","","48034","541620","541620: Environmental Consulting Services","United Kingdom","","publicly traded","Nasdaq: WLTW","financial services","insurance","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"Willis Group","Willis Towers Watson","$12,757,949","$0","$12,757,949","2008","20080225","employment-related offenses","employment discrimination","gender discrimination","The settlement amount includes $4,257,949 in legal fees and costs.","federal","private litigation","","civil","","Southern District of New York","1:01-cv-6558","Hnot, et al v. Willis Group, et al","settlement","","","","","","","United Kingdom","","publicly traded","Nasdaq: WLTW","financial services","insurance","https://www.clearinghouse.net/detail.php?id=10629&search=source%7Cgeneral%3BcaseName%7Chnot%3Borderby%7CfilingYear%3B",""
"Willis Group","Willis Towers Watson","$11,595,038","$0","$11,595,038","2011","20111219","employment-related offenses","employment discrimination","gender discrimination","The settlement amount includes $3,200,896 in legal fees and costs. This case, which covers women working at the company beginning in 1998, is similar to the separately listed Hnot case, which covered the earlier period.","federal","private litigation","","civil","","Southern District of New York","1:06-cv-15295","Cronas v. Willis Group Holdings, Ltd. et al","settlement","","","","","","","United Kingdom","","publicly traded","Nasdaq: WLTW","financial services","insurance","https://www.clearinghouse.net/detail.php?id=10772&search=source%7Cgeneral%3BcaseName%7Ccronas%3Borderby%7CfilingYear%3B",""
"Willis Group Holdings Ltd.","Willis Towers Watson","$2,600,000","$0","$2,600,000","2007","20070717","consumer-protection-related offenses","consumer protection violation","","","state","agency action","Florida Attorney General","civil","","","","","","Florida","","","","","","United Kingdom","","publicly traded","Nasdaq: WLTW","financial services","insurance","Insurance Broker to Reimburse Policy Holders $2.6 Million, US States News, July 17, 2007 (via Nexis).",""
"Willis Group Holdings Ltd.","Willis Towers Watson","$50,000,000","$0","$50,000,000","2005","20050407","competition-related offenses","price-fixing or anti-competitive practices","","Insurance broker Willis agreed to pay $50 million to settle allegations that it unlawfully deceived clients by steering business to favored insurance companies, and soliciting fictitious bids to assure that insurance policies were placed to benefit insurers.","state","agency action","New York Attorney General","civil","","","","","","New York","","","","","","United Kingdom","","publicly traded","Nasdaq: WLTW","financial services","insurance","http://app3.naag.org/antitrust/search/viewCivilLitigation.php?trans_id=94",""
"Watson Wyatt & Company","Willis Towers Watson","$689,828","$0","$689,828","2005","20050831","government-contracting-related offenses","False Claims Act and related","","","federal","agency action","U.S. Attorney-District of Columbia","civil","","","","","","","","","","","","United Kingdom","","publicly traded","Nasdaq: WLTW","financial services","insurance","U.S. REACHES $689,828 SETTLEMENT WITH CONSULTING COMPANY TO RESOLVE BILLING IRREGULARITIES COMPANY VOLUNTARILY DISCLOSED TO DOD, US Fed News, August 31, 2005 (via Nexis).",""
"Towers Perrin","Willis Towers Watson","$9,200,000","$0","$9,200,000","2011","20111024","employment-related offenses","benefit plan administrator violation","pension ERISA violation","","federal","private litigation","","civil","","Northern District of California","5:03cv3960","Paulsen et al v. CNF, Inc et al","settlement","","","","","","","United Kingdom","","publicly traded","Nasdaq: WLTW","financial services","insurance","https://www.law360.com/cases/4d43dd5eb6f4f101bd000012",""
