"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"Duro Bag Manufacturing Company","Wind Point Partners","$16,368","$0","$16,368","2014","20140611","employment-related offenses","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1730692","","","Kentucky","Florence","","41042","32222","32222: Paper Bag and Coated and Treated Paper Manufacturing","USA","Illinois","privately held","","private equity (including portfolio companies)","private equity (including portfolio companies)","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"Reilly Industries Inc.","Wind Point Partners","$2,000,000","$0","$2,000,000","2000","20000505","competition-related offenses","price-fixing or anti-competitive practices","","Two German pharmaceutical manufacturers--Merck KgaA and Degussa-Huls AG--and two U.S. pharmaceutical companies--Nepera Inc. and Reilly Industries Inc.--agreed to plead guilty and pay criminal antitrust fines totaling $33 million for participating in two separate worldwide conspiracies to suppress and eliminate competition in the vitamin industry.","federal","agency action","Justice Department Antitrust Division","criminal","","","","","","","","","","","","USA","Illinois","privately held","","private equity (including portfolio companies)","private equity (including portfolio companies)","https://www.justice.gov/archive/atr/public/press_releases/2000/4684.htm",""
"DURO BAG MANUFACTURING CO.","Wind Point Partners","$6,300","$0","$6,300","2006","20060725","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Wisconsin","HUDSON","486 BAER DRIVE","54016","322224","322224: Uncoated Paper and Multiwall Bag Manufacturing","USA","Illinois","privately held","","private equity (including portfolio companies)","private equity (including portfolio companies)","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"REILLY INDUSTRIES, INC.","Wind Point Partners","$6,300","$0","$6,300","2004","20040129","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Illinois","GRANITE CITY","1450 EDWARDSVILLE ROAD","62040","325510","325510: Paint and Coating Manufacturing","USA","Illinois","privately held","","private equity (including portfolio companies)","private equity (including portfolio companies)","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"DURO BAG MANUFACTURING CO.","Wind Point Partners","$14,400","$0","$14,400","2004","20040211","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Wisconsin","HUDSON","486 BAER DRIVE","54016","322224","322224: Uncoated Paper and Multiwall Bag Manufacturing","USA","Illinois","privately held","","private equity (including portfolio companies)","private equity (including portfolio companies)","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"DURO BAG MANUFACTURING COMPANY","Wind Point Partners","$8,500","$0","$8,500","2011","20110602","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Kentucky","WALTON","1 DURO WAY","41094","322223","322223: Plastics, Foil, and Coated Paper Bag Manufacturing","USA","Illinois","privately held","","private equity (including portfolio companies)","private equity (including portfolio companies)","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"DURO BAG MANUFACTURING COMPANY","Wind Point Partners","$7,000","$0","$7,000","2013","20130227","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Kentucky","WALTON","1 DURO WAY","41094","322224","322224: Uncoated Paper and Multiwall Bag Manufacturing","USA","Illinois","privately held","","private equity (including portfolio companies)","private equity (including portfolio companies)","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"DURO BAG MANUFACTURING CO.","Wind Point Partners","$9,393","$0","$9,393","2012","20120228","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","New Jersey","ELIZABETH","750 DOWD AVENUE","07201","322224","322224: Uncoated Paper and Multiwall Bag Manufacturing","USA","Illinois","privately held","","private equity (including portfolio companies)","private equity (including portfolio companies)","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"GEHL FOODS, INC.","Wind Point Partners","$5,000","$0","$5,000","2013","20131004","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Wisconsin","GERMANTOWN","N116 W15970 MAIN ST","53022","311991","311991: Perishable Prepared Food Manufacturing","USA","Illinois","privately held","","private equity (including portfolio companies)","private equity (including portfolio companies)","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"DURO BAG MANUFACTURING CO.","Wind Point Partners","$8,580","$0","$8,580","2014","20140116","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","New Jersey","ELIZABETH","750 DOWD AVENUE","07201","322224","322224: Uncoated Paper and Multiwall Bag Manufacturing","USA","Illinois","privately held","","private equity (including portfolio companies)","private equity (including portfolio companies)","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
