"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"PeoplePC, Inc.","Windstream","$100,000","$0","$100,000","2002","20020823","consumer-protection-related offenses","consumer protection violation","","PeoplePC, Inc., a San Francisco, California-based seller of personal computers, computer peripherals, software, and Internet service, agreed to pay a $100,000 civil penalty to settle Federal Trade Commission allegations that it failed to tell thousands of consumers in advance that their deliveries would be delayed, provide them with an opportunity to cancel or consent to the delay, or send them cancellation refunds within the time-frame required. ","federal","agency action","Federal Trade Commission","civil","","","","","","","","","","","","USA","Arkansas","publicly traded","WINMQ","telecommunications","telecommunications","https://www.ftc.gov/news-events/press-releases/2002/08/settling-ftc-complaint-peoplepc-pay-100000-alleged-violations",""
"WINDSTREAM, INC.","Windstream","$6,000","$0","$6,000","2011","20110719","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Pennsylvania","RIDGWAY","320 MAIN STREET","15853","515210","515210: Cable and Other Subscription Programming","USA","Arkansas","publicly traded","WINMQ","telecommunications","telecommunications","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"WINDSTREAM INC.","Windstream","$9,000","$0","$9,000","2011","20110719","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Pennsylvania","ST MARYS","229 CHESTNUT STREET","15857","515210","515210: Cable and Other Subscription Programming","USA","Arkansas","publicly traded","WINMQ","telecommunications","telecommunications","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"EARTHLINK INC.","Windstream","$10,115","$0","$10,115","2002","20020228","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","California","SACRAMENTO","2495 NATOMAS PARK DR., STE. 100","95833","541513","541513: Computer Facilities Management Services","USA","Arkansas","publicly traded","WINMQ","telecommunications","telecommunications","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"Windstream Corporation","Windstream","$2,500,000","$0","$2,500,000","2014","20140220","consumer-protection-related offenses","telecommunications violation","","","federal","agency action","Federal Communications Commission","civil","","","","","","","","","","","","USA","Arkansas","publicly traded","WINMQ","telecommunications","telecommunications","https://apps.fcc.gov/edocs_public/attachmatch/DA-14-152A1.pdf",""
"WINDSTREAM COMMUNICATIONS, INC.","Windstream","$21,062","$0","$21,062","2014","20141024","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","01-CA-121616","","","Massachusetts","BOSTON","","","","","USA","Arkansas","publicly traded","WINMQ","telecommunications","telecommunications","Extracted from a spreadsheet obtained from the NLRB through a Freedom of Information Act request fulfilled on 5/16/2017.",""
"Windstream Corporation and its subsidiary, Windstream Pennsylvania, LLC","Windstream","$7,003","$0","$7,003","2009","20091124","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","06-CA-36275-001","","","Pennsylvania","Meadville","","16335","517210","517210: Wireless Telecommunications Carriers (except Satellite)","USA","Arkansas","publicly traded","WINMQ","telecommunications","telecommunications","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"Windstream New York, Inc.","Windstream","$11,000","$0","$11,000","2006","20060911","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","03-CA-25921-001","","","New York","Fulton","","13069","517210","517210: Wireless Telecommunications Carriers (except Satellite)","USA","Arkansas","publicly traded","WINMQ","telecommunications","telecommunications","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"Windstream Services II, LLC","Windstream","$18,000","$0","$18,000","2020","20201123","consumer-protection-related offenses","telecommunications violation","","","federal","agency action","Federal Communications Commission","civil","","","","","","","","","","","","USA","Arkansas","publicly traded","WINMQ","telecommunications","telecommunications","https://www.fcc.gov/document/eb-settles-windstream-18k-tower-violations",""
"Windstream","Windstream","$225,000","$0","$225,000","2016","20161216","consumer-protection-related offenses","utility service violation","reliability of service violation","Failure to report service failures to utility commission in accordance with reporting protocols.","state","agency action","Texas Public Utility Commission","civil","","","46570","","","Texas","","","","","","USA","Arkansas","publicly traded","WINMQ","telecommunications","telecommunications","https://www.puc.texas.gov/agency/resources/reports/Default.aspx",""
