"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"e prime, Inc.","Xcel Energy","$16,000,000","$0","$16,000,000","2004","20040128","competition-related offenses","energy market manipulation","data submission deficiencies","","federal","agency action","Commodity Futures Trading Commission","civil","","","","","","","","","","","","USA","Minnesota","publicly traded","XEL","utilities and power generation","power generation","http://www.cftc.gov/opa/enf04/opa4883-04.htm",""
"Nuclear Management Company, LLC","Xcel Energy","$55,000","$0","$55,000","2001","20010627","safety-related offenses","nuclear safety violation","","On June 27, 2001, a Notice of Violation and Proposed Imposition of Civil Penalty in the amount of $55,000 was issued for a Severity Level III violation. The action was based on the licensee's failure to provide complete and accurate information in letters to the NRC requesting enforcement discretion and an exigent Technical Specification change.","federal","agency action","Nuclear Regulatory Commission","civil","","","","","","Michigan","","","","","","USA","Minnesota","publicly traded","XEL","utilities and power generation","power generation","https://www.nrc.gov/docs/ML0117/ML011790248.pdf",""
"Nuclear Management Company, LLC","Xcel Energy","$366,161","$0","$366,161","2005","20050121","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","18-CA-17263-001","","","Wisconsin","Hudson","","54016","221113","221113: Nuclear Electric Power Generation","USA","Minnesota","publicly traded","XEL","utilities and power generation","power generation","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"Nuclear Management Company, LLC","Xcel Energy","$60,000","$0","$60,000","2005","20051216","safety-related offenses","nuclear safety violation","","On December 16, 2005, a Notice of Violation and Proposed Imposition of Civil Penalty in the amount of $60,000 was issued for a Severity Level III violation of 10 CFR 50.9 involving the licensee's failure to provide accurate information to the NRC associated with a critique of an August 2002 Emergency Preparedness drill.","federal","agency action","Nuclear Regulatory Commission","civil","","","","","","Wisconsin","","","","","","USA","Minnesota","publicly traded","XEL","utilities and power generation","power generation","https://www.nrc.gov/reading-rm/doc-collections/enforcement/actions/reactors/ea05191.html",""
"Nuclear Management Company, LLC","Xcel Energy","$60,000","$0","$60,000","2004","20040317","safety-related offenses","nuclear safety violation","","On March 17, 2004, a Notice of Violation and Proposed Imposition of Civil Penalty in the amount of $60,000 was issued for a Severity Level III violation involving changes made to the Emergency Action Level scheme that reduced the effectiveness of the Emergency Plan without requesting and receiving prior NRC approval.","federal","agency action","Nuclear Regulatory Commission","civil","","","","","","Wisconsin","","","","","","USA","Minnesota","publicly traded","XEL","utilities and power generation","power generation","https://www.nrc.gov/docs/ML0407/ML040780116.pdf",""
"Nuclear Management Company, LLC","Xcel Energy","$60,000","$0","$60,000","2003","20031230","safety-related offenses","nuclear safety violation","","On December 30, 2003, a Notice of Violation and Proposed Imposition of Civil Penalty in the amount of $60,000 was issued for a Severity Level III violation involving the licensee's failure to implement effective monitoring procedures to provide reasonable assurance that personnel with access are fit for duty, and the failure to conduct an investigation of the circumstances or evaluate the risk involved in continued unescorted access of an employee after detecting evidence of behavior which may have impaired the job performance of an employee who had unescorted access to the Kewaunee Nuclear Plant.","federal","agency action","Nuclear Regulatory Commission","civil","","","","","","Wisconsin","","","","","","USA","Minnesota","publicly traded","XEL","utilities and power generation","power generation","https://www.nrc.gov/docs/ML0336/ML033640236.pdf",""
"Nuclear Management Company, LLC","Xcel Energy","$60,000","$0","$60,000","2002","20021213","safety-related offenses","nuclear safety violation","","On December 13, 2002, Notice of Violation and Proposed Imposition of Civil Penalty in the amount of $60,000 was issued for a Severity Level III violation involving the failure to provide complete and accurate information to the NRC from April 13 to 16, 2001, regarding Prairie Island's request for a Notice of Enforcement Discretion (NOED) involving an emergency diesel generator (EDG). Although the normal civil penalty assessment process would have fully mitigated the civil penalty in this case, the NRC exercised discretion in accordance with Section VII.A.1.(c) of the Enforcement Policy and assessed a base civil penalty. Discretion was warranted based on Prairie Island's particularly poor performance leading up to and during the EDG degradation, during the request for an NOED, and during the time period the NOED was in effect.","federal","agency action","Nuclear Regulatory Commission","civil","","","","","","Minnesota","","","","","","USA","Minnesota","publicly traded","XEL","utilities and power generation","power generation","https://www.nrc.gov/docs/ML0235/ML023500382.pdf",""
"Public Service Company of Colorado (d/b/a Xcel Energy)","Xcel Energy","$26,508","$0","$26,508","2006","20061020","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","27-CA-20023-001","","","Colorado","Denver","","80202","221122","221122: Electric Power Distribution","USA","Minnesota","publicly traded","XEL","utilities and power generation","power generation","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"Public Service Company of Colorado d/b/a Xcel Energy","Xcel Energy","$26,580","$0","$26,580","2006","20061020","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","27-CA-20024-001","","","Colorado","Denver","","80202","221122","221122: Electric Power Distribution","USA","Minnesota","publicly traded","XEL","utilities and power generation","power generation","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"PUBLIC SERVICE CO. OF CO DBA XCEL ENERGY","Xcel Energy","$7,000","$0","$7,000","2010","20100317","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Colorado","LITTLETON","2900 W. BOWLES","80227","238910","238910: Site Preparation Contractors","USA","Minnesota","publicly traded","XEL","utilities and power generation","power generation","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
