"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"ZF FRIEDRICHSHAFEN AG","ZF Friedrichshafen","$22,000","$0","$22,000","2001","20010104","environment-related offenses","environmental violation","","","state","agency action","Pennsylvania Department of Environmental Protection","civil","","","","","","Pennsylvania","","","","","","Germany","","privately held","","automotive parts","automotive parts","Contained in data received from the agency on February 25, 2021 in response to an open records request. The data -- which in some cases merged penalty amounts from multiple violations --was a spreadsheet version of information contained in individual case documents that can be retrieved at https://www.ahs.dep.pa.gov/eFACTSWeb/default.aspx",""
"TRW Deutschland Holding GmbH","ZF Friedrichshafen","$5,100,000","$0","$5,100,000","2012","20120730","competition-related offenses","price-fixing or anti-competitive practices","","TRW Deutschland Holding GmbH, a Koblenz, Germany-based subsidiary of U.S.-based TRW Automotive Holdings Corp., agreed to plead guilty for its involvement in a conspiracy to fix prices of seatbelts, airbags and steering wheels sold to two German automobile manufacturers, and installed in cars sold in the United States. It agreed to pay a $5.1 million criminal fine and to cooperate with the department's ongoing investigation.","federal","agency action","Justice Department Antitrust Division","criminal","","","","","","","","","","","","Germany","","privately held","","automotive parts","automotive parts","https://www.justice.gov/opa/pr/german-subsidiary-trw-automotive-agrees-plead-guilty-price-fixing-automobile-parts-installed",""
"ZF SACHS AUTOMOTIVE OF AMERICA, INC.","ZF Friedrichshafen","$7,000","$0","$7,000","2008","20080806","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Kentucky","FLORENCE","15 SPIRAL DR","41042","336399","336399: All Other Motor Vehicle Parts Manufacturing","Germany","","privately held","","automotive parts","automotive parts","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"TRW AUTOMOTIVE","ZF Friedrichshafen","$5,059","$0","$5,059","2005","20050328","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Ohio","MOUNT VERNON","8405 BLACKJACK ROAD","43050","811111","811111: General Automotive Repair","Germany","","privately held","","automotive parts","automotive parts","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"TRW AUTOMOTIVE JACKSON PLANT","ZF Friedrichshafen","$24,700","$0","$24,700","2005","20050617","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Michigan","JACKSON","1600 WILDWOOD AVE","49202","336340","336340: Motor Vehicle Brake System Manufacturing","Germany","","privately held","","automotive parts","automotive parts","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"TRW AUTOMOTIVE JACKSON PLANT","ZF Friedrichshafen","$5,526","$0","$5,526","2003","20030820","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Michigan","JACKSON","1600 WILDWOOD AVE","49202","336340","336340: Motor Vehicle Brake System Manufacturing","Germany","","privately held","","automotive parts","automotive parts","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"TRW VEHICLE SAFETY SYSTEMS, INC.","ZF Friedrichshafen","$17,500","$0","$17,500","2001","20010228","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Arizona","MESA","11202 E GERMANN RD","85216","000000","","Germany","","privately held","","automotive parts","automotive parts","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"TRW AUTOMOTIVE JACKSON PLANT","ZF Friedrichshafen","$6,000","$0","$6,000","2001","20010521","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Michigan","JACKSON","1600 WILDWOOD AVE","49202","000000","","Germany","","privately held","","automotive parts","automotive parts","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"ZF Boge Elastmetall, LLC","ZF Friedrichshafen","$130,171","$0","$130,171","2010","20101014","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","14-CA-29617-001","","","Illinois","Paris","","61944","336399","336399: All Other Motor Vehicle Parts Manufacturing","Germany","","privately held","","automotive parts","automotive parts","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"ZF Industries","ZF Friedrichshafen","$155,560","$0","$155,560","2001","20010322","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","10-CA-31955-001","","","Alabama","Tuscaloosa","","35401","336399","336399: All Other Motor Vehicle Parts Manufacturing","Germany","","privately held","","automotive parts","automotive parts","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"ZF Industries","ZF Friedrichshafen","$15,468","$0","$15,468","2001","20010323","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","10-CA-32164-001","","","Alabama","Tuscaloosa","","35401","336330","336330: Motor Vehicle Steering and Suspension Components (except Spring) Manufacturing","Germany","","privately held","","automotive parts","automotive parts","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"ZF Industries","ZF Friedrichshafen","$10,000","$0","$10,000","2001","20010531","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","10-CA-32517-001","","","Alabama","Tuscaloosa","","35401","336330","336330: Motor Vehicle Steering and Suspension Components (except Spring) Manufacturing","Germany","","privately held","","automotive parts","automotive parts","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"TRW Vehicle Safety Systems Inc.","ZF Friedrichshafen","$17,600,000","$0","$17,600,000","2001","20010118","environment-related offenses","environmental violation","","TRW Vehicle Safety Systems Inc. agreed to plead guilty to federal and state criminal charges relating to the illegal handling of hazardous wastes.","federal","agency action","Justice Department Environment and Natural Resources Division","civil and criminal","","","","","","Arizona","","","","","","Germany","","privately held","","automotive parts","automotive parts","https://www.justice.gov/archive/opa/pr/2001/January/027enrd.htm",""
"TRW Automotive US","ZF Friedrichshafen","$2,960,000","$0","$2,960,000","2003","20031015","employment-related offenses","employment discrimination","","Racial discrimination. ","federal","private litigation","","civil","","Middle District of Tennessee","3:03-cv-0477","Jobe, et al v. TRW Automotive US","settlement","","","","","","","Germany","","privately held","","automotive parts","automotive parts","The settlement amount, which includes $660,000 in legal fees, was reported by BNA's Employment Discrimination Report (August 6, 2003). ",""
"TRW Vehicle Safety Systems Inc.","ZF Friedrichshafen","$8,800,000","$8,800,000","$0","2001","20010118","environment-related offenses","environmental violation","","TRW Vehicle Safety Systems Inc. agreed to $8.8 million to Arizona in settlement of allegations it illegally disposed of the chemical sodium azide, a hazardous, volatile, powder-like substance that is used to explode air bags on impact. This was part of a larger $17.6 million settlement that also involved the federal government; see the Violation Tracker entry at https://violationtracker.goodjobsfirst.org/violation-tracker/az-trw-vehicle-safety-systems-inc","state","agency action","Arizona Attorney General","criminal","","","","","","Arizona","","","","","","Germany","","privately held","","automotive parts","automotive parts","https://web.archive.org/web/20030422042449/http://www.attorney_general.state.az.us/press_releases/jan/011801.html",""
"ZF TRW Automotive Holdings Corp.","ZF Friedrichshafen","$183,750","$0","$183,750","2016","20161215","competition-related offenses","price-fixing or anti-competitive practices","","ZF agreed to pay $183,750 to the attorneys general of California and Florida to resolve allegations that its subsidiary TRW conspired with other parts manufacturers to rig bids for, fix and maintain the price of systems installed in cars purchased by state agencies.","state","agency action","Multistate Attorneys General Case","civil","","","","","","","","","","","","Germany","","privately held","","automotive parts","automotive parts","http://app3.naag.org/antitrust/search/viewCivilLitigation.php?trans_id=728",""
"ZF Chassis Systems Chicago, LLC","ZF Friedrichshafen","$34,363","$0","$34,363","2018","20180418","employment-related offenses","labor relations violation","","","federal","agency action","National Labor Relations Board","civil","","","13-CA-188311","","","Illinois","Chicago","","","","","Germany","","privately held","","automotive parts","automotive parts","Extracted from a spreadsheet obtained from the NLRB through a Freedom of Information Act request fulfilled on 5/28/2020.",""
"ZF Chassis Systems Chicago, LLC","ZF Friedrichshafen","$20,568","$0","$20,568","2017","20170627","employment-related offenses","labor relations violation","","","federal","agency action","National Labor Relations Board","civil","","","13-CA-184001","","","Illinois","Chicago","","","","","Germany","","privately held","","automotive parts","automotive parts","Extracted from a spreadsheet obtained from the NLRB through a Freedom of Information Act request fulfilled on 5/28/2020.",""
"TRW Vehicle Safety Systems Inc","ZF Friedrichshafen","$5,670,000","$0","$5,670,000","2001","20010101","environment-related offenses","environmental violation","","Illegal storage & disposal of sodium azide.","state","agency action","Arizona Department of Environmental Quality","civil","","","","","","Arizona","","","","","","Germany","","privately held","","automotive parts","automotive parts","Contained in data received from the agency on November 10, 2020 in response to an open records request.",""
"TRW Automotive Holdings Corp.","ZF Friedrichshafen","$30,200,000","$0","$30,200,000","2020","20201209","employment-related offenses","benefit plan administrator violation","pension ERISA violation","TRW Automotive agreed to pay $30.2 million to resolve an ERISA class action.","federal","private litigation","","civil","","Eastern District of Michigan","2:11cv14434","INTERNATIONAL UNION, UNITED AUTOMOBILE, AEROSPACE AND AGRICULTURAL IMPLEMENT WORKERS OF AMERICA (UAW) et al v. TRW Inc.","settlement","","","","","","","Germany","","privately held","","automotive parts","automotive parts","https://www.law360.com/articles/1301458/trw-to-pay-30-2m-to-end-auto-steel-workers-benefit-row",""
"ZF MARYSVILLE LLC","ZF Friedrichshafen","$7,000","$0","$7,000","2012","20120509","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Michigan","MARYSVILLE","2900 BUSHA HWY","48040","336111","336111: Automobile Manufacturing","Germany","","privately held","","automotive parts","automotive parts","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
