"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"Farmer's Group, Inc.","Zurich Insurance","$754,148","$0","$754,148","2010","20100917","employment-related offenses","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1605806","","","California","Los Angeles","","90010","524126","524126: Direct Property and Casualty Insurance Carriers","Switzerland","","publicly traded","","financial services","insurance","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"Farmer's Group, Inc.","Zurich Insurance","$565,065","$0","$565,065","2010","20101230","employment-related offenses","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1541110","","","Kansas","Overland Park","","66210","524126","524126: Direct Property and Casualty Insurance Carriers","Switzerland","","publicly traded","","financial services","insurance","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"Farmer's Group, Inc.","Zurich Insurance","$209,170","$0","$209,170","2010","20100916","employment-related offenses","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1586892","","","Oklahoma","Oklahoma City","","73107","524126","524126: Direct Property and Casualty Insurance Carriers","Switzerland","","publicly traded","","financial services","insurance","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"Farmer's Group, Inc.","Zurich Insurance","$20,122","$0","$20,122","2010","20100917","employment-related offenses","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1628864","","","California","Los Angeles","","90010","524126","524126: Direct Property and Casualty Insurance Carriers","Switzerland","","publicly traded","","financial services","insurance","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"Farmer's Insurance","Zurich Insurance","$1,520,705","$0","$1,520,705","2011","20110706","employment-related offenses","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","","","","","","","","","","Switzerland","","publicly traded","","financial services","insurance","https://www.dol.gov/whd/media/press/whdpressVB2.asp?pressdoc=Western/Warchive2/20110706.xml",""
"Zurich Capital Markets Inc.","Zurich Insurance","$16,800,000","$0","$16,800,000","2007","20070507","financial offenses","investor protection violation","securities issuance or trading violation","Zurich Capital Markets Inc. agreed to pay a $4 million penalty and $12.8 million in disgorgement to settle allegations relating to its role in providing financing to hedge fund clients that engaged in market timing of mutual funds and facilitating the hedge funds' deceptive trading tactics. ","federal","agency action","Securities and Exchange Commission","civil","","","","","","","","","","","","Switzerland","","publicly traded","","financial services","insurance","https://www.sec.gov/news/press/2007/2007-88.htm",""
"Zurich Financial Services","Zurich Insurance","$25,000,000","$0","$25,000,000","2008","20081211","financial offenses","accounting fraud or deficiencies","","Zurich agreed to pay $25 million to resolve allegations that its former reinsurance group, which operated under the name Zurich Re and was later spun off in 2001 as Converium, designed three reinsurance transactions to make it appear that risk had been transferred to third-party entities when, in fact, the risk remained with Zurich-controlled entities.","federal","agency action","Securities and Exchange Commission","civil","","","","","","","","","","","","Switzerland","","publicly traded","","financial services","insurance","https://www.sec.gov/news/press/2008/2008-292.htm",""
"Coast National Insurance","Zurich Insurance","$18,000,000","$0","$18,000,000","2002","20020503","employment-related offenses","wage and hour violation","","overtime violation","state","private litigation","","civil","","Superior Court of State of California, County of Orange","01CC08478","Roberts vs. Coast National Insurance","settlement","California","","","","","","Switzerland","","publicly traded","","financial services","insurance","http://docs.simpluris.com/88-main.pdf",""
"Farmers Group, Inc.","Zurich Insurance","$6,850,000","$0","$6,850,000","2012","20120724","employment-related offenses","benefit plan administrator violation","pension ERISA violation","","federal","private litigation","","civil","","Central District of California","2:10-cv-5089","David Wilson v. Farmers Group, Inc. Employees Profit Sharing Savings Plan Trust et al","settlement","","","","","","","Switzerland","","publicly traded","","financial services","insurance","https://www.law360.com/articles/316841",""
"Zurich Life Insurance Company Ltd","Zurich Insurance","$5,115,000","$0","$5,115,000","2019","20190425","financial offenses","tax violations","","","federal","agency action","Justice Department Tax Division","criminal","non-prosecution agreement","","","","","","","","","","","Switzerland","","publicly traded","","financial services","insurance","https://www.justice.gov/opa/pr/zurich-life-insurance-company-ltd-and-zurich-international-life-limited-enter-agreement-us",""
"Farmers Insurance Group","Zurich Insurance","$4,300,000","$0","$4,300,000","2001","20011022","consumer-protection-related offenses","discriminatory practices (non-employment)","","redlining","state","agency action","Ohio Attorney General","civil","","","","","","Ohio","","","","","","Switzerland","","publicly traded","","financial services","insurance","Farmers Insurance to Pay $4.3M, Associated Press, October 22, 2001 (via Nexis).",""
"Farmers Insurance Group","Zurich Insurance","$2,400,000","$0","$2,400,000","2003","20030725","consumer-protection-related offenses","consumer protection violation","","overcharging on auto repair claims","state","agency action","Texas Attorney General","civil","","","","","","Texas","","","","","","Switzerland","","publicly traded","","financial services","insurance","AG announces $2.4 million in refunds, Associated Press, July 25, 2003 (via Nexis).",""
"Metropolitan Property & Casualty","Zurich Insurance","$20,000","$0","$20,000","2010","20100217","consumer-protection-related offenses","consumer protection violation","","Metropolitan Property & Casualty, Liberty Mutual Insurance Company, Peerless Insurance company, Plymouth Rock Assurance Corporation and Pilgrim Insurance Company agreed to jointly pay a total of over $100,000 as part of a settlement of allegations they failed to provide updated at-fault accident determinations to a private data collection company after the state's Board of Appeals overturned the determinations. The announcement did not indicate how much each company would pay. Here we assume the total was divided equally among them.","state","agency action","Massachusetts Attorney General","civil","","","","","","Massachusetts","","","","","","Switzerland","","publicly traded","","financial services","insurance","https://web.archive.org/web/20100320044150/http://www.mass.gov/?pageID=cagopressrelease&L=1&L0=Home&sid=Cago&b=pressrelease&f=2010_02_17_boa_initiative_settlements&csid=Cago",""
"Metropolitan Property & Casualty Co.","Zurich Insurance","$3,167,173","$0","$3,167,173","2019","20190403","consumer-protection-related offenses","consumer protection violation","","Metropolitan Property & Casualty Co. agreed to pay over $1.3 million in settlement of allegations it mischaracterized Hurricane Katrina wind damage as flood damage to avoid having to pay out on insurance policies, which caused the state to pay extra financial assistance.","state","agency action","Mississippi Attorney General","civil","","","","","","Mississippi","","","","","","Switzerland","","publicly traded","","financial services","insurance","https://web.archive.org/web/20190726233839/http://www.ago.state.ms.us/releases/more-than-5-73-million-recovered-in-katrina-insurance-cases/",""
"Metropolitan Property & Casualty Insurance Co.","Zurich Insurance","$3,500,000","$0","$3,500,000","2010","20100302","consumer-protection-related offenses","consumer protection violation","","Metropolitan Property & Casualty Insurance Company, Plymouth Rock Assurance, Pilgrim Insurance Company and the United Services Automobile Association agreed to pay a total of $9 million in restitution, plus a total of $500,000 to the state, resolving allegations that they overcharged consumers for motorcycle insurance.","state","agency action","Massachusetts Attorney General","civil","","","","","","Massachusetts","","","","","","Switzerland","","publicly traded","","financial services","insurance","https://web.archive.org/web/20100321213508/http://www.mass.gov/?pageID=cagopressrelease&L=1&L0=Home&sid=Cago&b=pressrelease&f=2010_03_02_motorcycle_insurance&csid=Cago",""
"Metropolitan Property and Casualty Insurance Co.","Zurich Insurance","$50,000","$0","$50,000","2013","20130115","consumer-protection-related offenses","consumer protection violation","","Metropolitan Property and Casualty Insurance agreed to pay $50,000 to the Commonwealth and cooperate with an audit to determine restitution to policyholders who were made to pay surcharges that had been vacated by the Board of Appeal.","state","agency action","Massachusetts Attorney General","civil","","","","","","Massachusetts","","","","","","Switzerland","","publicly traded","","financial services","insurance","https://web.archive.org/web/20130309070108/http://www.mass.gov/ago/news-and-updates/press-releases/2013/2013-01-15-met-pc.html",""
